"Representative","Party","District","Vote"
"Esty, Elizabeth H.","D","CT-05","+"
"Blunt Rochester, Lisa","D","DE-AL","+"
"Gaetz, Matt","R","FL-01","-"
"Dunn, Neal","R","FL-02","-"
"Yoho, Ted S.","R","FL-03","-"
"Rutherford, John","R","FL-04","-"
"Lawson, Al","D","FL-05","?"
"DeSantis, Ron","R","FL-06","-"
"Murphy, Stephanie","D","FL-07","+"
"Posey, Bill","R","FL-08","?"
"Soto, Darren","D","FL-09","+"
"Demings, Val","D","FL-10","+"
"Webster, Daniel","R","FL-11","-"
"Bilirakis, Gus","R","FL-12","-"
"Crist, Charlie","D","FL-13","+"
"Castor, Kathy","D","FL-14","?"
"Ross, Dennis","R","FL-15","?"
"Buchanan, Vern","R","FL-16","-"
"Rooney, Tom","R","FL-17","-"
"Mast, Brian","R","FL-18","+"
"Rooney, Francis","R","FL-19","?"
"Hastings, Alcee L.","D","FL-20","+"
"Frankel, Lois","D","FL-21","+"
"Deutch, Ted","D","FL-22","+"
"Wasserman Schultz, Debbie","D","FL-23","+"
"Wilson, Frederica","D","FL-24","+"
"Díaz-Balart, Mario","R","FL-25","?"
"Curbelo, Carlos","R","FL-26","?"
"Ros-Lehtinen, Ileana","R","FL-27","?"
"Carter, Buddy","R","GA-01","-"
"Bishop, Sanford D.","D","GA-02","+"
"Ferguson, A. Drew","R","GA-03","-"
"Johnson, Hank","D","GA-04","+"
"Lewis, John R.","D","GA-05","+"
"Handel, Karen","R","GA-06","-"
"Woodall, Rob","R","GA-07","-"
"Scott, Austin","R","GA-08","-"
"Collins, Doug","R","GA-09","-"
"Hice, Jody","R","GA-10","-"
"Loudermilk, Barry","R","GA-11","?"
"Allen, Rick","R","GA-12","-"
"Scott, David","D","GA-13","+"
"Graves, Tom","R","GA-14","-"
"Hanabusa, Colleen","D","HI-01","+"
"Gabbard, Tulsi","D","HI-02","+"
"Labrador, Raul","R","ID-01","-"
"Simpson, Mike","R","ID-02","-"
"Rush, Bobby L.","D","IL-01","+"
"Kelly, Robin","D","IL-02","+"
"Lipinski, Dan","D","IL-03","+"
"Gutierrez, Luis V.","D","IL-04","+"
"Quigley, Mike","D","IL-05","+"
"Roskam, Peter J.","R","IL-06","-"
"Davis, Danny K.","D","IL-07","+"
"Krishnamoorthi, Raja","D","IL-08","+"
"Schakowsky, Jan","D","IL-09","+"
"Schneider, Brad","D","IL-10","+"
"Foster, Bill","D","IL-11","+"
"Bost, Mike","R","IL-12","-"
"Davis, Rodney","R","IL-13","-"
"Hultgren, Randy","R","IL-14","-"
"Shimkus, John M.","R","IL-15","-"
"Kinzinger, Adam","R","IL-16","-"
"Bustos, Cheri","D","IL-17","+"
"LaHood, Darin","R","IL-18","-"
"Visclosky, Peter J.","D","IN-01","+"
"Walorski, Jackie","R","IN-02","-"
"Banks, Jim","R","IN-03","-"
"Rokita, Todd","R","IN-04","-"
"Brooks, Susan W.","R","IN-05","-"
"Messer, Luke","R","IN-06","-"
"Carson, Andre","D","IN-07","+"
"Bucshon, Larry","R","IN-08","-"
"Hollingsworth, Trey","R","IN-09","-"
"Blum, Rod","R","IA-01","-"
"Loebsack, Dave W.","D","IA-02","+"
"Young, David","R","IA-03","-"
"King, Steve A.","R","IA-04","-"
"Marshall, Roger","R","KS-01","-"
"Jenkins, Lynn M.","R","KS-02","-"
"Yoder, Kevin","R","KS-03","-"
"Estes, Ron","R","KS-04","-"
"Comer, James","R","KY-01","-"
"Guthrie, Brett","R","KY-02","-"
"Yarmuth, John","D","KY-03","+"
"Massie, Thomas","R","KY-04","-"
"Rogers, Harold","R","KY-05","-"
"Barr, Garland","R","KY-06","-"
"Scalise, Steve","R","LA-01","n/a"
"Richmond, Cedric L","D","LA-02","+"
"Higgins, Clay","R","LA-03","-"
"Johnson, Mike","R","LA-04","-"
"Abraham, Ralph","R","LA-05","-"
"Graves, Garret","R","LA-06","-"
"Pingree, Chellie M.","D","ME-01","+"
"Poliquin, Bruce","R","ME-02","-"
"Harris, Andy","R","MD-01","-"
"Ruppersberger, C.A. Dutch","D","MD-02","+"
"Sarbanes, John P.","D","MD-03","+"
"Brown, Anthony","D","MD-04","+"
"Hoyer, Steny H.","D","MD-05","+"
"Delaney, John K.","D","MD-06","+"
"Cummings, Elijah E.","D","MD-07","+"
"Raskin, Jamie","D","MD-08","+"
"Neal, Richard E.","D","MA-01","+"
"McGovern, Jim","D","MA-02","+"
"Tsongas, Niki","D","MA-03","+"
"Kennedy, Joseph P.","D","MA-04","+"
"Clark, Katherine M.","D","MA-05","+"
"Moulton, Seth","D","MA-06","+"
"Capuano, Michael E.","D","MA-07","+"
"Lynch, Stephen F.","D","MA-08","+"
"Keating, Bill","D","MA-09","+"
"Bergman, Jack","R","MI-01","-"
"Huizenga, Bill","R","MI-02","-"
"Amash, Justin","R","MI-03","-"
"Moolenaar, John","R","MI-04","-"
"Kildee, Daniel T.","D","MI-05","+"
"Upton, Fred","R","MI-06","-"
"Walberg, Tim","R","MI-07","-"
"Bishop, Mike","R","MI-08","-"
"Levin, Sander M.","D","MI-09","+"
"Mitchell, Paul","R","MI-10","-"
"Trott, Dave","R","MI-11","-"
"Dingell, Debbie","D","MI-12","+"
"Conyers, John","D","MI-13","+"
"Lawrence, Brenda","D","MI-14","+"
"Walz, Tim","D","MN-01","+"
"Lewis, Jason","R","MN-02","-"
"Paulsen, Erik","R","MN-03","-"
"McCollum, Betty","D","MN-04","+"
"Ellison, Keith M.","D","MN-05","+"
"Emmer, Tom","R","MN-06","-"
"Peterson, Collin C.","D","MN-07","-"
"Nolan, Rick","D","MN-08","+"
"Kelly, Trent","R","MS-01","-"
"Thompson, Bennie G.","D","MS-02","+"
"Harper, Gregg","R","MS-03","-"
"Palazzo, Steven","R","MS-04","-"
"Clay, William Lacy","D","MO-01","+"
"Wagner, Ann","R","MO-02","-"
"Luetkemeyer, Blaine","R","MO-03","-"
"Hartzler, Vicky","R","MO-04","-"
"Cleaver, Emanuel","D","MO-05","+"
"Graves, Sam","R","MO-06","?"
"Long, Billy","R","MO-07","-"
"Smith, Jason T.","R","MO-08","-"
"Gianforte, Greg","R","MT-AL","-"
"Fortenberry, Jeff","R","NE-01","-"
"Bacon, Don","R","NE-02","-"
"Smith, Adrian M.","R","NE-03","-"
"Titus, Dina","D","NV-01","+"
"Amodei, Mark E.","R","NV-02","-"
"Rosen, Jacky","D","NV-03","+"
"Kihuen, Ruben","D","NV-04","+"
"Shea-Porter, Carol","D","NH-01","+"
"Kuster, Ann M.","D","NH-02","+"
"Norcross, Donald W.","D","NJ-01","+"
"LoBiondo, Frank A.","R","NJ-02","-"
"MacArthur, Tom","R","NJ-03","-"
"Smith, Christopher H.","R","NJ-04","+"
"Gottheimer, Josh","D","NJ-05","+"
"Pallone, Frank J.","D","NJ-06","+"
"Lance, Leonard","R","NJ-07","-"
"Sires, Albio","D","NJ-08","+"
"Pascrell, Bill","D","NJ-09","+"
"Payne, Donald M.","D","NJ-10","+"
"Frelinghuysen, Rodney P.","R","NJ-11","-"
"Watson Coleman, Bonnie","D","NJ-12","?"
"Lujan Grisham, Michelle","D","NM-01","+"
"Pearce, Steve","R","NM-02","-"
"Luján, Ben Ray","D","NM-03","+"
"Zeldin, Lee","R","NY-01","-"
"King, Peter T.","R","NY-02","-"
"Suozzi, Thomas","D","NY-03","+"
"Rice, Kathleen","D","NY-04","+"
"Meeks, Gregory W.","D","NY-05","+"
"Meng, Grace","D","NY-06","+"
"Velázquez , Nydia","D","NY-07","+"
"Jeffries, Hakeem S.","D","NY-08","+"
"Clarke, Yvette D.","D","NY-09","+"
"Nadler, Jerrold L.","D","NY-10","+"
"Donovan, Daniel M.","R","NY-11","-"
"Maloney, Carolyn B.","D","NY-12","+"
"Espaillat, Adriano","D","NY-13","+"
"Crowley, Joseph","D","NY-14","+"
"Serrano, Jose","D","NY-15","+"
"Engel, Eliot L.","D","NY-16","+"
"Lowey, Nita M.","D","NY-17","+"
"Maloney, Sean Patrick","D","NY-18","+"
"Faso, John","R","NY-19","+"
"Tonko, Paul D.","D","NY-20","+"
"Stefanik, Elise","R","NY-21","+"
"Tenney, Claudia","R","NY-22","-"
"Reed, Tom","R","NY-23","-"
"Katko, John","R","NY-24","+"
"Slaughter, Louise","D","NY-25","+"
"Higgins, Brian M.","D","NY-26","+"
"Collins, Chris","R","NY-27","-"
"Butterfield, G.K.","D","NC-01","+"
"Holding, George","R","NC-02","-"
"Jones, Jr., Walter","R","NC-03","-"
"Price, David","D","NC-04","+"
"Foxx, Virginia","R","NC-05","-"
"Walker, Bradley Mark","R","NC-06","-"
"Rouzer, David","R","NC-07","-"
"Hudson, Richard","R","NC-08","-"
"Pittenger, Robert","R","NC-09","-"
"McHenry, Patrick T.","R","NC-10","-"
"Meadows, Mark","R","NC-11","-"
"Adams, Alma","D","NC-12","+"
"Budd, Ted","R","NC-13","-"
"Cramer, Kevin","R","ND-AL","-"
"Chabot, Steve","R","OH-01","-"
"Wenstrup, Brad R.","R","OH-02","-"
"Beatty, Joyce","D","OH-03","+"
"Jordan, Jim","R","OH-04","-"
"Latta, Bob","R","OH-05","-"
"Johnson, Bill","R","OH-06","-"
"Gibbs, Bob","R","OH-07","-"
"Davidson, Warren","R","OH-08","-"
"Kaptur, Marcy","D","OH-09","+"
"Turner, Michael R.","R","OH-10","-"
"Fudge, Marcia L.","D","OH-11","+"
"Tiberi, Pat","R","OH-12","?"
"Ryan, Tim","D","OH-13","+"
"Joyce, David P.","R","OH-14","-"
"Stivers, Steve","R","OH-15","-"
"Renacci, Jim","R","OH-16","-"
"Bridenstine, Jim","R","OK-01","?"
"Mullin, Markwayne","R","OK-02","-"
"Lucas, Frank D.","R","OK-03","-"
"Cole, Tom","R","OK-04","-"
"Russell, Steve","R","OK-05","-"
"Bonamici, Suzanne","D","OR-01","+"
"Walden, Greg P.","R","OR-02","-"
"Blumenauer, Earl","D","OR-03","+"
"DeFazio, Peter A.","D","OR-04","+"
"Schrader, Kurt","D","OR-05","+"
"Brady, Robert A.","D","PA-01","+"
"Evans, Dwight","D","PA-02","+"
"Kelly, Mike","R","PA-03","-"
"Perry, Scott","R","PA-04","-"
"Thompson, Glenn W.","R","PA-05","-"
"Costello, Ryan","R","PA-06","+"
"Meehan, Patrick","R","PA-07","+"
"Fitzpatrick, Brian","R","PA-08","+"
"Shuster, Bill","R","PA-09","-"
"Marino, Tom","R","PA-10","-"
"Barletta, Lou","R","PA-11","-"
"Rothfus, Keith J.","R","PA-12","-"
"Boyle, Brendan","D","PA-13","+"
"Doyle, Mike","D","PA-14","+"
"Dent, Charlie","R","PA-15","-"
"Smucker, Lloyd","R","PA-16","-"
"Cartwright, Matt A.","D","PA-17","+"
"Murphy, Tim","R","PA-18","-"
"Cicilline, David","D","RI-01","+"
"Langevin, Jim","D","RI-02","+"
"Sanford, Mark","R","SC-01","+"
"Wilson, Joe","R","SC-02","-"
"Duncan, Jeff","R","SC-03","-"
"Gowdy, Trey","R","SC-04","-"
"Norman, Ralph","R","SC-05","-"
"Clyburn, James E.","D","SC-06","?"
"Rice, Tom","R","SC-07","-"
"Noem, Kristi","R","SD-AL","-"
"Roe, Phil","R","TN-01","-"
"Duncan, Jr., John J.","R","TN-02","-"
"Fleischmann, Chuck","R","TN-03","-"
"DesJarlais, Scott","R","TN-04","-"
"Cooper, Jim","D","TN-05","+"
"Black, Diane","R","TN-06","-"
"Blackburn, Marsha","R","TN-07","-"
"Kustoff, David","R","TN-08","-"
"Cohen, Steve","D","TN-09","+"
"Gohmert, Louie","R","TX-01","-"
"Poe, Ted","R","TX-02","?"
"Johnson, Sam","R","TX-03","-"
"Ratcliffe, John","R","TX-04","-"
"Hensarling, Jeb","R","TX-05","-"
"Barton, Joe","R","TX-06","-"
"Culberson, John A.","R","TX-07","-"
"Brady, Kevin P.","R","TX-08","-"
"Green, Al","D","TX-09","+"
"McCaul, Michael T.","R","TX-10","-"
"Conaway, K. Michael","R","TX-11","-"
"Granger, Kay","R","TX-12","-"
"Thornberry, Mac","R","TX-13","-"
"Weber, Randy K.","R","TX-14","-"
"Gonzalez, Vicente","D","TX-15","-"
"O'Rourke, Beto","D","TX-16","+"
"Flores, Bill","R","TX-17","-"
"Jackson Lee, Sheila","D","TX-18","+"
"Arrington, Jodey","R","TX-19","-"
"Castro, Joaquin","D","TX-20","+"
"Smith, Lamar S.","R","TX-21","-"
"Olson, Pete","R","TX-22","-"
"Hurd, Will","R","TX-23","-"
"Marchant, Kenny E.","R","TX-24","-"
"Williams, Roger","R","TX-25","-"
"Burgess, Michael C.","R","TX-26","-"
"Farenthold, Blake","R","TX-27","-"
"Cuellar, Henry","D","TX-28","-"
"Green, Gene","D","TX-29","+"
"Johnson, Eddie Bernice","D","TX-30","+"
"Carter, John R.","R","TX-31","-"
"Sessions, Pete","R","TX-32","-"
"Veasey, Marc A.","D","TX-33","+"
"Vela, Filemon","D","TX-34","+"
"Doggett, Lloyd A.","D","TX-35","+"
"Babin, Brian","R","TX-36","-"
"Bishop, Rob","R","UT-01","-"
"Stewart, Chris","R","UT-02","-"
"Love, Mia","R","UT-04","-"
"Welch, Peter F.","D","VT-AL","+"
"Wittman, Rob","R","VA-01","-"
"Taylor, Scott","R","VA-02","-"
"Scott, Robert C.","D","VA-03","+"
"McEachin, A. Donald","D","VA-04","?"
"Garrett, Thomas","R","VA-05","?"
"Goodlatte, Bob","R","VA-06","-"
"Brat, David Alan","R","VA-07","-"
"Beyer, Donald","D","VA-08","+"
"Griffith, Morgan","R","VA-09","-"
"Comstock, Barbara","R","VA-10","-"
"Connolly, Gerald E.","D","VA-11","+"
"DelBene, Suzan K.","D","WA-01","+"
"Larsen, Rick","D","WA-02","+"
"Herrera-Beutler, Jaime","R","WA-03","-"
"Newhouse, Dan","R","WA-04","-"
"McMorris Rodgers, Cathy","R","WA-05","-"
"Kilmer, Derek","D","WA-06","+"
"Jayapal, Pramila","D","WA-07","+"
"Reichert, Dave","R","WA-08","+"
"Smith, Adam","D","WA-09","+"
"Heck, Denny","D","WA-10","+"
"McKinley, David","R","WV-01","-"
"Mooney, Alex","R","WV-02","-"
"Jenkins, Evan","R","WV-03","-"
"Ryan, Paul","R","WI-01","n/a"
"Pocan, Mark","D","WI-02","+"
"Kind, Ron","D","WI-03","+"
"Moore, Gwen","D","WI-04","+"
"Sensenbrenner, James F.","R","WI-05","-"
"Grothman, Glenn","R","WI-06","-"
"Duffy, Sean","R","WI-07","-"
"Gallagher, Mike","R","WI-08","-"
"Cheney, Liz","R","WY-AL","-"
""
