"party","Vote_change_dummy","Vote4","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","state","BioID","seniority_113","birthday","Geographical","nominate_dim1","nominate_dim2","Vote4_minus","Vote4_plus","Vote4_NA"
"R",0,"-",2500,0,17000,0,"FL","D000600",6,"1961-09-25","SO",0.284,0.141,1,0,0
"D",1,"-",20000,0,17500,0,"GA","B000490",11,"1947-02-04","SO",-0.285,0.454,1,0,0
"D",0,"+",2500,0,1000,0,"GA","J000288",4,"1954-10-02","SO",-0.473,-0.025,0,1,0
"R",0,"-",8500,0,7000,0,"GA","S001189",2,"1969-12-10","SO",0.535,0.354,1,0,0
"D",0,"+",2500,0,8250,0,"GA","S001157",6,"1945-06-27","SO",-0.304,0.168,0,1,0
"R",0,"-",103694,1000,80600,0,"ID","S001148",8,"1950-09-08","WE",0.297,0.307,1,0,0
"D",0,"+",23000,0,25400,0,"IL","R000515",11,"1946-11-23","MW",-0.479,-0.203,0,1,0
"D",0,"+",3500,0,7500,1000,"IL","K000385",1,"1956-04-30","MW",-0.467,-0.023,0,1,0
"D",0,"+",2000,0,4500,1000,"IL","Q000023",3,"1958-10-17","MW",-0.324,-0.259,0,1,0
"D",0,"+",7500,0,5500,5000,"IL","D000096",9,"1941-09-06","MW",-0.486,-0.26,0,1,0
"D",0,"+",0,3600,3000,0,"IL","S001145",8,"1944-05-26","MW",-0.603,-0.276,0,1,0
"D",0,NA,5500,0,NA,NA,"IL","S001190",1,"1961-08-20","MW",-0.187,-0.14,NA,NA,1
"D",0,"+",12850,4850,15700,1200,"IL","F000454",3,"1955-10-07","MW",-0.233,-0.215,0,1,0
"R",0,"-",39805,1500,24900,5000,"IL","D000619",1,"1970-01-05","MW",0.279,0.17,1,0,0
"R",0,"-",69850,5000,68400,4500,"IL","K000378",2,"1978-02-27","MW",0.234,0.382,1,0,0
"D",0,"+",9750,1000,10325,4341,"IL","B001286",1,"1961-10-17","MW",-0.239,0.054,0,1,0
"R",0,"-",19100,4600,26750,5000,"IN","W000813",1,"1963-08-17","MW",0.436,0.315,1,0,0
"D",0,"+",3250,0,2250,0,"IN","C001072",4,"1974-10-16","MW",-0.43,0.04,0,1,0
"R",0,"-",28350,0,28450,0,"IN","B001275",2,"1962-05-31","MW",0.383,0.373,1,0,0
"R",0,"-",32500,0,23500,0,"KY","G000558",3,"1964-02-18","SO",0.426,0.275,1,0,0
"D",0,"+",4000,0,1500,0,"KY","Y000062",4,"1947-11-04","SO",-0.378,-0.275,0,1,0
"R",0,"-",8600,0,6000,0,"KY","M001184",2,"1971-01-13","SO",0.678,-0.735,1,0,0
"R",0,"-",44800,0,20500,0,"KY","R000395",14,"1937-12-31","SO",0.334,0.142,1,0,0
"R",0,"-",107750,0,53550,0,"KY","B001282",1,"1973-07-24","SO",0.484,0.294,1,0,0
"R",0,"-",91500,0,94150,0,"LA","S001176",4,"1965-10-06","SO",0.559,0.15,1,0,0
"D",0,"+",19100,0,30250,0,"LA","R000588",2,"1973-09-13","SO",-0.486,0.332,0,1,0
"D",0,"+",250,0,1250,1000,"ME","P000597",3,"1955-04-02","NE",-0.421,-0.36,0,1,0
"R",0,"-",34200,0,8500,0,"MD","H001052",2,"1957-01-25","MD",0.671,-0.374,1,0,0
"D",0,"+",13750,0,4000,0,"MD","R000576",6,"1946-01-31","MD",-0.297,0.127,0,1,0
"D",0,"+",0,0,0,0,"MD","S001168",4,"1962-05-22","MD",-0.465,-0.071,0,1,0
"D",0,"+",75000,0,107750,4500,"MD","H000874",14,"1939-06-14","MD",-0.381,0.121,0,1,0
"D",0,"+",9000,1000,17000,0,"MA","N000015",13,"1949-02-14","NE",-0.417,-0.105,0,1,0
"D",0,"+",5000,5200,2510,0,"MA","M000312",9,"1959-11-20","NE",-0.538,-0.323,0,1,0
"D",0,"+",3700,250,0,0,"MA","L000562",7,"1955-03-31","NE",-0.348,0.037,0,1,0
"D",0,"+",3500,0,10000,0,"MA","K000375",2,"1952-09-06","NE",-0.33,-0.112,0,1,0
"R",0,"-",12300,0,22050,0,"MI","H001058",2,"1969-01-31","MW",0.536,0.026,1,0,0
"D",0,"+",10000,0,10600,0,"MI","K000380",1,"1958-08-11","MW",-0.367,-0.174,0,1,0
"R",1,"-",135350,1000,142613,0,"MI","U000031",14,"1953-04-23","MW",0.32,-0.355,1,0,0
"R",0,"-",26050,0,43750,0,"MI","W000798",3,"1951-04-12","MW",0.501,0.142,1,0,0
"D",0,"+",1000,0,1000,0,"MN","M001143",7,"1954-07-12","MW",-0.417,-0.193,0,1,0
"D",0,"+",11500,0,26500,0,"MS","T000193",11,"1948-01-28","SO",-0.517,0.395,0,1,0
"R",0,"-",32000,0,31500,0,"MS","P000601",2,"1970-02-21","SO",0.535,0.45,1,0,0
"R",0,"-",51850,0,17500,0,"MO","W000812",1,"1962-09-13","MW",0.393,0.284,1,0,0
"R",0,"-",5500,0,7500,2500,"MO","L000569",3,"1952-05-07","MW",0.452,0.23,1,0,0
"R",0,"-",11200,0,5000,0,"MO","H001053",2,"1960-10-13","MW",0.478,0.229,1,0,0
"D",0,"+",5000,0,3000,1000,"MO","C001061",5,"1944-10-26","MW",-0.453,0.009,0,1,0
"R",0,"-",8750,2000,9000,1000,"MO","G000546",7,"1963-11-07","MW",0.447,0.167,1,0,0
"R",0,"-",48650,0,22000,0,"MO","L000576",2,"1955-08-11","MW",0.544,0.244,1,0,0
"R",0,"-",35465,0,24600,6000,"MO","S001195",1,"1980-06-16","MW",0.581,0.254,1,0,0
"R",0,"-",3500,0,3500,0,"NE","F000449",5,"1960-12-27","MW",0.304,-0.061,1,0,0
"R",0,"-",9000,1500,7750,5000,"NE","S001172",4,"1970-12-19","MW",0.513,0.233,1,0,0
"D",0,"+",4750,1000,6000,5500,"NV","T000468",2,"1950-05-23","WE",-0.299,-0.193,0,1,0
"R",0,"-",13000,0,19700,0,"NV","A000369",2,"1958-06-12","WE",0.387,0.196,1,0,0
"D",0,NA,11250,500,NA,NA,"NV","H001066",1,"1973-04-29","WE",-0.342,0.135,NA,NA,1
"D",0,"+",2500,6950,8500,1000,"NH","K000382",1,"1956-09-05","NE",-0.26,-0.098,0,1,0
"R",1,"-",1500,0,NA,NA,"NJ","S000522",14,"1953-03-04","NE",0.178,-0.173,1,0,0
"D",0,"+",26088,2500,12499,1000,"NJ","P000034",14,"1951-10-30","NE",-0.404,-0.168,0,1,0
"D",0,"+",1000,0,NA,NA,"NJ","S001165",5,"1951-01-26","NE",-0.404,0.098,0,1,0
"D",0,"+",10000,0,7500,6000,"NJ","P000096",9,"1937-01-25","NE",-0.368,-0.006,0,1,0
"D",0,"+",8850,0,7600,0,"NJ","P000604",2,"1958-12-17","NE",-0.52,-0.097,0,1,0
"D",0,"+",8500,0,7000,0,"NY","M001137",9,"1953-09-25","NE",-0.415,-0.072,0,1,0
"D",0,"+",500,500,1500,500,"NY","M001188",1,"1975-10-01","NE",-0.376,-0.217,0,1,0
"D",0,"+",2000,0,0,0,"NY","V000081",11,"1953-03-28","NE",-0.547,-0.351,0,1,0
"D",0,"+",2000,1000,5000,0,"NY","J000294",1,"1970-08-04","NE",-0.486,-0.072,0,1,0
"D",0,"+",0,0,5000,0,"NY","C001067",4,"1964-11-21","NE",-0.609,-0.246,0,1,0
"D",0,"+",250,0,0,0,"NY","N000002",12,"1947-06-13","NE",-0.508,-0.484,0,1,0
"D",0,"+",0,0,13300,0,"NY","M000087",11,"1946-02-19","NE",-0.387,-0.285,0,1,0
"D",0,"+",20500,4550,12050,3175,"NY","T000469",3,"1949-06-18","NE",-0.415,-0.268,0,1,0
"R",1,"-",85750,4250,77325,18000,"NY","R000585",3,"1971-11-18","NE",0.269,0.12,1,0,0
"D",0,"+",1000,0,2000,0,"NY","H001038",5,"1959-10-06","NE",-0.348,-0.032,0,1,0
"D",0,"+",11000,0,6000,1000,"NC","B001251",6,"1947-04-27","SO",-0.404,0.184,0,1,0
"D",0,"+",1000,0,5000,0,"NC","P000523",13,"1940-08-17","SO",-0.343,-0.03,0,1,0
"R",0,"-",5500,1000,11073,500,"NC","F000450",5,"1943-06-29","SO",0.623,0.18,1,0,0
"R",0,"-",18250,300,94650,0,"NC","H001067",1,"1971-11-04","SO",0.526,0.178,1,0,0
"R",0,"-",6000,0,47500,0,"NC","M001156",5,"1975-10-22","SO",0.529,0.131,1,0,0
"R",0,"-",4500,0,7100,0,"OH","C000266",9,"1953-01-22","NW",0.542,-0.137,1,0,0
"R",0,"-",16600,300,13100,100,"OH","W000815",1,"1958-06-17","NW",0.528,0.268,1,0,0
"D",0,"+",10100,0,24000,0,"OH","B001281",1,"1950-03-12","NW",-0.439,0.042,0,1,0
"R",0,"-",15950,0,8500,0,"OH","J000289",4,"1964-02-17","NW",0.717,-0.198,1,0,0
"R",0,"-",48850,10450,36750,0,"OH","L000566",4,"1956-04-18","NW",0.51,0.28,1,0,0
"R",0,"-",144635,4600,99450,12500,"OH","J000292",2,"1954-11-10","NW",0.436,0.235,1,0,0
"R",0,"-",55150,500,13500,500,"OH","G000563",2,"1954-06-14","NW",0.484,0.284,1,0,0
"D",0,"+",23100,1000,17500,0,"OH","K000009",14,"1946-06-17","NW",-0.348,0.117,0,1,0
"R",0,"-",7500,0,24950,0,"OH","T000463",6,"1960-01-11","NW",0.269,0.245,1,0,0
"D",0,"+",12750,0,21500,0,"OH","F000455",4,"1952-10-29","NW",-0.581,0.14,0,1,0
"D",0,"+",27000,0,20500,0,"OH","R000577",6,"1973-07-16","NW",-0.402,0.208,0,1,0
"R",0,"-",32900,500,25800,2300,"OH","J000295",1,"1957-03-17","NW",0.256,0.301,1,0,0
"R",0,"-",46700,0,41600,0,"OH","S001187",2,"1965-03-24","NW",0.3,0.269,1,0,0
"R",0,"-",NA,NA,NA,NA,"OK","M001190",NA,NA,"SO",NA,NA,1,0,0
"R",0,"-",49550,0,23500,0,"OK","L000491",11,"1960-01-06","SO",0.36,0.449,1,0,0
"R",0,"-",58000,0,68750,0,"OK","C001053",6,"1949-04-28","SO",0.324,0.4,1,0,0
"D",0,"+",1500,0,2750,0,"OR","B001278",2,"1954-10-14","WE",-0.396,-0.41,0,1,0
"D",0,"+",5750,7750,8250,8950,"OR","B000574",10,"1948-08-16","WE",-0.427,-0.641,0,1,0
"D",0,"+",2500,500,250,0,"OR","D000191",14,"1947-05-27","WE",-0.427,-0.002,0,1,0
"D",0,"+",5000,1050,29750,0,"OR","S001180",3,"1951-10-19","WE",-0.182,0.054,0,1,0
"R",0,"-",65750,0,30850,2700,"PA","K000376",2,"1948-05-10","NE",0.373,0.41,1,0,0
"R",0,"-",9500,0,22500,0,"PA","P000605",1,"1962-05-27","NE",0.677,-0.461,1,0,0
"R",0,"-",34630,0,36000,0,"PA","T000467",3,"1959-07-27","NE",0.331,0.357,1,0,0
"D",0,"+",37500,0,42000,0,"PA","D000482",10,"1953-08-05","NE",-0.331,0.099,0,1,0
"D",0,"+",0,500,1000,0,"PA","C001090",1,"1961-05-01","NE",-0.349,-0.005,0,1,0
"D",0,"+",2250,1000,500,1000,"RI","C001084",2,"1961-07-15","NE",-0.389,-0.262,0,1,0
"D",0,"+",3050,0,5000,0,"RI","L000559",7,"1964-04-22","NE",-0.375,0.114,0,1,0
"R",0,"-",8500,0,14750,0,"SC","W000795",7,"1947-07-31","SO",0.531,0.147,1,0,0
"R",0,"-",20610,0,7000,0,"SC","D000615",2,"1966-01-07","SO",0.701,-0.1,1,0,0
"D",0,"+",52000,1500,55500,0,"SC","C000537",11,"1940-07-21","SO",-0.465,0.25,0,1,0
"R",0,"-",11500,0,28750,0,"SC","R000597",1,"1957-08-04","SO",0.558,-0.217,1,0,0
"R",0,"-",14000,6700,20000,0,"TN","F000459",2,"1962-10-11","SO",0.434,0.406,1,0,0
"R",0,"-",500,0,10650,0,"TN","D000616",2,"1964-02-21","SO",0.581,-0.046,1,0,0
"D",0,"+",6700,0,4750,0,"TN","C000754",10,"1954-06-19","SO",-0.164,-0.033,0,1,0
"D",0,"+",1000,0,500,0,"TN","C001068",4,"1949-05-24","SO",-0.392,-0.326,0,1,0
"R",0,"-",16700,0,10950,0,"TX","G000552",5,"1953-08-18","SO",0.644,-0.406,1,0,0
"R",0,NA,110050,1000,185000,3000,"TX","B000755",9,"1955-04-11","SO",0.52,0.239,NA,NA,1
"D",0,"+",0,0,2000,0,"TX","G000553",5,"1947-09-01","SO",-0.443,0.29,0,1,0
"R",0,"-",50350,0,58950,0,"TX","M001157",5,"1962-01-14","SO",0.416,0.144,1,0,0
"R",0,"-",25700,0,43250,1000,"TX","G000377",9,"1943-01-18","SO",0.404,0.235,1,0,0
"R",0,"-",32250,0,26250,0,"TX","W000814",1,"1953-07-02","SO",0.73,0.017,1,0,0
"D",0,"+",2500,0,5000,0,"TX","J000032",10,"1950-01-12","SO",-0.46,0.125,0,1,0
"D",0,"+",16000,0,7300,0,"TX","C001091",1,"1974-09-16","SO",-0.404,-0.071,0,1,0
"R",0,"-",58800,0,32300,0,"TX","W000816",1,"1949-09-13","SO",0.595,0.063,1,0,0
"R",0,"-",34900,0,15500,0,"TX","B001248",6,"1950-12-23","SO",0.567,-0.185,1,0,0
"D",1,"-",65100,0,43750,0,"TX","C001063",5,"1955-09-19","SO",-0.227,0.622,1,0,0
"D",0,"+",2000,0,1000,0,"TX","J000126",11,"1935-12-03","SO",-0.485,0.198,0,1,0
"R",0,"-",18000,0,28000,0,"TX","C001051",6,"1941-11-06","SO",0.485,0.565,1,0,0
"R",0,"-",61950,500,45000,0,"TX","S000250",9,"1955-03-22","SO",0.588,0.149,1,0,0
"D",1,"-",14300,0,21350,0,"TX","V000131",1,"1971-01-03","SO",-0.404,0.34,1,0,0
"D",1,"+",7500,1000,17400,500,"TX","V000132",1,"1963-02-13","SO",-0.311,0.407,0,1,0
"D",0,"+",2000,2250,0,0,"TX","D000399",10,"1946-10-06","SO",-0.402,-0.322,0,1,0
"R",0,"-",18250,0,42000,0,"UT","S001192",1,"1960-07-15","WE",0.499,0.167,1,0,0
"D",0,"+",NA,NA,NA,NA,"VT","W000800",NA,NA,"NE",NA,NA,0,1,0
"R",0,"-",2500,1000,9000,0,"VA","W000804",4,"1959-02-03","SO",0.451,0.001,1,0,0
"D",0,"+",5000,0,4000,0,"VA","S000185",11,"1947-04-30","SO",-0.45,0.012,0,1,0
"R",0,"-",33000,0,49050,0,"VA","G000568",2,"1958-03-15","SO",0.52,-0.365,1,0,0
"D",0,"+",4000,0,4000,1000,"VA","C001078",3,"1950-03-30","SO",-0.307,-0.038,0,1,0
"D",0,"+",10550,0,5990,0,"WA","D000617",2,"1962-02-17","WE",-0.292,-0.19,0,1,0
"D",0,"+",6500,0,15000,0,"WA","L000560",7,"1965-06-15","WE",-0.365,0.178,0,1,0
"R",0,"-",14495,0,4770,0,"WA","H001056",2,"1978-11-03","WE",0.336,-0.129,1,0,0
"R",0,"-",46710,1750,73990,6000,"WA","M001159",5,"1969-05-22","WE",0.432,0.11,1,0,0
"D",0,"+",6500,1000,4500,0,"WA","K000381",1,"1974-01-01","WE",-0.312,-0.009,0,1,0
"D",0,"+",6325,0,3500,0,"WA","S000510",9,"1965-06-15","WE",-0.288,-0.165,0,1,0
"R",0,"-",109600,0,45200,0,"WV","M001180",2,"1947-03-28","SO",0.3,0.178,1,0,0
"D",0,"+",12600,500,3500,0,"WI","P000607",1,"1964-08-14","MW",-0.531,-0.561,0,1,0
"D",0,"+",13250,3000,9000,0,"WI","K000188",9,"1963-03-16","MW",-0.26,-0.08,0,1,0
"D",0,"+",1000,0,4500,0,"WI","M001160",5,"1951-04-18","MW",-0.526,-0.258,0,1,0
"R",0,"-",NA,NA,9000,0,"AL","P000609",0,"1954-05-14","SO",0.679,0.102,1,0,0
"D",0,"+",NA,NA,7050,5100,"AZ","G000574",0,"1979-11-20","WE",-0.418,0.069,0,1,0
"R",0,"-",NA,NA,18500,0,"AR","H001072",0,"1956-12-05","SO",0.437,0.27,1,0,0
"R",0,"-",NA,NA,17850,0,"AR","W000821",0,"1967-11-18","SO",0.55,0.305,1,0,0
"D",0,"+",NA,NA,2500,0,"CA","D000623",0,"1952-03-31","WE",-0.523,-0.372,0,1,0
"D",0,"+",NA,NA,9925,45,"CA","A000371",0,"1979-06-19","WE",-0.31,0.141,0,1,0
"D",0,"+",NA,NA,9000,0,"CA","L000582",0,"1969-03-29","WE",-0.374,-0.229,0,1,0
"D",0,"+",NA,NA,1000,0,"CA","T000474",0,"1965-04-04","WE",-0.363,0.046,0,1,0
"R",0,"-",NA,NA,22500,2500,"CO","B001297",0,"1959-02-16","WE",0.656,-0.431,1,0,0
"R",0,"-",NA,NA,11100,0,"GA","C001103",0,"1957-09-06","SO",0.562,0.317,1,0,0
"R",0,"-",NA,NA,2500,0,"GA","H001071",0,"1960-04-22","SO",0.797,-0.242,1,0,0
"R",0,"-",NA,NA,14875,0,"GA","L000583",0,"1963-12-22","SO",0.682,-0.003,1,0,0
"R",0,"-",NA,NA,7450,350,"GA","A000372",0,"1951-11-07","SO",0.692,0.291,1,0,0
"R",0,"-",NA,NA,38950,0,"IL","B001295",0,"1960-12-30","MW",0.384,0.031,1,0,0
"R",0,"-",NA,NA,46400,7200,"IL","L000585",0,"1968-07-05","MW",0.458,0.217,1,0,0
"R",0,"-",NA,NA,112499,2700,"LA","G000577",0,"1972-01-31","SO",0.43,0.029,1,0,0
"D",0,"+",7200,250,2000,0,"MA","C001101",1,"1963-07-17","NE",-0.482,-0.316,0,1,0
"D",0,"+",NA,NA,1000,150,"MA","M001196",0,"1978-10-24","NE",-0.282,-0.044,0,1,0
"R",0,"-",NA,NA,9500,0,"MI","M001194",0,"1961-05-08","MW",0.45,0.169,1,0,0
"D",0,"+",NA,NA,10000,250,"MI","D000624",0,"1953-11-23","MW",-0.404,-0.157,0,1,0
"D",0,"+",NA,NA,7500,0,"MI","L000581",0,"1954-10-18","MW",-0.448,-0.039,0,1,0
"R",0,"-",NA,NA,5900,0,"MN","E000294",0,"1961-03-03","MW",0.468,-0.09,1,0,0
"R",0,"-",NA,NA,10200,0,"MS","K000388",0,"1966-03-01","SO",0.637,0.273,1,0,0
"D",0,"+",0,0,32736,0,"NJ","N000188",1,"1958-12-13","NE",-0.421,0.328,0,1,0
"D",0,"+",NA,NA,2000,1500,"NJ","W000822",0,"1945-02-06","NE",-0.608,-0.193,0,1,0
"R",0,"-",NA,NA,13150,300,"NY","Z000017",0,"1980-01-30","NE",0.397,-0.129,1,0,0
"D",0,"+",NA,NA,3500,1000,"NY","R000602",0,"1965-02-15","NE",-0.28,0.039,0,1,0
"R",1,"+",NA,NA,26250,2250,"NY","S001196",0,"1984-07-02","NE",0.301,-0.125,0,1,0
"R",0,"+",NA,NA,48050,0,"NY","K000386",0,"1962-11-09","NE",0.185,0.013,0,1,0
"R",0,"-",NA,NA,14350,0,"NC","R000603",0,"1972-02-16","SO",0.564,0.247,1,0,0
"D",0,"+",0,0,3750,0,"NC","A000370",1,"1946-05-27","SO",-0.468,0.017,0,1,0
"R",0,"-",NA,NA,4000,0,"OH","D000626",0,"1970-03-01","NW",0.659,-0.355,1,0,0
"D",0,"+",NA,NA,9500,0,"PA","B001296",0,"1977-02-06","NE",-0.391,0.139,0,1,0
"R",0,"-",NA,NA,19800,1000,"TX","B001291",0,"1948-03-23","SO",0.711,0.074,1,0,0
"D",0,"+",NA,NA,16450,1000,"VA","B001292",0,"1950-06-20","SO",-0.385,-0.095,0,1,0
"R",0,"-",NA,NA,23000,250,"WA","N000189",0,"1955-07-10","WE",0.316,0.347,1,0,0
"R",0,"-",NA,NA,14100,250,"WV","M001195",0,"1971-06-05","SO",0.564,-0.222,1,0,0
"R",0,"-",NA,NA,17010,250,"WI","G000576",0,"1955-07-03","MW",0.599,-0.225,1,0,0
"D",0,NA,NA,NA,NA,NA,"AZ","O000171",0,"1946-01-24","WE",-0.198,0.18,NA,NA,1
"R",0,NA,NA,NA,NA,NA,"AZ","B001302",0,"1958-11-07","WE",0.827,-0.562,NA,NA,1
"D",0,NA,NA,NA,NA,NA,"CA","K000389",0,"1976-09-13","WE",-0.504,-0.255,NA,NA,1
"D",0,NA,NA,NA,NA,NA,"CA","P000613",0,"1969-10-01","WE",-0.288,0.126,NA,NA,1
"D",0,NA,NA,NA,NA,NA,"CA","C001112",0,"1964-11-18","WE",-0.31,0.101,NA,NA,1
"D",0,NA,NA,NA,NA,NA,"CA","G000585",0,"1974-11-25","WE",-0.542,-0.302,NA,NA,1
"D",0,NA,NA,NA,NA,NA,"CA","B001300",0,"1976-09-15","WE",-0.506,-0.105,NA,NA,1
"D",0,NA,NA,NA,NA,NA,"CA","C001110",0,"1958-01-24","WE",-0.29,0.234,NA,NA,1
