"party","Vote_change_dummy","Vote6","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_6_minus","Contribution_6_plus","state","BioID","seniority_116","birthday","Geographical","nominate_dim1","nominate_dim2","Vote6_minus","Vote6_plus","Vote6_NA"
"D",0,1,11000,2500,0,0,6500,2800,"FL","D000610",6,1966,"SO",-0.401,-0.078,0,1,0
"D",0,1,5600,0,0,0,2500,0,"FL","F000462",4,1948,"SO",-0.397,-0.054,0,1,0
"D",0,1,9500,5500,6400,2850,0,0,"FL","W000797",8,1966,"SO",-0.416,0.088,0,1,0
"D",0,1,2000,0,3500,0,1500,0,"FL","W000808",5,1942,"SO",-0.477,-0.012,0,1,0
"R",0,0,2500,0,17000,0,20100,0,"FL","D000600",9,1961,"SO",0.284,0.141,1,0,0
"D",1,1,20000,0,17500,0,7500,0,"GA","B000490",14,1947,"SO",-0.285,0.454,0,1,0
"D",0,1,2500,0,1000,0,1500,0,"GA","J000288",7,1954,"SO",-0.473,-0.025,0,1,0
"R",0,0,8500,0,7000,0,2500,0,"GA","S001189",5,1969,"SO",0.535,0.354,1,0,0
"D",0,1,2500,0,8250,0,0,0,"GA","S001157",9,1945,"SO",-0.304,0.168,0,1,0
"R",0,0,103694,1000,80600,0,40100,0,"ID","S001148",11,1950,"WE",0.297,0.307,1,0,0
"D",0,1,23000,0,25400,0,35000,0,"IL","R000515",14,1946,"MW",-0.479,-0.203,0,1,0
"D",0,1,3500,0,7500,1000,15500,0,"IL","K000385",4,1956,"MW",-0.467,-0.023,0,1,0
"D",0,1,2000,0,4500,1000,0,0,"IL","Q000023",6,1958,"MW",-0.324,-0.259,0,1,0
"D",0,1,7500,0,5500,5000,9000,0,"IL","D000096",12,1941,"MW",-0.486,-0.26,0,1,0
"D",0,1,0,3600,3000,0,0,1275,"IL","S001145",11,1944,"MW",-0.603,-0.276,0,1,0
"D",0,1,5500,0,NA,NA,8500,0,"IL","S001190",3,1961,"MW",-0.187,-0.14,0,1,0
"D",0,1,12850,4850,15700,1200,9200,0,"IL","F000454",6,1955,"MW",-0.233,-0.215,0,1,0
"R",0,0,39805,1500,24900,5000,62064,0,"IL","D000619",4,1970,"MW",0.279,0.17,1,0,0
"R",0,0,69850,5000,68400,4500,61800,0,"IL","K000378",5,1978,"MW",0.234,0.382,1,0,0
"D",0,1,9750,1000,10325,4341,54250,4000,"IL","B001286",4,1961,"MW",-0.239,0.054,0,1,0
"R",0,0,19100,4600,26750,5000,31488,0,"IN","W000813",4,1963,"MW",0.436,0.315,1,0,0
"D",0,1,3250,0,2250,0,0,700,"IN","C001072",7,1974,"MW",-0.43,0.04,0,1,0
"R",0,0,28350,0,28450,0,6250,0,"IN","B001275",5,1962,"MW",0.383,0.373,1,0,0
"R",0,0,32500,0,23500,0,27000,0,"KY","G000558",6,1964,"SO",0.426,0.275,1,0,0
"D",0,1,4000,0,1500,0,0,0,"KY","Y000062",7,1947,"SO",-0.378,-0.275,0,1,0
"R",0,0,8600,0,6000,0,6000,0,"KY","M001184",5,1971,"SO",0.678,-0.735,1,0,0
"R",0,0,44800,0,20500,0,1000,0,"KY","R000395",17,1937,"SO",0.334,0.142,1,0,0
"R",0,0,107750,0,53550,0,42073,0,"KY","B001282",4,1973,"SO",0.484,0.294,1,0,0
"R",0,0,91500,0,94150,0,155465,750,"LA","S001176",7,1965,"SO",0.559,0.15,1,0,0
"D",0,1,19100,0,30250,0,52800,0,"LA","R000588",5,1973,"SO",-0.486,0.332,0,1,0
"D",0,1,250,0,1250,1000,1000,0,"ME","P000597",6,1955,"NE",-0.421,-0.36,0,1,0
"R",0,0,34200,0,8500,0,250,0,"MD","H001052",5,1957,"SO",0.671,-0.374,1,0,0
"D",0,1,13750,0,4000,0,8000,2800,"MD","R000576",9,1946,"SO",-0.297,0.127,0,1,0
"D",0,1,0,0,0,0,0,0,"MD","S001168",7,1962,"SO",-0.465,-0.071,0,1,0
"D",0,1,75000,0,107750,4500,121500,0,"MD","H000874",17,1939,"SO",-0.381,0.121,0,1,0
"D",0,1,9000,1000,17000,0,66200,1000,"MA","N000015",16,1949,"NE",-0.417,-0.105,0,1,0
"D",0,1,5000,5200,2510,0,250,5600,"MA","M000312",12,1959,"NE",-0.538,-0.323,0,1,0
"D",0,1,3700,250,0,0,0,0,"MA","L000562",10,1955,"NE",-0.348,0.037,0,1,0
"D",0,1,3500,0,10000,0,2000,0,"MA","K000375",5,1952,"NE",-0.33,-0.112,0,1,0
"R",0,0,12300,0,22050,0,26988,0,"MI","H001058",5,1969,"MW",0.536,0.026,1,0,0
"D",0,1,10000,0,10600,0,17800,0,"MI","K000380",4,1958,"MW",-0.367,-0.174,0,1,0
"R",1,1,135350,1000,142613,0,51788,0,"MI","U000031",17,1953,"MW",0.32,-0.355,0,1,0
"R",0,0,26050,0,43750,0,73238,0,"MI","W000798",6,1951,"MW",0.501,0.142,1,0,0
"D",0,1,1000,0,1000,0,NA,NA,"MN","M001143",10,1954,"MW",-0.417,-0.193,0,1,0
"D",0,1,11500,0,26500,0,11500,0,"MS","T000193",14,1948,"SO",-0.517,0.395,0,1,0
"R",0,0,32000,0,31500,0,20900,0,"MS","P000601",5,1970,"SO",0.535,0.45,1,0,0
"R",0,0,51850,0,17500,0,23011,0,"MO","W000812",4,1962,"MW",0.393,0.284,1,0,0
"R",0,0,5500,0,7500,2500,6000,0,"MO","L000569",6,1952,"MW",0.452,0.23,1,0,0
"R",0,0,11200,0,5000,0,10300,0,"MO","H001053",5,1960,"MW",0.478,0.229,1,0,0
"D",0,1,5000,0,3000,1000,4500,0,"MO","C001061",8,1944,"MW",-0.453,0.009,0,1,0
"R",0,0,8750,2000,9000,1000,43000,1000,"MO","G000546",10,1963,"MW",0.447,0.167,1,0,0
"R",0,0,48650,0,22000,0,45000,0,"MO","L000576",5,1955,"MW",0.544,0.244,1,0,0
"R",0,0,35465,0,24600,6000,25000,0,"MO","S001195",4,1980,"MW",0.581,0.254,1,0,0
"R",0,0,3500,0,3500,0,3500,0,"NE","F000449",8,1960,"MW",0.304,-0.061,1,0,0
"R",0,0,9000,1500,7750,5000,21500,0,"NE","S001172",7,1970,"MW",0.513,0.233,1,0,0
"D",0,1,4750,1000,6000,5500,3500,0,"NV","T000468",5,1950,"WE",-0.299,-0.193,0,1,0
"R",0,0,13000,0,19700,0,14750,0,"NV","A000369",5,1958,"WE",0.387,0.196,1,0,0
"D",0,1,11250,500,NA,NA,23100,0,"NV","H001066",2,1973,"WE",-0.342,0.135,0,1,0
"D",0,1,2500,6950,8500,1000,6750,0,"NH","K000382",4,1956,"NE",-0.26,-0.098,0,1,0
"R",1,1,1500,0,NA,NA,10988,0,"NJ","S000522",17,1953,"NE",0.178,-0.173,0,1,0
"D",0,1,26088,2500,12499,1000,80550,2500,"NJ","P000034",17,1951,"NE",-0.404,-0.168,0,1,0
"D",0,1,1000,0,NA,NA,2500,0,"NJ","S001165",8,1951,"NE",-0.404,0.098,0,1,0
"D",0,1,10000,0,7500,6000,16750,1000,"NJ","P000096",12,1937,"NE",-0.368,-0.006,0,1,0
"D",0,1,8850,0,7600,0,13000,0,"NJ","P000604",5,1958,"NE",-0.52,-0.097,0,1,0
"D",0,1,8500,0,7000,0,5000,0,"NY","M001137",12,1953,"NE",-0.415,-0.072,0,1,0
"D",0,1,500,500,1500,500,0,0,"NY","M001188",4,1975,"NE",-0.376,-0.217,0,1,0
"D",0,1,2000,0,0,0,3250,0,"NY","V000081",14,1953,"NE",-0.547,-0.351,0,1,0
"D",0,1,2000,1000,5000,0,3500,0,"NY","J000294",4,1970,"NE",-0.486,-0.072,0,1,0
"D",0,1,0,0,5000,0,4500,0,"NY","C001067",7,1964,"NE",-0.609,-0.246,0,1,0
"D",0,1,250,0,0,0,1000,0,"NY","N000002",15,1947,"NE",-0.508,-0.484,0,1,0
"D",0,1,0,0,13300,0,6400,250,"NY","M000087",14,1946,"NE",-0.387,-0.285,0,1,0
"D",0,1,20500,4550,12050,3175,86550,3800,"NY","T000469",6,1949,"NE",-0.415,-0.268,0,1,0
"R",1,0,85750,4250,77325,18000,45288,0,"NY","R000585",6,1971,"NE",0.269,0.12,1,0,0
"D",0,1,1000,0,2000,0,5000,0,"NY","H001038",8,1959,"NE",-0.348,-0.032,0,1,0
"D",0,1,11000,0,6000,1000,4500,0,"NC","B001251",9,1947,"SO",-0.404,0.184,0,1,0
"D",0,1,1000,0,5000,0,1000,0,"NC","P000523",16,1940,"SO",-0.343,-0.03,0,1,0
"R",0,0,5500,1000,11073,500,21000,0,"NC","F000450",8,1943,"SO",0.623,0.18,1,0,0
"R",0,0,18250,300,94650,0,58188,0,"NC","H001067",4,1971,"SO",0.526,0.178,1,0,0
"R",0,0,6000,0,47500,0,17500,0,"NC","M001156",8,1975,"SO",0.529,0.131,1,0,0
"R",0,0,4500,0,7100,0,13878,0,"OH","C000266",12,1953,"MW",0.542,-0.137,1,0,0
"R",0,0,16600,300,13100,100,20500,0,"OH","W000815",4,1958,"MW",0.528,0.268,1,0,0
"D",0,1,10100,0,24000,0,17250,0,"OH","B001281",4,1950,"MW",-0.439,0.042,0,1,0
"R",0,0,15950,0,8500,0,18550,0,"OH","J000289",7,1964,"MW",0.717,-0.198,1,0,0
"R",0,0,48850,10450,36750,0,36250,0,"OH","L000566",7,1956,"MW",0.51,0.28,1,0,0
"R",0,0,144635,4600,99450,12500,101350,0,"OH","J000292",5,1954,"MW",0.436,0.235,1,0,0
"R",0,0,55150,500,13500,500,12500,0,"OH","G000563",5,1954,"MW",0.484,0.284,1,0,0
"D",0,1,23100,1000,17500,0,22500,3000,"OH","K000009",17,1946,"MW",-0.348,0.117,0,1,0
"R",0,0,7500,0,24950,0,12011,0,"OH","T000463",9,1960,"MW",0.269,0.245,1,0,0
"D",0,1,12750,0,21500,0,4000,0,"OH","F000455",7,1952,"MW",-0.581,0.14,0,1,0
"D",0,NA,27000,0,20500,0,11250,500,"OH","R000577",9,1973,"MW",-0.402,0.208,NA,NA,1
"R",0,0,32900,500,25800,2300,45311,0,"OH","J000295",4,1957,"MW",0.256,0.301,1,0,0
"R",0,0,46700,0,41600,0,63300,0,"OH","S001187",5,1965,"MW",0.3,0.269,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,"OK","M001190",NA,NA,"SO",NA,NA,1,0,0
"R",0,0,49550,0,23500,0,15500,0,"OK","L000491",14,1960,"SO",0.36,0.449,1,0,0
"R",0,0,58000,0,68750,0,86500,3000,"OK","C001053",9,1949,"SO",0.324,0.4,1,0,0
"D",0,1,1500,0,2750,0,1000,0,"OR","B001278",5,1954,"WE",-0.396,-0.41,0,1,0
"D",0,1,5750,7750,8250,8950,750,0,"OR","B000574",13,1948,"WE",-0.427,-0.641,0,1,0
"D",0,1,2500,500,250,0,6500,0,"OR","D000191",17,1947,"WE",-0.427,-0.002,0,1,0
"D",0,1,5000,1050,29750,0,43000,0,"OR","S001180",6,1951,"WE",-0.182,0.054,0,1,0
"R",0,0,65750,0,30850,2700,53738,0,"PA","K000376",5,1948,"NE",0.373,0.41,1,0,0
"R",0,0,9500,0,22500,0,13200,3500,"PA","P000605",4,1962,"NE",0.677,-0.461,1,0,0
"R",0,0,34630,0,36000,0,20550,0,"PA","T000467",6,1959,"NE",0.331,0.357,1,0,0
"D",0,1,37500,0,42000,0,43000,0,"PA","D000482",13,1953,"NE",-0.331,0.099,0,1,0
"D",0,1,0,500,1000,0,3000,0,"PA","C001090",4,1961,"NE",-0.349,-0.005,0,1,0
"D",0,1,2250,1000,500,1000,1055,0,"RI","C001084",5,1961,"NE",-0.389,-0.262,0,1,0
"D",0,1,3050,0,5000,0,300,0,"RI","L000559",10,1964,"NE",-0.375,0.114,0,1,0
"R",0,0,8500,0,14750,0,7500,0,"SC","W000795",10,1947,"SO",0.531,0.147,1,0,0
"R",0,0,20610,0,7000,0,22000,0,"SC","D000615",5,1966,"SO",0.701,-0.1,1,0,0
"D",0,1,52000,1500,55500,0,59300,0,"SC","C000537",14,1940,"SO",-0.465,0.25,0,1,0
"R",0,0,11500,0,28750,0,13500,0,"SC","R000597",4,1957,"SO",0.558,-0.217,1,0,0
"R",0,0,14000,6700,20000,0,15800,0,"TN","F000459",5,1962,"SO",0.434,0.406,1,0,0
"R",0,0,500,0,10650,0,6100,0,"TN","D000616",5,1964,"SO",0.581,-0.046,1,0,0
"D",0,1,6700,0,4750,0,3500,0,"TN","C000754",13,1954,"SO",-0.164,-0.033,0,1,0
"D",0,1,1000,0,500,0,0,0,"TN","C001068",7,1949,"SO",-0.392,-0.326,0,1,0
"R",0,0,16700,0,10950,0,6050,0,"TX","G000552",8,1953,"SO",0.644,-0.406,1,0,0
"R",0,0,110050,1000,185000,3000,98500,0,"TX","B000755",12,1955,"SO",0.52,0.239,1,0,0
"D",0,1,0,0,2000,0,1500,0,"TX","G000553",8,1947,"SO",-0.443,0.29,0,1,0
"R",0,0,50350,0,58950,0,50088,1000,"TX","M001157",8,1962,"SO",0.416,0.144,1,0,0
"R",0,0,25700,0,43250,1000,39100,0,"TX","G000377",12,1943,"SO",0.404,0.235,1,0,0
"R",0,0,32250,0,26250,0,11500,0,"TX","W000814",4,1953,"SO",0.73,0.017,1,0,0
"D",0,1,2500,0,5000,0,3050,0,"TX","J000032",13,1950,"SO",-0.46,0.125,0,1,0
"D",0,1,16000,0,7300,0,NA,NA,"TX","C001091",4,1974,"SO",-0.404,-0.071,0,1,0
"R",0,0,58800,0,32300,0,62588,0,"TX","W000816",4,1949,"SO",0.595,0.063,1,0,0
"R",0,0,34900,0,15500,0,9100,0,"TX","B001248",9,1950,"SO",0.567,-0.185,1,0,0
"D",1,1,65100,0,43750,0,68650,0,"TX","C001063",8,1955,"SO",-0.227,0.622,0,1,0
"D",0,1,2000,0,1000,0,3500,0,"TX","J000126",14,1935,"SO",-0.485,0.198,0,1,0
"R",0,0,18000,0,28000,0,24522,0,"TX","C001051",9,1941,"SO",0.485,0.565,1,0,0
"R",0,NA,61950,500,45000,0,NA,NA,"TX","S000250",11,1955,"SO",0.588,0.149,NA,NA,1
"D",1,1,14300,0,21350,0,44900,0,"TX","V000131",4,1971,"SO",-0.404,0.34,0,1,0
"D",1,1,7500,1000,17400,500,17000,0,"TX","V000132",4,1963,"SO",-0.311,0.407,0,1,0
"D",0,1,2000,2250,0,0,0,0,"TX","D000399",13,1946,"SO",-0.402,-0.322,0,1,0
"R",0,0,18250,0,42000,0,6500,0,"UT","S001192",4,1960,"WE",0.499,0.167,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,"VT","W000800",NA,NA,"NE",NA,NA,0,1,0
"R",0,0,2500,1000,9000,0,30988,0,"VA","W000804",7,1959,"SO",0.451,0.001,1,0,0
"D",0,1,5000,0,4000,0,5000,0,"VA","S000185",14,1947,"SO",-0.45,0.012,0,1,0
"R",0,0,33000,0,49050,0,44000,0,"VA","G000568",5,1958,"SO",0.52,-0.365,1,0,0
"D",0,1,4000,0,4000,1000,5750,0,"VA","C001078",6,1950,"SO",-0.307,-0.038,0,1,0
"D",0,1,10550,0,5990,0,4000,0,"WA","D000617",5,1962,"WE",-0.292,-0.19,0,1,0
"D",0,1,6500,0,15000,0,11500,0,"WA","L000560",10,1965,"WE",-0.365,0.178,0,1,0
"R",0,NA,14495,0,4770,0,16988,250,"WA","H001056",5,1978,"WE",0.336,-0.129,NA,NA,1
"R",0,0,46710,1750,73990,6000,66838,0,"WA","M001159",8,1969,"WE",0.432,0.11,1,0,0
"D",0,1,6500,1000,4500,0,7175,0,"WA","K000381",4,1974,"WE",-0.312,-0.009,0,1,0
"D",0,1,6325,0,3500,0,8800,6000,"WA","S000510",12,1965,"WE",-0.288,-0.165,0,1,0
"R",0,0,109600,0,45200,0,35700,0,"WV","M001180",5,1947,"SO",0.3,0.178,1,0,0
"D",0,1,12600,500,3500,0,2000,0,"WI","P000607",4,1964,"MW",-0.531,-0.561,0,1,0
"D",0,1,13250,3000,9000,0,10750,0,"WI","K000188",12,1963,"MW",-0.26,-0.08,0,1,0
"D",0,1,1000,0,4500,0,4000,0,"WI","M001160",8,1951,"MW",-0.526,-0.258,0,1,0
"R",0,0,NA,NA,9000,0,9000,0,"AL","P000609",3,1954,"SO",0.679,0.102,1,0,0
"D",0,1,NA,NA,7050,5100,37500,0,"AZ","G000574",3,1979,"WE",-0.418,0.069,0,1,0
"R",0,0,NA,NA,18500,0,30838,0,"AR","H001072",3,1956,"SO",0.437,0.27,1,0,0
"R",0,0,NA,NA,17850,0,16000,0,"AR","W000821",3,1967,"SO",0.55,0.305,1,0,0
"D",0,1,NA,NA,2500,0,6150,0,"CA","D000623",3,1952,"WE",-0.523,-0.372,0,1,0
"D",0,1,NA,NA,9925,45,23231,0,"CA","A000371",3,1979,"WE",-0.31,0.141,0,1,0
"D",0,1,NA,NA,9000,0,5750,0,"CA","L000582",3,1969,"WE",-0.374,-0.229,0,1,0
"D",0,1,NA,NA,1000,0,6500,0,"CA","T000474",3,1965,"WE",-0.363,0.046,0,1,0
"R",0,0,NA,NA,22500,2500,2000,0,"CO","B001297",3,1959,"WE",0.656,-0.431,1,0,0
"R",0,0,NA,NA,11100,0,29300,0,"GA","C001103",3,1957,"SO",0.562,0.317,1,0,0
"R",0,0,NA,NA,2500,0,1500,0,"GA","H001071",3,1960,"SO",0.797,-0.242,1,0,0
"R",0,0,NA,NA,14875,0,6300,0,"GA","L000583",3,1963,"SO",0.682,-0.003,1,0,0
"R",0,0,NA,NA,7450,350,1500,0,"GA","A000372",3,1951,"SO",0.692,0.291,1,0,0
"R",0,0,NA,NA,38950,0,33888,0,"IL","B001295",3,1960,"MW",0.384,0.031,1,0,0
"R",0,0,NA,NA,46400,7200,43350,0,"IL","L000585",3,1968,"MW",0.458,0.217,1,0,0
"R",0,0,NA,NA,112499,2700,62400,0,"LA","G000577",3,1972,"SO",0.43,0.029,1,0,0
"D",0,1,7200,250,2000,0,4800,0,"MA","C001101",4,1963,"NE",-0.482,-0.316,0,1,0
"D",0,1,NA,NA,1000,150,1750,250,"MA","M001196",3,1978,"NE",-0.282,-0.044,0,1,0
"R",0,0,NA,NA,9500,0,9500,0,"MI","M001194",3,1961,"MW",0.45,0.169,1,0,0
"D",0,1,NA,NA,10000,250,26400,0,"MI","D000624",3,1953,"MW",-0.404,-0.157,0,1,0
"D",0,1,NA,NA,7500,0,11000,0,"MI","L000581",3,1954,"MW",-0.448,-0.039,0,1,0
"R",0,NA,NA,NA,5900,0,15800,0,"MN","E000294",3,1961,"MW",0.468,-0.09,NA,NA,1
"R",0,0,NA,NA,10200,0,9250,0,"MS","K000388",3,1966,"SO",0.637,0.273,1,0,0
"D",0,1,0,0,32736,0,25300,0,"NJ","N000188",4,1958,"NE",-0.421,0.328,0,1,0
"D",0,1,NA,NA,2000,1500,4500,0,"NJ","W000822",3,1945,"NE",-0.608,-0.193,0,1,0
"R",0,0,NA,NA,13150,300,47988,0,"NY","Z000017",3,1980,"NE",0.397,-0.129,1,0,0
"D",0,1,NA,NA,3500,1000,2250,0,"NY","R000602",3,1965,"NE",-0.28,0.039,0,1,0
"R",1,1,NA,NA,26250,2250,24238,2500,"NY","S001196",3,1984,"NE",0.301,-0.125,0,1,0
"R",0,1,NA,NA,48050,0,29071,0,"NY","K000386",3,1962,"NE",0.185,0.013,0,1,0
"R",0,0,NA,NA,14350,0,19988,0,"NC","R000603",3,1972,"SO",0.564,0.247,1,0,0
"D",0,1,0,0,3750,0,6500,0,"NC","A000370",4,1946,"SO",-0.468,0.017,0,1,0
"R",0,0,NA,NA,4000,0,0,0,"OH","D000626",3,1970,"MW",0.659,-0.355,1,0,0
"D",0,1,NA,NA,9500,0,2000,0,"PA","B001296",3,1977,"NE",-0.391,0.139,0,1,0
"R",0,0,NA,NA,19800,1000,19500,0,"TX","B001291",3,1948,"SO",0.711,0.074,1,0,0
"D",0,1,NA,NA,16450,1000,11400,5600,"VA","B001292",3,1950,"SO",-0.385,-0.095,0,1,0
"R",0,0,NA,NA,23000,250,7250,1000,"WA","N000189",3,1955,"WE",0.316,0.347,1,0,0
"R",0,0,NA,NA,14100,250,23988,0,"WV","M001195",3,1971,"SO",0.564,-0.222,1,0,0
"R",0,0,NA,NA,17010,250,13011,0,"WI","G000576",3,1955,"MW",0.599,-0.225,1,0,0
"D",0,1,NA,NA,NA,NA,11750,0,"AZ","O000171",2,1946,"WE",-0.198,0.18,0,1,0
"R",0,0,NA,NA,NA,NA,27250,0,"AZ","B001302",2,1958,"WE",0.827,-0.562,1,0,0
"D",0,1,NA,NA,NA,NA,2257,0,"CA","K000389",2,1976,"WE",-0.504,-0.255,0,1,0
"D",0,1,NA,NA,NA,NA,4500,0,"CA","P000613",2,1969,"WE",-0.288,0.126,0,1,0
"D",0,1,NA,NA,NA,NA,4250,0,"CA","C001112",2,1964,"WE",-0.31,0.101,0,1,0
"D",0,1,NA,NA,NA,NA,8500,0,"CA","G000585",2,1974,"WE",-0.542,-0.302,0,1,0
"D",0,1,NA,NA,NA,NA,3000,0,"CA","B001300",2,1976,"WE",-0.506,-0.105,0,1,0
