"party","Vote_change_dummy","Vote7","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_52_minus","Contribution_52_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_117","birthday","Geographical","nominate_dim1","nominate_dim2","gender","pro_env_dummy","anti_env_dummy","district","Vote7_minus","Vote7_plus","Vote7_NA"
"R",0,0,8.5,0,14.75,0,25.4,2.7,19.4,2.7,7.5,0,3.5,0,"SC","W000795",11,1947,"SO",0.531,0.147,"M",0,1,2,1,0,0
"R",0,0,20.61,0,7,0,31,1,36.5,2,22,0,13.5,0,"SC","D000615",6,1966,"SO",0.701,0.1,"M",0,1,3,1,0,0
"D",0,1,52,1.5,55.5,0,43,0,45.5,0,59.3,0,83,0,"SC","C000537",15,1940,"SO",0.465,0.25,"M",0,1,6,0,1,0
"R",0,0,11.5,0,28.75,0,33.2,0,22.7,2,13.5,0,20.15,0,"SC","R000597",5,1957,"SO",0.558,0.217,"M",0,1,7,1,0,0
"R",0,0,14,6.7,20,0,10,0,13.5,0,15.8,0,15.5,0,"TN","F000459",6,1962,"SO",0.434,0.406,"M",0,1,3,1,0,0
"R",0,0,0.5,0,10.65,0,0,0,0,0,6.1,0,NA,NA,"TN","D000616",6,1964,"SO",0.581,0.046,"M",0,0,4,1,0,0
"D",0,1,6.7,0,4.75,0,5.5,0,3,0,3.5,0,21.9,0,"TN","C000754",14,1954,"SO",0.164,0.033,"M",0,1,5,0,1,0
"D",0,1,1,0,0.5,0,0,0,1,0,0,0,0,0,"TN","C001068",8,1949,"SO",0.392,0.326,"M",0,0,9,0,1,0
"R",0,0,16.7,0,10.95,0,10.25,0,16.95,0,6.05,0,0,0,"TX","G000552",9,1953,"SO",0.644,0.406,"M",0,0,1,1,0,0
"R",0,0,110.05,1,185,3,136.85,6,136,6,98.5,0,22.7,0,"TX","B000755",13,1955,"SO",0.52,0.239,"M",0,1,8,1,0,0
"D",0,1,0,0,2,0,0,0,0,0,1.5,0,0,0,"TX","G000553",9,1947,"SO",0.443,0.29,"M",0,0,9,0,1,0
"R",0,0,50.35,0,58.95,0,38.55,0.25,57.8,0.25,50.088,1,25.009,0,"TX","M001157",9,1962,"SO",0.416,0.144,"M",0,1,10,1,0,0
"R",0,0,25.7,0,43.25,1,39.1,0,36.6,0,39.1,0,4,0,"TX","G000377",13,1943,"SO",0.404,0.235,"F",0,1,12,1,0,0
"R",0,0,32.25,0,26.25,0,52.5,0.5,46.1,0.5,11.5,0,1,0,"TX","W000814",5,1953,"SO",0.73,0.017,"M",0,1,14,1,0,0
"D",0,1,2.5,0,5,0,4.3,0,2.3,0,3.05,0,1.5,0,"TX","J000032",14,1950,"SO",0.46,0.125,"F",0,1,18,0,1,0
"D",0,1,16,0,7.3,0,4.2,0,4.05,0.05,NA,NA,0,0,"TX","C001091",5,1974,"SO",0.404,0.071,"M",0,0,20,0,1,0
"R",0,0,58.8,0,32.3,0,18.35,0,10.85,0,62.588,0,32.959,0,"TX","W000816",5,1949,"SO",0.595,0.063,"M",0,1,25,1,0,0
"R",0,0,34.9,0,15.5,0,13,0,14,0,9.1,0,5.75,0,"TX","B001248",10,1950,"SO",0.567,0.185,"M",0,1,26,1,0,0
"D",1,1,65.1,0,43.75,0,53.95,0.25,63.7,0.25,68.65,0,62.598,0,"TX","C001063",9,1955,"SO",0.227,0.622,"M",0,1,28,0,1,0
"D",0,1,2,0,1,0,0,0,0,0,3.5,0,NA,NA,"TX","J000126",15,1935,"SO",0.485,0.198,"F",0,0,30,0,1,0
"R",0,0,18,0,28,0,14,0,32.5,1,24.522,0,14.012,0,"TX","C001051",10,1941,"SO",0.485,0.565,"M",0,1,31,1,0,0
"R",0,0,61.95,0.5,45,0,50.4,9.6,72.9,9.6,NA,NA,11.6,0,"TX","S000250",12,1955,"SO",0.588,0.149,"M",0,1,NA,1,0,0
"D",1,1,14.3,0,21.35,0,14.5,0,14.7,0,44.9,0,56.5,0,"TX","V000131",5,1971,"SO",0.404,0.34,"M",0,1,33,0,1,0
"D",1,1,7.5,1,17.4,0.5,20,0,13.5,0,17,0,2.5,0,"TX","V000132",5,1963,"SO",0.311,0.407,"M",0,1,34,0,1,0
"D",0,1,2,2.25,0,0,2.7,0,2.7,0,0,0,2.9,0,"TX","D000399",14,1946,"SO",0.402,0.322,"M",0,1,NA,0,1,0
"R",0,0,18.25,0,42,0,16.15,0,21.65,0,6.5,0,2,0,"UT","S001192",5,1960,"WE",0.499,0.167,"M",0,1,2,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VT","W000800",NA,NA,"NE",NA,NA,NA,0,0,0,0,1,0
"R",0,0,2.5,1,9,0,19,0,22.5,0,30.988,0,8,0,"VA","W000804",8,1959,"SO",0.451,0.001,"M",0,1,1,1,0,0
"D",0,1,5,0,4,0,3,0,5.25,0,5,0,0.25,0,"VA","S000185",15,1947,"SO",0.45,0.012,"M",0,1,3,0,1,0
"R",0,0,33,0,49.05,0,41,0,55.95,2,44,0,8,0,"VA","G000568",6,1958,"SO",0.52,0.365,"M",0,1,9,1,0,0
"D",0,1,4,0,4,1,6.5,0,7.5,0,5.75,0,6.8,0,"VA","C001078",7,1950,"SO",0.307,0.038,"M",0,1,11,0,1,0
"D",0,1,10.55,0,5.99,0,3.185,0,7.685,0.5,4,0,1.5,0,"WA","D000617",6,1962,"WE",0.292,0.19,"F",0,1,1,0,1,0
"D",0,1,6.5,0,15,0,5,0,8.5,0,11.5,0,20,0,"WA","L000560",11,1965,"WE",0.365,0.178,"M",0,1,2,0,1,0
"R",0,0,14.495,0,4.77,0,9.5,0,9.75,0,16.988,0.25,21.783,0,"WA","H001056",6,1978,"WE",0.336,0.129,"F",0,1,3,1,0,0
"R",0,0,46.71,1.75,73.99,6,95.814,5,97.924,6,66.838,0,137.398,0,"WA","M001159",9,1969,"WE",0.432,0.11,"F",0,1,5,1,0,0
"D",0,1,6.5,1,4.5,0,9.75,0,9.775,0,7.175,0,7.6,0,"WA","K000381",5,1974,"WE",0.312,0.009,"M",0,1,6,0,1,0
"D",0,1,6.325,0,3.5,0,3.5,0,7,0,8.8,6,6.4,0,"WA","S000510",13,1965,"WE",0.288,0.165,"M",0,1,9,0,1,0
"R",0,0,109.6,0,45.2,0,59.175,3.7,59.375,4.7,35.7,0,4,0,"WV","M001180",6,1947,"SO",0.3,0.178,"M",0,1,1,1,0,0
"D",0,1,12.6,0.5,3.5,0,10,0,15.5,0,2,0,1,0,"WI","P000607",5,1964,"MW",0.531,0.561,"M",0,1,2,0,1,0
"D",0,1,13.25,3,9,0,16.5,0.5,10.5,0.5,10.75,0,12,3.4,"WI","K000188",13,1963,"MW",0.26,0.08,"M",1,1,3,0,1,0
"D",0,1,1,0,4.5,0,2,0,2,0,4,0,2.5,0,"WI","M001160",9,1951,"MW",0.526,0.258,"F",0,1,4,0,1,0
"R",0,0,NA,NA,9,0,8.75,1,7.25,0,9,0,17.3,0,"AL","P000609",4,1954,"SO",0.679,0.102,"M",0,1,6,1,0,0
"D",0,1,NA,NA,7.05,5.1,5.05,0,3.5,10,37.5,0,13,0,"AZ","G000574",4,1979,"WE",0.418,0.069,"M",0,1,NA,0,1,0
"R",0,0,NA,NA,18.5,0,22.4,0,24.55,1.5,30.838,0,23.733,0,"AR","H001072",4,1956,"SO",0.437,0.27,"M",0,1,2,1,0,0
"R",0,0,NA,NA,17.85,0,40.9,1,38.45,1,16,0,29.4,0,"AR","W000821",4,1967,"SO",0.55,0.305,"M",0,1,4,1,0,0
"D",0,1,NA,NA,2.5,0,2,1.7,6.05,1.6,6.15,0,1.1,0,"CA","D000623",4,1952,"WE",0.523,0.372,"M",0,1,NA,0,1,0
"D",0,1,NA,NA,9.925,0.045,13.44,0.75,11.219,0.75,23.231,0,9.8,0,"CA","A000371",4,1979,"WE",0.31,0.141,"M",0,1,NA,0,1,0
"D",0,1,NA,NA,9,0,3.65,0,5.15,0,5.75,0,7.4,0,"CA","L000582",4,1969,"WE",0.374,0.229,"M",0,1,NA,0,1,0
"D",0,1,NA,NA,1,0,2.75,0,2.75,0,6.5,0,2.25,0,"CA","T000474",4,1965,"WE",0.363,0.046,"F",0,1,35,0,1,0
"R",0,0,NA,NA,22.5,2.5,20.95,6.4,23.75,6.4,2,0,2.01,0,"CO","B001297",4,1959,"WE",0.656,0.431,"M",0,1,4,1,0,0
"R",0,NA,NA,NA,11.1,0,30,0,30.8,2,29.3,0,2.25,0,"GA","C001103",4,1957,"SO",0.562,0.317,"M",0,1,1,NA,NA,1
"R",0,0,NA,NA,2.5,0,6,1.5,7.5,1,1.5,0,0,0,"GA","H001071",4,1960,"SO",0.797,0.242,"M",0,0,10,1,0,0
"R",0,0,NA,NA,14.875,0,13.5,0,11.5,0,6.3,0,0,0,"GA","L000583",4,1963,"SO",0.682,0.003,"M",0,0,11,1,0,0
"R",0,0,NA,NA,7.45,0.35,6,0,3.5,0,1.5,0,1.25,0,"GA","A000372",4,1951,"SO",0.692,0.291,"M",0,1,12,1,0,0
"R",0,0,NA,NA,38.95,0,55.08,11.7,65.273,11.7,33.888,0,5.5,0,"IL","B001295",4,1960,"MW",0.384,0.031,"M",0,1,12,1,0,0
"R",0,0,NA,NA,46.4,7.2,36.15,13.7,36.15,8.7,43.35,0,58.9,0,"IL","L000585",4,1968,"MW",0.458,0.217,"M",0,1,NA,1,0,0
"R",0,NA,NA,NA,112.499,2.7,57.45,6.4,99.946,6.4,62.4,0,18.5,0,"LA","G000577",4,1972,"SO",0.43,0.029,"M",0,1,6,NA,NA,1
"D",0,1,7.2,0.25,2,0,5,0,4.5,0,4.8,0,0,0,"MA","C001101",5,1963,"NE",0.482,0.316,"F",0,0,5,0,1,0
"D",0,1,NA,NA,1,0.15,0,0,1.1,0,1.75,0.25,0,0,"MA","M001196",4,1978,"NE",0.282,0.044,"M",0,0,6,0,1,0
"R",0,0,NA,NA,9.5,0,20.9,0,22.4,0,9.5,0,14,0,"MI","M001194",4,1961,"MW",0.45,0.169,"M",0,1,NA,1,0,0
"D",0,1,NA,NA,10,0.25,12.5,0.25,15,0.55,26.4,0,14.85,0,"MI","D000624",4,1953,"MW",0.404,0.157,"F",0,1,NA,0,1,0
"D",0,1,NA,NA,7.5,0,6.5,0,16.5,0,11,0,5,0,"MI","L000581",4,1954,"MW",0.448,0.039,"F",0,1,14,0,1,0
"R",0,0,NA,NA,5.9,0,13.7,11.803,16.2,10.01,15.8,0,9.9,0,"MN","E000294",4,1961,"MW",0.468,0.09,"M",0,1,6,1,0,0
"R",0,0,NA,NA,10.2,0,8.1,0,7.2,0,9.25,0,NA,NA,"MS","K000388",4,1966,"SO",0.637,0.273,"M",0,0,1,1,0,0
"D",0,NA,0,0,32.736,0,10.999,0.25,18.249,0.25,25.3,0,6.9,0,"NJ","N000188",5,1958,"NE",0.421,0.328,"M",0,1,1,NA,NA,1
"D",0,1,NA,NA,2,1.5,3,0,4.5,0,4.5,0,2.5,0,"NJ","W000822",4,1945,"NE",0.608,0.193,"F",0,1,12,0,1,0
"R",0,0,NA,NA,13.15,0.3,18.08,0,17.375,0,47.988,0,2.463,0,"NY","Z000017",4,1980,"NE",0.397,0.129,"M",0,1,1,1,0,0
"D",0,1,NA,NA,3.5,1,6.1,0.5,2.7,0.5,2.25,0,4,0,"NY","R000602",4,1965,"NE",0.28,0.039,"F",0,1,4,0,1,0
"R",1,0,NA,NA,26.25,2.25,34.75,8.193,25.55,14.9,24.238,2.5,1.292,8.7,"NY","S001196",4,1984,"NE",0.301,0.125,"F",1,1,21,1,0,0
"R",0,1,NA,NA,48.05,0,30.543,0.25,59.295,5.287,29.071,0,23.67,0,"NY","K000386",4,1962,"NE",0.185,0.013,"M",0,1,24,0,1,0
"R",0,0,NA,NA,14.35,0,24.5,1,25.5,3,19.988,0,2.5,0,"NC","R000603",4,1972,"SO",0.564,0.247,"M",0,1,7,1,0,0
"D",0,1,0,0,3.75,0,6.5,0,8,0,6.5,0,4.5,0,"NC","A000370",5,1946,"SO",0.468,0.017,"F",0,1,12,0,1,0
"R",0,0,NA,NA,4,0,2.5,0,2.5,0,0,0,2.5,0,"OH","D000626",4,1970,"MW",0.659,0.355,"M",0,1,8,1,0,0
"D",0,1,NA,NA,9.5,0,5,0,3.5,0,2,0,4.5,0,"PA","B001296",4,1977,"NE",0.391,0.139,"M",0,1,NA,0,1,0
"R",0,0,NA,NA,19.8,1,26.1,0,32.55,1,19.5,0,6.9,0,"TX","B001291",4,1948,"SO",0.711,0.074,"M",0,1,36,1,0,0
"D",0,1,NA,NA,16.45,1,12.2,1,16.7,1.25,11.4,5.6,4.275,3.8,"VA","B001292",4,1950,"SO",0.385,0.095,"M",1,1,8,0,1,0
"R",0,0,NA,NA,23,0.25,21.7,2.14,23.2,2.14,7.25,1,42.05,0,"WA","N000189",4,1955,"WE",0.316,0.347,"M",0,1,4,1,0,0
"R",0,0,NA,NA,14.1,0.25,26.8,2,25.3,1.25,23.988,0,3.85,0,"WV","M001195",4,1971,"SO",0.564,0.222,"M",0,1,2,1,0,0
"R",0,0,NA,NA,17.01,0.25,22.4,0.75,18.55,0.75,13.011,0,8.5,0,"WI","G000576",4,1955,"MW",0.599,0.225,"M",0,1,6,1,0,0
"D",0,1,NA,NA,NA,NA,16.06,0.4,11.06,0.4,11.75,0,19.3,0,"AZ","O000171",3,1946,"WE",0.198,0.18,"M",0,1,1,0,1,0
"R",0,0,NA,NA,NA,NA,17.9,0,16.9,0,27.25,0,5,0,"AZ","B001302",3,1958,"WE",0.827,0.562,"M",0,1,5,1,0,0
"D",0,1,NA,NA,NA,NA,0,0.027,0,0.052,2.257,0,4.331,1,"CA","K000389",3,1976,"WE",0.504,0.255,"M",1,1,17,0,1,0
"D",0,1,NA,NA,NA,NA,15,0,18.5,0,4.5,0,7.75,3.4,"CA","P000613",3,1969,"WE",0.288,0.126,"M",1,1,NA,0,1,0
"D",0,1,NA,NA,NA,NA,7.975,0.118,8.975,0.118,4.25,0,11,0,"CA","C001112",3,1964,"WE",0.31,0.101,"M",0,1,24,0,1,0
"D",0,1,NA,NA,NA,NA,2.5,0,2.5,0,8.5,0,14.5,0,"CA","G000585",3,1974,"WE",0.542,0.302,"M",0,1,34,0,1,0
"D",0,1,NA,NA,NA,NA,4.5,0.115,4.5,0.096,3,0,3.5,0,"CA","B001300",3,1976,"WE",0.506,0.105,"F",0,1,44,0,1,0
"D",0,1,NA,NA,NA,NA,14,0,15.5,0,19,0,16.5,0,"CA","C001110",3,1958,"WE",0.29,0.234,"M",0,1,46,0,1,0
"D",0,1,NA,NA,NA,NA,5.5,0,7.5,0,12.5,0,19.5,2.5,"DE","B001303",3,1962,"SO",0.347,0.153,"F",1,1,0,0,1,0
"R",1,1,NA,NA,NA,NA,5.4,0,8.1,0,1.5,0,5.391,0,"FL","G000578",3,1982,"SO",0.598,0.646,"M",0,1,1,0,1,0
"R",0,0,NA,NA,NA,NA,6.5,0,6.5,0,2.5,0,2.5,0,"FL","D000628",3,1953,"SO",0.503,0.371,"M",0,1,2,1,0,0
"R",0,0,NA,NA,NA,NA,3.7,0,5.7,0,3.5,0,1,0,"FL","R000609",3,1952,"SO",0.426,0.068,"M",0,1,NA,1,0,0
"D",0,1,NA,NA,NA,NA,3,0,4,0,1.5,0,2.5,0,"FL","L000586",3,1948,"SO",0.26,0.076,"M",0,1,5,0,1,0
"D",0,1,NA,NA,NA,NA,7.4,1.2,6.5,1.2,7.55,1,35.65,0,"FL","M001202",3,1978,"SO",0.161,0.123,"F",0,1,7,0,1,0
"D",0,1,NA,NA,NA,NA,6,0,13.6,0,2.5,0,6,0,"FL","S001200",3,1978,"SO",0.361,0.167,"M",0,1,9,0,1,0
"D",0,1,NA,NA,NA,NA,4,0,4,0,3.5,0,7.132,0.5,"FL","D000627",3,1957,"SO",0.322,0.006,"F",1,1,10,0,1,0
"D",0,1,NA,NA,NA,NA,1.5,0.25,2,0,11.2,0,4.9,0,"FL","C001111",3,1956,"SO",0.227,0.079,"M",0,1,13,0,1,0
"R",0,1,NA,NA,NA,NA,47.987,6.387,67.084,6.367,24.407,0,2.906,0,"FL","M001199",3,1980,"SO",0.462,0.359,"M",0,1,NA,0,1,0
"R",0,0,NA,NA,NA,NA,14.35,0,14.25,0,18.2,0,24.8,0,"GA","F000465",3,1966,"SO",0.597,0.22,"M",0,1,3,1,0,0
"D",0,1,NA,NA,NA,NA,22.2,9.95,11.05,8.95,32.25,0,16.949,1,"IL","K000391",3,1973,"MW",0.328,0.03,"M",1,1,8,0,1,0
"R",0,0,NA,NA,NA,NA,16,0,13.5,0,11,0,6,0,"IN","B001299",3,1979,"MW",0.651,0.058,"M",0,1,3,1,0,0
"R",0,0,NA,NA,NA,NA,18.5,8.5,17,8.5,11,0,12.5,0,"IN","H001074",3,1983,"MW",0.417,0.243,"M",0,1,9,1,0,0
"R",0,0,NA,NA,NA,NA,35.2,5.4,43.65,15.8,63.35,0,47.2,0,"KS","E000298",3,1956,"MW",0.643,0.058,"M",0,1,4,1,0,0
"R",0,0,NA,NA,29.45,0,8.5,2.5,7.5,2.5,15.5,5,9.5,0,"KY","C001108",4,1972,"SO",0.595,0.039,"M",0,1,1,1,0,0
"R",0,0,NA,NA,NA,NA,21.45,0.25,25.95,0.25,10.1,0,10.1,0,"LA","H001077",3,1961,"SO",0.627,0.31,"M",0,1,3,1,0,0
"R",0,NA,NA,NA,NA,NA,35.2,0,48.1,0,27.95,0,17.7,0,"LA","J000299",3,1972,"SO",0.566,0.01,"M",0,1,4,NA,NA,1
"D",0,1,NA,NA,NA,NA,1,5,11,5,16.75,0.25,8,0,"MD","B001304",3,1961,"SO",0.344,0.063,"M",0,1,4,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,"MD","R000606",3,1962,"SO",0.521,0.245,"M",0,1,8,0,1,0
"R",0,0,NA,NA,NA,NA,29.75,0,31.75,0,22.511,0,6.75,0,"MI","B001301",3,1947,"MW",0.436,0.079,"M",0,1,1,1,0,0
"R",0,0,NA,NA,NA,NA,42.527,10.287,48.62,10.287,11.996,1,5.67,0,"NE","B001298",3,1963,"MW",0.294,0.156,"M",0,1,2,1,0,0
"D",0,1,NA,NA,NA,NA,31.5,6.5,37.2,6.77,21.1,0,12.013,0,"NJ","G000583",3,1975,"NE",0.158,0.223,"M",0,1,5,0,1,0
"D",0,1,NA,NA,NA,NA,1,0,2,0,4.5,0,2.5,0,"NY","S001201",3,1962,"NE",0.219,0.087,"M",0,1,3,0,1,0
"D",0,1,NA,NA,NA,NA,2.5,0,4,0,0,0,0,0,"NY","E000297",3,1954,"NE",0.583,0.21,"M",0,0,13,0,1,0
"R",0,0,NA,NA,NA,NA,27.868,5.4,54.12,5.4,NA,NA,30.77,0,"NY","T000478",2,1961,"NE",0.456,0.032,"F",0,1,NA,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC","B001305",NA,NA,"SO",NA,NA,NA,0,0,13,1,0,0
"D",0,1,NA,NA,13.3,5.4,2.175,0,2.275,0,3.5,0,3,0,"PA","E000296",4,1954,"NE",0.47,0.135,"M",0,1,NA,0,1,0
"R",0,1,NA,NA,NA,NA,39.553,5.287,48.896,5.287,33.35,0,24.86,0,"PA","F000466",3,1973,"NE",0.142,0.122,"M",0,1,NA,0,1,0
"R",0,0,NA,NA,NA,NA,41.608,5.287,47.051,5.287,24,0,0.5,0,"PA","S001199",3,1964,"NE",0.45,0.112,"M",0,1,NA,1,0,0
"R",0,0,NA,NA,NA,NA,13.1,0,14.3,1,6,0,5,0,"SC","N000190",3,1953,"SO",0.848,0.367,"M",0,1,5,1,0,0
"R",0,0,NA,NA,NA,NA,7.7,0,23.2,0,6,0,1,0,"TN","K000392",3,1966,"SO",0.535,0.372,"M",0,1,8,1,0,0
"D",1,1,NA,NA,NA,NA,26,0,24,0,18.5,0,56.7,0,"TX","G000581",3,1967,"SO",0.388,0.755,"M",0,1,NA,0,1,0
"R",0,0,NA,NA,NA,NA,28,5,29,5,54.178,2.5,18.198,0,"TX","A000375",3,1972,"SO",0.642,0.003,"M",0,1,19,1,0,0
"D",0,1,NA,NA,NA,NA,6,2.5,8.5,2.5,19.5,0.25,39.8,0,"VA","M001200",3,1961,"SO",0.381,0.017,"M",0,1,4,0,1,0
"D",0,1,NA,NA,NA,NA,1.35,0.69,2,0.352,0,1,0,0,"WA","J000298",3,1965,"WE",0.646,0.466,"F",0,0,7,0,1,0
"R",0,0,NA,NA,NA,NA,31.1,0.8,34.6,0.8,28.75,0,23,0,"WI","G000579",3,1984,"MW",0.438,0.004,"M",0,1,8,1,0,0
"R",0,0,NA,NA,NA,NA,19,0,25.5,0,61.1,0,128.3,0,"WY","C001109",3,1966,"WE",0.405,0.82,"F",0,1,0,1,0,0
"D",0,1,NA,NA,NA,NA,26.25,9.595,20.05,12.295,14.5,0,11.75,0,"PA","L000588",3,1984,"NE",0.143,0.212,"M",0,1,NA,0,1,0
"R",0,0,NA,NA,NA,NA,22.1,0,24.1,0,16,2,31.5,1,"UT","C001114",3,1960,"WE",0.448,0.156,"M",1,1,3,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0,11,0,"AZ","S001211",2,1970,"WE",0.284,0.247,"M",0,1,NA,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,6.55,0,6.3,3.5,"CA","H001090",2,1986,"WE",0.352,0.572,"M",1,1,NA,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.385,0,4.59,0.4,"CA","P000618",2,1974,"WE",0.224,0.278,"F",1,1,NA,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,8.535,3.635,8.3,8.3,"CA","L000593",2,1978,"WE",0.338,0.156,"M",1,1,49,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.01,0,0,0,"CO","N000191",2,1984,"WE",0.396,0.215,"M",0,0,2,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,5.6,0,7.225,0,"CO","C001121",2,1979,"WE",0.319,0.209,"M",0,1,6,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"CT","H001081",2,1973,"NE",0.316,0.132,"F",0,0,5,0,1,0
"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,8.75,0,"FL","W000823",2,1974,"SO",0.442,0.117,"M",0,1,6,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0,0,0,"FL","S001214",2,1978,"SO",0.689,0.284,"M",0,0,17,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,3.8,0,1.183,0,"GA","M001208",2,1960,"SO",0.322,0.258,"F",0,1,NA,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0,1,0,"HI","C001055",5,1952,"WE",0.198,0.083,"M",0,1,1,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"IL","G000586",2,1956,"MW",0.43,0.893,"M",0,1,4,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,10.6,5.75,8.8,0.1,"IL","C001117",2,1971,"MW",0.652,0.497,"M",1,1,6,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.05,0.5,"IL","U000040",2,1986,"MW",0.58,0.449,"F",1,1,14,0,1,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,"IN","B001307",2,1945,"MW",0.449,0.61,"M",0,0,4,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,22.85,0,6.052,0,"IN","P000615",2,1956,"MW",0.506,0.151,"M",0,1,6,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,8.6,1,10.86,2.5,"IA","A000378",2,1965,"MW",0.25,0.528,"F",1,1,3,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,3.25,1,1.25,0,"KS","D000629",2,1980,"MW",0.269,0.267,"F",0,1,3,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0,7.708,0.15,"ME","G000592",2,1982,"NE",0.11,0.374,"M",1,1,2,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0,4.25,0.5,"MA","T000482",2,1973,"NE",0.421,0.174,"F",1,1,3,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,0,0,"MA","P000617",2,1974,"NE",0.349,0.937,"F",0,0,7,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,9.9,0,6,0.5,"MI","S001208",2,1976,"MW",0.321,0.738,"F",1,1,NA,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0,9.12,0,"MI","L000592",2,1960,"MW",0.474,0.563,"M",0,1,9,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,14.9,0.25,21.05,0.25,"MI","S001215",2,1983,"MW",0.378,0.284,"F",1,1,11,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,5.8,0,4.5,0,"MI","T000481",2,1976,"MW",0.291,0.957,"F",0,1,NA,0,1,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,20.488,0,3.133,0,"MN","H001088",2,1962,"MW",0.477,0.345,"M",0,1,1,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0,4.5,0.089,"MN","C001119",2,1972,"MW",0.27,0.645,"F",1,1,2,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,0.25,0,"MN","P000616",2,1969,"MW",0.28,0.181,"M",0,1,3,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,3.512,0,0,0,"MN","O000173",2,1981,"MW",0.298,0.955,"F",0,0,5,0,1,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,24.788,0,44.329,0,"MN","S001212",2,1966,"MW",0.383,0.112,"M",0,1,8,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,19.3,0,0,0,"MS","G000591",2,1970,"SO",0.528,0.1,"M",0,0,3,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,7.375,0.25,21.175,0.25,"NV","L000590",2,1966,"WE",0.235,0.31,"F",1,1,3,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.75,0,"NH","P000614",2,1980,"NE",0.237,0.343,"M",0,1,1,0,1,0
"R",0,1,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA,"NJ","V000133",2,1953,"NE",0.147,0.644,"M",0,0,2,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0.25,8.7,0.25,"NJ","K000394",2,1982,"NE",0.357,0.288,"M",1,1,3,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,11.65,1,18,0,"NJ","M001203",2,1965,"NE",0.272,0.121,"M",0,1,7,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,5,0,21.45,0,"NJ","S001207",2,1972,"NE",0.225,0.263,"F",0,1,11,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.642,0,2.622,0,"NY","O000172",2,1989,"NE",0.299,0.954,"F",0,1,14,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0.15,2.9,"NY","D000630",2,1977,"NE",0.233,0.277,"M",1,1,19,0,1,0
