"last_name","first_name","birthday","gender","type","state","district","bioguide_id","opensecrets_id"
"Pompeo","Mike",1963-12-30,"M","rep","KS",4,"P000602","N00030744"
"Becerra","Xavier",1958-01-26,"M","rep","CA",34,"B000287","N00009774"
"Price","Tom",1954-10-08,"M","rep","GA",6,"P000591","N00026160"
"Mulvaney","Mick",1967-07-21,"M","rep","SC",5,"M001182","N00031412"
"Chaffetz","Jason",1967-03-26,"M","rep","UT",3,"C001076","N00028958"
"Murphy","Tim",1952-09-11,"M","rep","PA",18,"M001151","N00024992"
"Conyers","John",1929-05-16,"M","rep","MI",13,"C000714","N00004029"
"Franks","Trent",1957-06-19,"M","rep","AZ",8,"F000448","N00006423"
"Tiberi","Patrick",1962-10-21,"M","rep","OH",12,"T000462","N00009699"
"Slaughter","Louise",1929-08-14,"F","rep","NY",25,"S000480","N00001311"
"Farenthold","Blake",1961-12-12,"M","rep","TX",27,"F000460","N00031672"
"Meehan","Patrick",1955-10-20,"M","rep","PA",7,"M001181","N00031134"
"Bridenstine","Jim",1975-06-15,"M","rep","OK",1,"B001283","N00033532"
"Dent","Charles",1960-05-24,"M","rep","PA",15,"D000604","N00026171"
"DeSantis","Ron",1978-09-14,"M","rep","FL",6,"D000621","N00034746"
"Jenkins","Evan",1960-09-12,"M","rep","WV",3,"J000297","N00035531"
"Lujan Grisham","Michelle",1959-10-24,"F","rep","NM",1,"L000580","N00029400"
"Barletta","Lou",1956-01-28,"M","rep","PA",11,"B001269","N00025495"
"Barton","Joe",1949-09-15,"M","rep","TX",6,"B000213","N00005656"
"Black","Diane",1951-01-16,"F","rep","TN",6,"B001273","N00031539"
"Brady","Robert",1945-04-07,"M","rep","PA",1,"B001227","N00001619"
"Capuano","Michael",1952-01-09,"M","rep","MA",7,"C001037","N00000267"
"Coffman","Mike",1955-03-19,"M","rep","CO",6,"C001077","N00024753"
"Crowley","Joseph",1962-03-16,"M","rep","NY",14,"C001038","N00001127"
"Culberson","John",1956-08-24,"M","rep","TX",7,"C001048","N00009738"
"Denham","Jeff",1967-07-29,"M","rep","CA",10,"D000612","N00031593"
"Duncan","John",1947-07-21,"M","rep","TN",2,"D000533","N00003209"
"Ellison","Keith",1963-08-04,"M","rep","MN",5,"E000288","N00028257"
"Frelinghuysen","Rodney",1946-04-29,"M","rep","NJ",11,"F000372","N00000684"
"Goodlatte","Bob",1952-09-22,"M","rep","VA",6,"G000289","N00009154"
"Gowdy","Trey",1964-08-22,"M","rep","SC",4,"G000566","N00030880"
"Green","Gene",1947-10-17,"M","rep","TX",29,"G000410","N00005870"
"Gutiérrez","Luis",1953-12-10,"M","rep","IL",4,"G000535","N00004874"
"Harper","Gregg",1956-06-01,"M","rep","MS",3,"H001045","N00029632"
"Hensarling","Jeb",1957-05-29,"M","rep","TX",5,"H001036","N00024922"
"Hultgren","Randy",1966-03-01,"M","rep","IL",14,"H001059","N00031104"
"Jenkins","Lynn",1963-06-10,"F","rep","KS",2,"J000290","N00029077"
"Johnson","Sam",1930-10-11,"M","rep","TX",3,"J000174","N00008028"
"Labrador","Raúl",1967-12-08,"M","rep","ID",1,"L000573","N00031377"
"Lance","Leonard",1952-06-25,"M","rep","NJ",7,"L000567","N00000898"
"Levin","Sander",1931-09-06,"M","rep","MI",9,"L000263","N00003950"
"LoBiondo","Frank",1946-05-12,"M","rep","NJ",2,"L000554","N00000851"
"Noem","Kristi",1971-11-30,"F","rep","SD",0,"N000184","N00032022"
"Paulsen","Erik",1965-05-14,"M","rep","MN",3,"P000594","N00029391"
"Pearce","Stevan",1947-08-24,"M","rep","NM",2,"P000588","N00012672"
"Poe","Ted",1948-09-10,"M","rep","TX",2,"P000592","N00026457"
"Polis","Jared",1975-05-12,"M","rep","CO",2,"P000598","N00029127"
"Reichert","David",1950-08-29,"M","rep","WA",8,"R000578","N00026885"
"Renacci","James",1958-12-03,"M","rep","OH",16,"R000586","N00031127"
"Rohrabacher","Dana",1947-06-21,"M","rep","CA",48,"R000409","N00007151"
"Rokita","Todd",1970-02-09,"M","rep","IN",4,"R000592","N00031741"
"Rooney","Thomas",1970-11-21,"M","rep","FL",17,"R000583","N00029018"
"Ros-Lehtinen","Ileana",1952-07-15,"F","rep","FL",27,"R000435","N00002858"
"Roskam","Peter",1961-09-13,"M","rep","IL",6,"R000580","N00004719"
"Ross","Dennis",1959-10-18,"M","rep","FL",15,"R000593","N00030645"
"Royce","Edward",1951-10-12,"M","rep","CA",39,"R000487","N00008264"
"Ryan","Paul",1970-01-29,"M","rep","WI",1,"R000570","N00004357"
"Shuster","Bill",1961-01-10,"M","rep","PA",9,"S001154","N00013770"
"Smith","Lamar",1947-11-19,"M","rep","TX",21,"S000583","N00001811"
"Tsongas","Niki",1946-04-26,"F","rep","MA",3,"T000465","N00029026"
"Walz","Timothy",1964-04-06,"M","rep","MN",1,"W000799","N00027467"
"Yoder","Kevin",1976-01-08,"M","rep","KS",3,"Y000063","N00031502"
"Esty","Elizabeth",1959-08-25,"F","rep","CT",5,"E000293","N00033217"
"Messer","Luke",1969-02-27,"M","rep","IN",6,"M001189","N00012546"
"Delaney","John",1963-04-16,"M","rep","MD",6,"D000620","N00033897"
"Nolan","Richard",1943-12-17,"M","rep","MN",8,"N000127","N00021207"
"Pittenger","Robert",1948-08-15,"M","rep","NC",9,"P000606","N00034416"
"Rothfus","Keith",1962-04-25,"M","rep","PA",12,"R000598","N00031253"
"O’Rourke","Beto",1972-09-26,"M","rep","TX",16,"O000170","N00033540"
"Sanford","Marshall",1960-05-28,"M","rep","SC",1,"S000051","N00002424"
"Brat","David",1964-07-27,"M","rep","VA",7,"B001290","N00036013"
"Knight","Steve",1966-12-17,"M","rep","CA",25,"K000387","N00035820"
"Walters","Mimi",1962-05-14,"F","rep","CA",45,"W000820","N00035391"
"Curbelo","Carlos",1980-03-01,"M","rep","FL",26,"C001107","N00035403"
"Blum","Rod",1955-04-26,"M","rep","IA",1,"B001294","N00033744"
"Young","David",1968-05-11,"M","rep","IA",3,"Y000066","N00035509"
"Poliquin","Bruce",1953-11-01,"M","rep","ME",2,"P000611","N00034584"
"Bishop","Mike",1967-03-18,"M","rep","MI",8,"B001293","N00036449"
"Trott","Dave",1960-10-16,"M","rep","MI",11,"T000475","N00035607"
"MacArthur","Tom",1960-10-16,"M","rep","NJ",3,"M001193","N00036155"
"Russell","Steve",1963-05-25,"M","rep","OK",5,"R000604","N00036175"
"Costello","Ryan",1976-09-07,"M","rep","PA",6,"C001106","N00031064"
"Love","Mia",1975-12-06,"F","rep","UT",4,"L000584","N00033842"
"Comstock","Barbara",1959-06-30,"F","rep","VA",10,"C001105","N00036023"
"Donovan","Daniel",1956-11-06,"M","rep","NY",11,"D000625","N00036928"
"Hanabusa","Colleen",1951-05-04,"F","rep","HI",1,"H001050","N00025881"
"Marino","Tom",1952-08-15,"M","rep","PA",12,"M001179","N00031777"
"Jones","Walter",1943-02-10,"M","rep","NC",3,"J000255","N00002299"
"Duffy","Sean",1971-10-03,"M","rep","WI",7,"D000614","N00030967"
"Collins","Chris",1950-05-20,"M","rep","NY",27,"C001092","N00001285"
"Cummings","Elijah",1951-01-18,"M","rep","MD",7,"C000984","N00001971"
"Hunter","Duncan",1976-12-07,"M","rep","CA",50,"H001048","N00029258"
"Meadows","Mark",1959-07-28,"M","rep","NC",11,"M001187","N00033631"
"Ratcliffe","John",1965-10-20,"M","rep","TX",4,"R000601","N00035972"
"Lewis","John",1940-02-21,"M","rep","GA",5,"L000287","N00002577"
"Graves","Tom",1970-02-03,"M","rep","GA",14,"G000560","N00030788"
"Cook","Paul",1943-03-03,"M","rep","CA",8,"C001094","N00034224"
"Amash","Justin",1980-04-18,"M","rep","MI",3,"A000367","N00031938"
"Bishop","Rob",1951-07-13,"M","rep","UT",1,"B001250","N00025292"
"Clay","Wm.",1956-07-27,"M","rep","MO",1,"C001049","N00012460"
"Conaway","K.",1948-06-11,"M","rep","TX",11,"C001062","N00026041"
"Davis","Susan",1944-04-13,"F","rep","CA",53,"D000598","N00009604"
"Engel","Eliot",1947-02-18,"M","rep","NY",16,"E000179","N00001003"
"Flores","Bill",1954-02-25,"M","rep","TX",17,"F000461","N00031545"
"King","Peter",1944-04-05,"M","rep","NY",2,"K000210","N00001193"
"King","Steve",1949-05-28,"M","rep","IA",4,"K000362","N00025237"
"Lipinski","Daniel",1966-07-15,"M","rep","IL",3,"L000563","N00027239"
"Loebsack","David",1952-12-23,"M","rep","IA",2,"L000565","N00027741"
"Lowey","Nita",1937-07-05,"F","rep","NY",17,"L000480","N00001024"
"Marchant","Kenny",1951-02-23,"M","rep","TX",24,"M001158","N00026710"
"Olson","Pete",1962-12-09,"M","rep","TX",22,"O000168","N00029285"
"Peterson","Collin",1944-06-29,"M","rep","MN",7,"P000258","N00004558"
"Roby","Martha",1976-07-27,"F","rep","AL",2,"R000591","N00030768"
"Roe","David",1945-07-21,"M","rep","TN",1,"R000582","N00028463"
"Sensenbrenner","F.",1943-06-14,"M","rep","WI",5,"S000244","N00004291"
"Serrano","José",1943-10-24,"M","rep","NY",15,"S000248","N00001813"
"Shimkus","John",1958-02-21,"M","rep","IL",15,"S000364","N00004961"
"Thornberry","Mac",1958-07-15,"M","rep","TX",13,"T000238","N00006052"
"Tipton","Scott",1956-11-09,"M","rep","CO",3,"T000470","N00027509"
"Visclosky","Peter",1949-08-13,"M","rep","IN",1,"V000108","N00003813"
"Walden","Greg",1957-01-10,"M","rep","OR",2,"W000791","N00007690"
"Woodall","Rob",1970-02-11,"M","rep","GA",7,"W000810","N00032416"
"Yoho","Ted",1955-04-13,"M","rep","FL",3,"Y000065","N00033220"
"Collins","Doug",1966-08-16,"M","rep","GA",9,"C001093","N00033518"
"Gabbard","Tulsi",1981-04-12,"F","rep","HI",2,"G000571","N00033281"
"Brooks","Susan",1960-08-25,"F","rep","IN",5,"B001284","N00033495"
"Kennedy","Joseph",1980-10-04,"M","rep","MA",4,"K000379","N00034044"
"Holding","George",1968-04-17,"M","rep","NC",2,"H001065","N00033399"
"Heck","Denny",1952-07-29,"M","rep","WA",10,"H001064","N00031557"
"Byrne","Bradley",1955-02-16,"M","rep","AL",1,"B001289","N00035380"
"Abraham","Ralph",1954-09-16,"M","rep","LA",5,"A000374","N00036633"
"Hurd","Will",1977-08-19,"M","rep","TX",23,"H001073","N00031417"
"Walker","Mark",1969-05-20,"M","rep","NC",6,"W000819","N00035311"
"Richmond","Cedric",1973-09-13,"M","rep","LA",2,"R000588","N00030184"
"Fudge","Marcia",1952-10-29,"F","rep","OH",11,"F000455","N00030490"
"Hastings","Alcee",1936-09-05,"M","rep","FL",20,"H000324","N00002884"
"Stivers","Steve",1965-03-24,"M","rep","OH",15,"S001187","N00029574"
"Nunes","Devin",1973-10-01,"M","rep","CA",22,"N000181","N00007248"
"Young","Don",1933-06-09,"M","rep","AK",0,"Y000033","N00007999"
"Fortenberry","Jeff",1960-12-27,"M","rep","NE",1,"F000449","N00026631"
"Vela","Filemon",1963-02-13,"M","rep","TX",34,"V000132","N00034349"
"Reed","Tom",1971-11-18,"M","rep","NY",23,"R000585","N00030949"
"Walorski","Jackie",1963-08-17,"F","rep","IN",2,"W000813","N00031226"
"Deutch","Theodore",1966-05-07,"M","rep","FL",22,"D000610","N00031317"
"Bass","Karen",1953-10-03,"F","rep","CA",37,"B001270","N00031877"
"Brady","Kevin",1955-04-11,"M","rep","TX",8,"B000755","N00005883"
"Brooks","Mo",1954-04-29,"M","rep","AL",5,"B001274","N00030910"
"Butterfield","George",1947-04-27,"M","rep","NC",1,"B001251","N00027035"
"Chabot","Steve",1953-01-22,"M","rep","OH",1,"C000266","N00003689"
"Cooper","Jim",1954-06-19,"M","rep","TN",5,"C000754","N00003132"
"DeFazio","Peter",1947-05-27,"M","rep","OR",4,"D000191","N00007781"
"Doyle","Michael",1953-08-05,"M","rep","PA",18,"D000482","N00001373"
"Gibbs","Bob",1954-06-14,"M","rep","OH",7,"G000563","N00031128"
"Gohmert","Louie",1953-08-18,"M","rep","TX",1,"G000552","N00026148"
"Hartzler","Vicky",1960-10-13,"F","rep","MO",4,"H001053","N00031005"
"Herrera Beutler","Jaime",1978-11-03,"F","rep","WA",3,"H001056","N00031559"
"Johnson","Eddie",1935-12-03,"F","rep","TX",30,"J000126","N00008122"
"Kind","Ron",1963-03-16,"M","rep","WI",3,"K000188","N00004403"
"Kinzinger","Adam",1978-02-27,"M","rep","IL",16,"K000378","N00030667"
"Langevin","James",1964-04-22,"M","rep","RI",2,"L000559","N00009724"
"Long","Billy",1955-08-11,"M","rep","MO",7,"L000576","N00030676"
"Maloney","Carolyn",1946-02-19,"F","rep","NY",12,"M000087","N00000078"
"McKinley","David",1947-03-28,"M","rep","WV",1,"M001180","N00031681"
"McNerney","Jerry",1951-06-18,"M","rep","CA",9,"M001166","N00026926"
"Palazzo","Steven",1970-02-21,"M","rep","MS",4,"P000601","N00031958"
"Perlmutter","Ed",1953-05-01,"M","rep","CO",7,"P000593","N00027510"
"Price","David",1940-08-17,"M","rep","NC",4,"P000523","N00002260"
"Roybal-Allard","Lucille",1941-06-12,"F","rep","CA",40,"R000486","N00006671"
"Rush","Bobby",1946-11-23,"M","rep","IL",1,"R000515","N00004887"
"Ryan","Tim",1973-07-16,"M","rep","OH",13,"R000577","N00025280"
"Schrader","Kurt",1951-10-19,"M","rep","OR",5,"S001180","N00030071"
"Sires","Albio",1951-01-26,"M","rep","NJ",8,"S001165","N00027523"
"Speier","Jackie",1950-05-14,"F","rep","CA",14,"S001175","N00029649"
"Upton","Fred",1953-04-23,"M","rep","MI",6,"U000031","N00004133"
"Yarmuth","John",1947-11-04,"M","rep","KY",3,"Y000062","N00028073"
"Lowenthal","Alan",1941-03-08,"M","rep","CA",47,"L000579","N00033274"
"Davis","Rodney",1970-01-05,"M","rep","IL",13,"D000619","N00034784"
"Bustos","Cheri",1961-10-17,"F","rep","IL",17,"B001286","N00033390"
"Maloney","Sean",1966-07-30,"M","rep","NY",18,"M001185","N00034277"
"Rice","Tom",1957-08-04,"M","rep","SC",7,"R000597","N00033832"
"Hice","Jody",1960-04-22,"M","rep","GA",10,"H001071","N00032243"
"Lawrence","Brenda",1954-10-18,"F","rep","MI",14,"L000581","N00034068"
"Zeldin","Lee",1980-01-30,"M","rep","NY",1,"Z000017","N00029404"
"Rice","Kathleen",1965-02-15,"F","rep","NY",4,"R000602","N00035927"
"Katko","John",1962-11-09,"M","rep","NY",24,"K000386","N00035934"
"Kirkpatrick","Ann",1950-03-24,"F","rep","AZ",2,"K000368","N00029260"
"Cicilline","David",1961-07-15,"M","rep","RI",1,"C001084","N00032019"
"Stewart","Chris",1960-07-15,"M","rep","UT",2,"S001192","N00033932"
"McCarthy","Kevin",1965-01-26,"M","rep","CA",20,"M001165","N00028152"
"Johnson","Bill",1954-11-10,"M","rep","OH",6,"J000292","N00032088"
"Higgins","Brian",1959-10-06,"M","rep","NY",26,"H001038","N00027060"
"Aderholt","Robert",1965-07-22,"M","rep","AL",4,"A000055","N00003028"
"Bilirakis","Gus",1963-02-08,"M","rep","FL",12,"B001257","N00027462"
"Bishop","Sanford",1947-02-04,"M","rep","GA",2,"B000490","N00002674"
"Blumenauer","Earl",1948-08-16,"M","rep","OR",3,"B000574","N00007727"
"Buchanan","Vern",1951-05-08,"M","rep","FL",16,"B001260","N00027626"
"Bucshon","Larry",1962-05-31,"M","rep","IN",8,"B001275","N00031227"
"Burgess","Michael",1950-12-23,"M","rep","TX",26,"B001248","N00025219"
"Calvert","Ken",1953-06-08,"M","rep","CA",41,"C000059","N00007099"
"Carson","André",1974-10-16,"M","rep","IN",7,"C001072","N00029513"
"Carter","John",1941-11-06,"M","rep","TX",31,"C001051","N00025095"
"Castor","Kathy",1966-08-20,"F","rep","FL",14,"C001066","N00027514"
"Chu","Judy",1953-07-07,"F","rep","CA",28,"C001080","N00030600"
"Clarke","Yvette",1964-11-21,"F","rep","NY",9,"C001067","N00026961"
"Cleaver","Emanuel",1944-10-26,"M","rep","MO",5,"C001061","N00026790"
"Clyburn","James",1940-07-21,"M","rep","SC",6,"C000537","N00002408"
"Cohen","Steve",1949-05-24,"M","rep","TN",9,"C001068","N00003225"
"Cole","Tom",1949-04-28,"M","rep","OK",4,"C001053","N00025726"
"Connolly","Gerald",1950-03-30,"M","rep","VA",11,"C001078","N00029891"
"Costa","Jim",1952-04-13,"M","rep","CA",21,"C001059","N00026341"
"Courtney","Joe",1953-04-06,"M","rep","CT",2,"C001069","N00024842"
"Crawford","Eric",1966-01-22,"M","rep","AR",1,"C001087","N00030770"
"Cuellar","Henry",1955-09-19,"M","rep","TX",28,"C001063","N00024978"
"Davis","Danny",1941-09-06,"M","rep","IL",7,"D000096","N00004884"
"DeGette","Diana",1957-07-29,"F","rep","CO",1,"D000197","N00006134"
"DeLauro","Rosa",1943-03-02,"F","rep","CT",3,"D000216","N00000615"
"DesJarlais","Scott",1964-02-21,"M","rep","TN",4,"D000616","N00030957"
"Diaz-Balart","Mario",1961-09-25,"M","rep","FL",26,"D000600","N00025337"
"Doggett","Lloyd",1946-10-06,"M","rep","TX",37,"D000399","N00006023"
"Duncan","Jeff",1966-01-07,"M","rep","SC",3,"D000615","N00030752"
"Eshoo","Anna",1942-12-13,"F","rep","CA",16,"E000215","N00007335"
"Fleischmann","Charles",1962-10-11,"M","rep","TN",3,"F000459","N00030815"
"Foxx","Virginia",1943-06-29,"F","rep","NC",5,"F000450","N00026166"
"Garamendi","John",1945-01-24,"M","rep","CA",8,"G000559","N00030856"
"Gosar","Paul",1958-11-22,"M","rep","AZ",9,"G000565","N00030771"
"Granger","Kay",1943-01-18,"F","rep","TX",12,"G000377","N00008799"
"Graves","Sam",1963-11-07,"M","rep","MO",6,"G000546","N00013323"
"Green","Al",1947-09-01,"M","rep","TX",9,"G000553","N00026686"
"Griffith","H.",1958-03-15,"M","rep","VA",9,"G000568","N00032029"
"Grijalva","Raúl",1948-02-19,"M","rep","AZ",7,"G000551","N00025284"
"Guthrie","Brett",1964-02-18,"M","rep","KY",2,"G000558","N00029675"
"Harris","Andy",1957-01-25,"M","rep","MD",1,"H001052","N00029147"
"Himes","James",1966-07-05,"M","rep","CT",4,"H001047","N00029070"
"Hoyer","Steny",1939-06-14,"M","rep","MD",5,"H000874","N00001821"
"Huizenga","Bill",1969-01-31,"M","rep","MI",4,"H001058","N00030673"
"Jackson Lee","Sheila",1950-01-12,"F","rep","TX",18,"J000032","N00005818"
"Johnson","Henry",1954-10-02,"M","rep","GA",4,"J000288","N00027848"
"Jordan","Jim",1964-02-17,"M","rep","OH",4,"J000289","N00027894"
"Kaptur","Marcy",1946-06-17,"F","rep","OH",9,"K000009","N00003522"
"Keating","William",1952-09-06,"M","rep","MA",9,"K000375","N00031933"
"Kelly","Mike",1948-05-10,"M","rep","PA",16,"K000376","N00031647"
"Lamborn","Doug",1954-05-24,"M","rep","CO",5,"L000564","N00028133"
"Larsen","Rick",1965-06-15,"M","rep","WA",2,"L000560","N00009759"
"Larson","John",1948-07-22,"M","rep","CT",1,"L000557","N00000575"
"Latta","Robert",1956-04-18,"M","rep","OH",5,"L000566","N00012233"
"Lee","Barbara",1946-07-16,"F","rep","CA",12,"L000551","N00008046"
"Lofgren","Zoe",1947-12-21,"F","rep","CA",18,"L000397","N00007479"
"Lucas","Frank",1960-01-06,"M","rep","OK",3,"L000491","N00005559"
"Luetkemeyer","Blaine",1952-05-07,"M","rep","MO",3,"L000569","N00030026"
"Lynch","Stephen",1955-03-31,"M","rep","MA",8,"L000562","N00013855"
"Matsui","Doris",1944-09-25,"F","rep","CA",7,"M001163","N00027459"
"McCaul","Michael",1962-01-14,"M","rep","TX",10,"M001157","N00026460"
"McClintock","Tom",1956-07-10,"M","rep","CA",5,"M001177","N00006863"
"McCollum","Betty",1954-07-12,"F","rep","MN",4,"M001143","N00012942"
"McGovern","James",1959-11-20,"M","rep","MA",2,"M000312","N00000179"
"McHenry","Patrick",1975-10-22,"M","rep","NC",10,"M001156","N00026627"
"McMorris Rodgers","Cathy",1969-05-22,"F","rep","WA",5,"M001159","N00026314"
"Meeks","Gregory",1953-09-25,"M","rep","NY",5,"M001137","N00001171"
"Moore","Gwen",1951-04-18,"F","rep","WI",4,"M001160","N00026914"
"Nadler","Jerrold",1947-06-13,"M","rep","NY",12,"N000002","N00000939"
"Napolitano","Grace",1936-12-04,"F","rep","CA",31,"N000179","N00006789"
"Neal","Richard",1949-02-14,"M","rep","MA",1,"N000015","N00000153"
"Pallone","Frank",1951-10-30,"M","rep","NJ",6,"P000034","N00000781"
"Pascrell","Bill",1937-01-25,"M","rep","NJ",9,"P000096","N00000751"
"Pelosi","Nancy",1940-03-26,"F","rep","CA",11,"P000197","N00007360"
"Pingree","Chellie",1955-04-02,"F","rep","ME",1,"P000597","N00013817"
"Posey","Bill",1947-12-18,"M","rep","FL",8,"P000599","N00029662"
"Quigley","Mike",1958-10-17,"M","rep","IL",5,"Q000023","N00030581"
"Rogers","Harold",1937-12-31,"M","rep","KY",5,"R000395","N00003473"
"Rogers","Mike",1958-07-16,"M","rep","AL",3,"R000575","N00024759"
"Ruppersberger","C.",1946-01-31,"M","rep","MD",2,"R000576","N00025482"
"Sarbanes","John",1962-05-22,"M","rep","MD",3,"S001168","N00027751"
"Scalise","Steve",1965-10-06,"M","rep","LA",1,"S001176","N00009660"
"Schakowsky","Janice",1944-05-26,"F","rep","IL",9,"S001145","N00004724"
"Schiff","Adam",1960-06-22,"M","rep","CA",30,"S001150","N00009585"
"Schweikert","David",1962-03-03,"M","rep","AZ",1,"S001183","N00006460"
"Scott","Austin",1969-12-10,"M","rep","GA",8,"S001189","N00032457"
"Scott","David",1945-06-27,"M","rep","GA",13,"S001157","N00024871"
"Scott","Robert",1947-04-30,"M","rep","VA",3,"S000185","N00002147"
"Sewell","Terri",1965-01-01,"F","rep","AL",7,"S001185","N00030622"
"Sherman","Brad",1954-10-24,"M","rep","CA",32,"S000344","N00006897"
"Simpson","Michael",1950-09-08,"M","rep","ID",2,"S001148","N00006263"
"Smith","Adam",1965-06-15,"M","rep","WA",9,"S000510","N00007833"
"Smith","Adrian",1970-12-19,"M","rep","NE",3,"S001172","N00027623"
"Smith","Christopher",1953-03-04,"M","rep","NJ",4,"S000522","N00009816"
"Sánchez","Linda",1969-01-28,"F","rep","CA",38,"S001156","N00024870"
"Thompson","Bennie",1948-01-28,"M","rep","MS",2,"T000193","N00003288"
"Thompson","Mike",1951-01-24,"M","rep","CA",4,"T000460","N00007419"
"Thompson","Glenn",1959-07-27,"M","rep","PA",15,"T000467","N00029736"
"Tonko","Paul",1949-06-18,"M","rep","NY",20,"T000469","N00030196"
"Turner","Michael",1960-01-11,"M","rep","OH",10,"T000463","N00025175"
"Velázquez","Nydia",1953-03-28,"F","rep","NY",7,"V000081","N00001102"
"Walberg","Tim",1951-04-12,"M","rep","MI",5,"W000798","N00026368"
"Wasserman Schultz","Debbie",1966-09-27,"F","rep","FL",25,"W000797","N00026106"
"Waters","Maxine",1938-08-15,"F","rep","CA",43,"W000187","N00006690"
"Webster","Daniel",1949-04-27,"M","rep","FL",11,"W000806","N00026335"
"Wilson","Joe",1947-07-31,"M","rep","SC",2,"W000795","N00024809"
"Wilson","Frederica",1942-11-05,"F","rep","FL",24,"W000808","N00030650"
"Wittman","Robert",1959-02-03,"M","rep","VA",1,"W000804","N00029459"
"Womack","Steve",1957-02-18,"M","rep","AR",3,"W000809","N00031857"
"Amodei","Mark",1958-06-12,"M","rep","NV",2,"A000369","N00031177"
