"member_id","party","state","member","last_name","first_name","alias"
"A000214","Democratic","Ohio","Applegate, Douglas","Applegate"," Douglas",NA
"A000215","Republican","Texas","Archer, Bill","Archer"," Bill",NA
"A000363","Democratic","New York","Arcuri, Michael A.","Arcuri"," Michael A.",NA
"A000216","Republican","Illinois","Arends, Leslie C.","Arends"," Leslie C.",NA
"A000217","Republican","Texas","Armey, Richard K.","Armey"," Richard K.",NA
"A000377","Republican","North Dakota","Armstrong, Kelly","Armstrong"," Kelly",NA
"A000219","Republican","Colorado","Armstrong, William L.","Armstrong"," William L.",NA
"A000375","Republican","Texas","Arrington, Jodey C.","Arrington"," Jodey C.",NA
"A000220","Republican","Ohio","Ashbrook, Jean","Ashbrook"," Jean",NA
"A000221","Republican","Ohio","Ashbrook, John M.","Ashbrook"," John M.",NA
"A000356","Republican","Missouri","Ashcroft, John","Ashcroft"," John",NA
"A000373","Democratic","Nebraska","Ashford, Brad","Ashford"," Brad",NA
"A000222","Democratic","Ohio","Ashley, Thomas L.","Ashley"," Thomas L.",NA
"A000224","Democratic","Wisconsin","Aspin, Les","Aspin"," Les",NA
"A000226","Democratic","Massachusetts","Atkins, Chester G.","Atkins"," Chester G.",NA
"A000329","Democratic","Pennsylvania","Atkinson, Eugene V.","Atkinson"," Eugene V.",NA
"A000148","Democratic","Massachusetts","Auchincloss, Jake","Auchincloss"," Jake",NA
"A000337","Democratic","Oregon","AuCoin, Les","AuCoin"," Les",NA
"A000365","Republican","Ohio","Austria, Steve","Austria"," Steve",NA
"A000378","Democratic","Iowa","Axne, Cynthia","Axne"," Cynthia",NA
"A000368","Republican","New Hampshire","Ayotte, Kelly","Ayotte"," Kelly",NA
"B001291","Republican","Texas","Babin, Brian","Babin"," Brian",NA
"B001234","Democratic","California","Baca, Joe","Baca"," Joe",NA
"B000008","Democratic","Florida","Bacchus, Jim","Bacchus"," Jim",NA
"B001256","Republican","Minnesota","Bachmann, Michele","Bachmann"," Michele",NA
"B000013","Republican","Alabama","Bachus, Spencer","Bachus"," Spencer",NA
"B001298","Republican","Nebraska","Bacon, Don","Bacon"," Don",NA
"B000024","Republican","California","Badham, Robert E.","Badham"," Robert E.",NA
"B000025","Democratic","New York","Badillo, Herman","Badillo"," Herman",NA
"B000028","Democratic","Kentucky","Baesler, Scotty","Baesler"," Scotty",NA
"B000037","Democratic","Pennsylvania","Bailey, Donald A.","Bailey"," Donald A.",NA
"B000047","Republican","Missouri","Bailey, Wendell","Bailey"," Wendell",NA
"B001229","Democratic","Washington","Baird, Brian","Baird"," Brian",NA
"B001307","Republican","Indiana","Baird, James R.","Baird"," James R.",NA
"B000078","Republican","California","Baker, Bill","Baker"," Bill",NA
"B000063","Republican","Tennessee","Baker, Howard H., Jr.","Baker"," Howard H.",NA
"B000069","Republican","Tennessee","Baker, LaMar","Baker"," LaMar",NA
"B000072","Republican","Louisiana","Baker, Richard H.","Baker"," Richard H.",NA
"B000081","Democratic","Maine","Baldacci, John Elias","Baldacci"," John Elias",NA
"B001306","Republican","Ohio","Balderson, Troy","Balderson"," Troy",NA
"B000083","Democratic","Wisconsin","Baldus, Alvin J.","Baldus"," Alvin J.",NA
"B001230","Democratic","Wisconsin","Baldwin, Tammy","Baldwin"," Tammy",NA
"B001318","Democratic","Vermont","Balint, Becca","Balint"," Becca",NA
"B001238","Democratic","North Carolina","Ballance, Frank W., Jr.","Ballance"," Frank W.",NA
"B000104","Republican","North Carolina","Ballenger, Cass","Ballenger"," Cass",NA
"B001299","Republican","Indiana","Banks, Jim","Banks"," Jim",NA
"B001279","Democratic","Arizona","Barber, Ron","Barber"," Ron",NA
"B001226","Democratic","Wisconsin","Barca, Peter","Barca"," Peter",NA
"B000134","Democratic","Michigan","Barcia, James A.","Barcia"," James A.",NA
"B001237","Independent","Minnesota","Barkley, Dean M.","Barkley"," Dean M.",NA
"B001269","Republican","Pennsylvania","Barletta, Lou","Barletta"," Lou",NA
"B000151","Democratic","Kentucky","Barlow, Tom","Barlow"," Tom",NA
"B000153","Democratic","Georgia","Barnard, Doug, Jr.","Barnard"," Doug",NA
"B000160","Democratic","Maryland","Barnes, Michael D.","Barnes"," Michael D.",NA
"B001282","Republican","Kentucky","Barr, Andy","Barr"," Andy",NA
"B000169","Republican","Georgia","Barr, Bob","Barr"," Bob",NA
"B001300","Democratic","California","Barragán, Nanette Diaz","Barragán"," Nanette Diaz",NA
"B001261","Republican","Wyoming","Barrasso, John","Barrasso"," John",NA
"B000179","Republican","Nebraska","Barrett, Bill","Barrett"," Bill",NA
"B001239","Republican","South Carolina","Barrett, J. Gresham","Barrett"," J. Gresham",NA
"B000177","Democratic","Wisconsin","Barrett, Thomas M.","Barrett"," Thomas M.",NA
"B000178","Democratic","Pennsylvania","Barrett, William A.","Barrett"," William A.",NA
"B001252","Democratic","Georgia","Barrow, John","Barrow"," John",NA
"B000200","Republican","Oklahoma","Bartlett, Dewey F.","Bartlett"," Dewey F.",NA
"B000208","Republican","Maryland","Bartlett, Roscoe G.","Bartlett"," Roscoe G.",NA
"B000204","Republican","Texas","Bartlett, Steve","Bartlett"," Steve",NA
"B000213","Republican","Texas","Barton, Joe","Barton"," Joe",NA
"B000220","Republican","New Hampshire","Bass, Charles F.","Bass"," Charles F.",NA
"B001270","Democratic","California","Bass, Karen","Bass"," Karen",NA
"B000229","Republican","Virginia","Bateman, Herbert H.","Bateman"," Herbert H.",NA
"B000236","Democratic","California","Bates, Jim","Bates"," Jim",NA
"B000243","Democratic","Montana","Baucus, Max","Baucus"," Max",NA
"B000244","Republican","Maryland","Bauman, Robert E.","Bauman"," Robert E.",NA
"B000254","Democratic","Indiana","Bayh, Birch","Bayh"," Birch",NA
"B001233","Democratic","Indiana","Bayh, Evan","Bayh"," Evan",NA
"B000272","Republican","Maryland","Beall, J. Glenn, Jr.","Beall"," J. Glenn",NA
"B001314","Republican","Florida","Bean, Aaron","Bean"," Aaron",NA
"B001253","Democratic","Illinois","Bean, Melissa L.","Bean"," Melissa L.",NA
"B000279","Democratic","Rhode Island","Beard, Edward","Beard"," Edward",NA
"B000280","Republican","Tennessee","Beard, Robin","Beard"," Robin",NA
"B001281","Democratic","Ohio","Beatty, Joyce","Beatty"," Joyce",NA
"B001240","Republican","Colorado","Beauprez, Bob","Beauprez"," Bob",NA
"B000287","Democratic","California","Becerra, Xavier","Becerra"," Xavier",NA
"B000298","Democratic","Iowa","Bedell, Berkley W.","Bedell"," Berkley W.",NA
"B001265","Democratic","Alaska","Begich, Mark","Begich"," Mark",NA
"B000318","Democratic","California","Beilenson, Anthony C.","Beilenson"," Anthony C.",NA
"B000330","Republican","California","Bell, Alphonzo","Bell"," Alphonzo",NA
"B001241","Democratic","Texas","Bell, Chris","Bell"," Chris",NA
"B000351","Republican","Oklahoma","Bellmon, Henry L.","Bellmon"," Henry L.",NA
"B000358","Republican","West Virginia","Benedict, Cleve","Benedict"," Cleve",NA
"B001271","Republican","Michigan","Benishek, Dan","Benishek"," Dan",NA
"B000362","Democratic","Puerto Rico","Benitez, Jamie","Benitez"," Jamie",NA
"B000363","Democratic","Indiana","Benjamin, Adam, Jr.","Benjamin"," Adam",NA
"B001267","Democratic","Colorado","Bennet, Michael F.","Bennet"," Michael F.",NA
"B000371","Democratic","Florida","Bennett, Charles E.","Bennett"," Charles E.",NA
"B000382","Republican","Utah","Bennett, Robert F.","Bennett"," Robert F.",NA
"B000384","Republican","Utah","Bennett, Wallace F.","Bennett"," Wallace F.",NA
"B001280","Republican","Michigan","Bentivolio, Kerry L.","Bentivolio"," Kerry L.",NA
"B000392","Republican","Maryland","Bentley, Helen Delich","Bentley"," Helen Delich",NA
"B000400","Democratic","Texas","Bentsen, Ken","Bentsen"," Ken",NA
"B000401","Democratic","Texas","Bentsen, Lloyd M.","Bentsen"," Lloyd M.",NA
"B000668","Republican","Oregon","Bentz, Cliff","Bentz"," Cliff",NA
"B001287","Democratic","California","Bera, Ami","Bera"," Ami",NA
"B000403","Republican","Nebraska","Bereuter, Doug","Bereuter"," Doug",NA
"B001272","Republican","North Dakota","Berg, Rick","Berg"," Rick",NA
"B000408","Republican","Minnesota","Bergland, Bob","Bergland"," Bob",NA
"B001301","Republican","Michigan","Bergman, Jack","Bergman"," Jack",NA
"B001231","Democratic","Nevada","Berkley, Shelley","Berkley"," Shelley",NA
"B000410","Democratic","California","Berman, Howard L.","Berman"," Howard L.",NA
"B000420","Democratic","Arkansas","Berry, Marion","Berry"," Marion",NA
"B000422","Republican","Arkansas","Bethune, Ed","Bethune"," Ed",NA
"B000431","Democratic","Alabama","Bevill, Tom","Bevill"," Tom",NA
"B001292","Democratic","Virginia","Beyer, Donald S.","Beyer"," Donald S.",NA
"B000432","Democratic","New York","Biaggi, Mario","Biaggi"," Mario",NA
"B000436","Democratic","Nevada","Bible, Alan","Bible"," Alan",NA
"B000740","Republican","Oklahoma","Bice, Stephanie I.","Bice"," Stephanie I.",NA
"B000444","Democratic","Delaware","Biden, Joseph R., Jr.","Biden"," Joseph R.",NA
"B000451","Republican","Pennsylvania","Biester, Edward G., Jr.","Biester"," Edward G.",NA
"B001232","Republican","Illinois","Biggert, Judy","Biggert"," Judy",NA
"B001302","Republican","Arizona","Biggs, Andy","Biggs"," Andy",NA
"B000461","Republican","California","Bilbray, Brian P.","Bilbray"," Brian P.",NA
"B000462","Democratic","Nevada","Bilbray, James H.","Bilbray"," James H.",NA
"B001257","Republican","Florida","Bilirakis, Gus M.","Bilirakis"," Gus M.",NA
"B000463","Republican","Florida","Bilirakis, Michael","Bilirakis"," Michael",NA
"B000468","Democratic","New Mexico","Bingaman, Jeff","Bingaman"," Jeff",NA
"B000472","Democratic","New York","Bingham, Jonathan B.","Bingham"," Jonathan B.",NA
"B001311","Republican","North Carolina","Bishop, Dan","Bishop"," Dan",NA
"B001293","Republican","Michigan","Bishop, Mike","Bishop"," Mike",NA
"B001250","Republican","Utah","Bishop, Rob","Bishop"," Rob",NA
"B000490","Democratic","Georgia","Bishop, Sanford D.","Bishop"," Sanford D.",NA
"B001242","Democratic","New York","Bishop, Timothy H.","Bishop"," Timothy H.",NA
"B001273","Republican","Tennessee","Black, Diane","Black"," Diane",NA
"B000506","Republican","Georgia","Blackburn, Ben","Blackburn"," Ben",NA
"B001243","Republican","Tennessee","Blackburn, Marsha","Blackburn"," Marsha",NA
"B000517","Democratic","Pennsylvania","Blackwell, Lucien E.","Blackwell"," Lucien E.",NA
"B000518","Democratic","Illinois","Blagojevich, Rod R.","Blagojevich"," Rod R.",NA
"B000538","Democratic","Michigan","Blanchard, James","Blanchard"," James",NA
"B000550","Democratic","Minnesota","Blatnik, John Anton","Blatnik"," John Anton",NA
"B000551","Republican","Guam","Blaz, Ben G.","Blaz"," Ben G.",NA
"B000556","Republican","Virginia","Bliley, Tom","Bliley"," Tom",NA
"B000567","Democratic","Iowa","Blouin, Michael","Blouin"," Michael",NA
"B001294","Republican","Iowa","Blum, Rod","Blum"," Rod",NA
"B000574","Democratic","Oregon","Blumenauer, Earl","Blumenauer"," Earl",NA
"B001277","Democratic","Connecticut","Blumenthal, Richard","Blumenthal"," Richard",NA
"B001303","Democratic","Delaware","Blunt Rochester, Lisa","Blunt Rochester"," Lisa",NA
"B000575","Republican","Missouri","Blunt, Roy","Blunt"," Roy",NA
"B000576","Republican","Massachusetts","Blute, Peter I.","Blute"," Peter I.",NA
"B001263","Democratic","Ohio","Boccieri, John A.","Boccieri"," John A.",NA
"B000825","Republican","Colorado","Boebert, Lauren","Boebert"," Lauren",NA
"B000586","Republican","New York","Boehlert, Sherwood","Boehlert"," Sherwood",NA
"B000589","Republican","Ohio","Boehner, John A.","Boehner"," John A.",NA
"B000600","Democratic","Massachusetts","Boland, Edward P.","Boland"," Edward P.",NA
"B000605","Democratic","Missouri","Bolling, Richard","Bolling"," Richard",NA
"B001278","Democratic","Oregon","Bonamici, Suzanne","Bonamici"," Suzanne",NA
"B000611","Republican","Missouri","Bond, Christopher S.","Bond"," Christopher S.",NA
"B000615","Democratic","Tennessee","Boner, William H.","Boner"," William H.",NA
"B000617","Republican","Texas","Bonilla, Henry","Bonilla"," Henry",NA
"B000619","Democratic","Michigan","Bonior, David E.","Bonior"," David E.",NA
"B000620","Democratic","Washington","Bonker, Don","Bonker"," Don",NA
"B001244","Republican","Alabama","Bonner, Jo","Bonner"," Jo",NA
"B001228","Republican","California","Bono Mack, Mary","Bono Mack"," Mary",NA
"B000622","Republican","California","Bono, Sonny","Bono"," Sonny",NA
"B001288","Democratic","New Jersey","Booker, Cory A.","Booker"," Cory A.",NA
"B001236","Republican","Arkansas","Boozman, John","Boozman"," John",NA
"B001245","Democratic","Guam","Bordallo, Madeleine Z.","Bordallo"," Madeleine Z.",NA
"B001254","Democratic","Oklahoma","Boren, Dan","Boren"," Dan",NA
"B000639","Democratic","Oklahoma","Boren, David L.","Boren"," David L.",NA
"B000644","Democratic","Pennsylvania","Borski, Robert A.","Borski"," Robert A.",NA
"B000647","Republican","Minnesota","Boschwitz, Rudy","Boschwitz"," Rudy",NA
"B000648","Democratic","California","Bosco, Douglas H.","Bosco"," Douglas H.",NA
"B001295","Republican","Illinois","Bost, Mike","Bost"," Mike",NA
"B000652","Democratic","Iowa","Boswell, Leonard L.","Boswell"," Leonard L.",NA
"B000657","Democratic","Virginia","Boucher, Rick","Boucher"," Rick",NA
"B000666","Republican","Texas","Boulter, Beau","Boulter"," Beau",NA
"B001312","Democratic","Georgia","Bourdeaux, Carolyn","Bourdeaux"," Carolyn",NA
"B001255","Republican","Louisiana","Boustany, Charles W., Jr.","Boustany"," Charles W.",NA
"B000682","Democratic","Mississippi","Bowen, David R.","Bowen"," David R.",NA
"B001223","Democratic","New York","Bowman, Jamaal","Bowman"," Jamaal",NA
"B000711","Democratic","California","Boxer, Barbara","Boxer"," Barbara",NA
"B000716","Democratic","Florida","Boyd, Allen","Boyd"," Allen",NA
"B001258","Democratic","Kansas","Boyda, Nancy E.","Boyda"," Nancy E.",NA
"B001296","Democratic","Pennsylvania","Boyle, Brendan F.","Boyle"," Brendan F.",NA
"B000736","Democratic","Indiana","Brademas, John","Brademas"," John",NA
"B001225","Democratic","New Jersey","Bradley, Bill","Bradley"," Bill",NA
"B001246","Republican","New Hampshire","Bradley, Jeb","Bradley"," Jeb",NA
"B000755","Republican","Texas","Brady, Kevin","Brady"," Kevin",NA
"B000756","Republican","New Jersey","Brady, Nicholas","Brady"," Nicholas",NA
"B001227","Democratic","Pennsylvania","Brady, Robert A.","Brady"," Robert A.",NA
"B001259","Democratic","Iowa","Braley, Bruce L.","Braley"," Bruce L.",NA
"B000771","Democratic","New York","Brasco, Frank","Brasco"," Frank",NA
"B001290","Republican","Virginia","Brat, Dave","Brat"," Dave",NA
"B001310","Republican","Indiana","Braun, Mike","Braun"," Mike",NA
"B000778","Republican","Indiana","Bray, William G.","Bray"," William G.",NA
"B000780","Democratic","Louisiana","Breaux, John B.","Breaux"," John B.",NA
"B001317","Republican","Oklahoma","Brecheen, Josh","Brecheen"," Josh",NA
"B000788","Democratic","Kentucky","Breckinridge, John B.","Breckinridge"," John B.",NA
"B000798","Democratic","Maine","Brennan, Joseph E.","Brennan"," Joseph E.",NA
"B000817","Democratic","Oklahoma","Brewster, Bill K.","Brewster"," Bill K.",NA
"B001283","Republican","Oklahoma","Bridenstine, Jim","Bridenstine"," Jim",NA
"B001264","Democratic","Alabama","Bright, Bobby","Bright"," Bobby",NA
"B001308","Democratic","New York","Brindisi, Anthony","Brindisi"," Anthony",NA
"B000839","Democratic","Georgia","Brinkley, Jack","Brinkley"," Jack",NA
"B001319","Republican","Alabama","Britt, Katie Boyd","Britt"," Katie Boyd",NA
"B000845","Democratic","North Carolina","Britt, Robin","Britt"," Robin",NA
"B000851","Republican","Tennessee","Brock, Bill","Brock"," Bill",NA
"B000862","Democratic","Michigan","Brodhead, William","Brodhead"," William",NA
"B000871","Republican","Massachusetts","Brooke, Edward W.","Brooke"," Edward W.",NA
"B000880","Democratic","Texas","Brooks, Jack B.","Brooks"," Jack B.",NA
"B001274","Republican","Alabama","Brooks, Mo","Brooks"," Mo",NA
"B001284","Republican","Indiana","Brooks, Susan W.","Brooks"," Susan W.",NA
"B000890","Republican","Michigan","Broomfield, William S.","Broomfield"," William S.",NA
"B000893","Republican","Colorado","Brotzman, Donald G.","Brotzman"," Donald G.",NA
"B001262","Republican","Georgia","Broun, Paul C.","Broun"," Paul C.",NA
"B000897","Democratic","Alabama","Browder, Glen","Browder"," Glen",NA
"B001304","Democratic","Maryland","Brown, Anthony G.","Brown"," Anthony G.",NA
"B000910","Republican","Ohio","Brown, Clarence, Jr.","Brown"," Clarence",NA
"B000911","Democratic","Florida","Brown, Corrine","Brown"," Corrine",NA
"B000917","Republican","Michigan","Brown, Garry E.","Brown"," Garry E.",NA
"B000918","Democratic","California","Brown, George E., Jr.","Brown"," George E.",NA
"B000919","Republican","Colorado","Brown, Hank","Brown"," Hank",NA
"B001235","Republican","South Carolina","Brown, Henry E., Jr.","Brown"," Henry E.",NA
"B001268","Republican","Massachusetts","Brown, Scott P.","Brown"," Scott P.",NA
"B000944","Democratic","Ohio","Brown, Sherrod","Brown"," Sherrod",NA
"B001313","Democratic","Ohio","Brown, Shontel M.","Brown"," Shontel M.",NA
"B001247","Republican","Florida","Brown-Waite, Ginny","Brown-Waite"," Ginny",NA
"B000953","Republican","Kansas","Brownback, Sam","Brownback"," Sam",NA
"B001285","Democratic","California","Brownley, Julia","Brownley"," Julia",NA
"B000966","Republican","North Carolina","Broyhill, James T.","Broyhill"," James T.",NA
"B000967","Republican","Virginia","Broyhill, Joel T.","Broyhill"," Joel T.",NA
"B000971","Democratic","Illinois","Bruce, Terry L.","Bruce"," Terry L.",NA
"B000993","Democratic","Nevada","Bryan, Richard H.","Bryan"," Richard H.",NA
"B000996","Republican","Tennessee","Bryant, Ed","Bryant"," Ed",NA
"B000997","Democratic","Texas","Bryant, John W.","Bryant"," John W.",NA
"B001008","Republican","Alabama","Buchanan, John","Buchanan"," John",NA
"B001260","Republican","Florida","Buchanan, Vern","Buchanan"," Vern",NA
"B001297","Republican","Colorado","Buck, Ken","Buck"," Ken",NA
"B001026","Republican","New York","Buckley, James L.","Buckley"," James L.",NA
"B001275","Republican","Indiana","Bucshon, Larry","Bucshon"," Larry",NA
"B001305","Republican","North Carolina","Budd, Ted","Budd"," Ted",NA
"B001315","Democratic","Illinois","Budzinski, Nikki","Budzinski"," Nikki",NA
"B001036","Republican","Missouri","Buechner, Jack","Buechner"," Jack",NA
"B001276","Republican","New York","Buerkle, Ann Marie","Buerkle"," Ann Marie",NA
"B001057","Democratic","Arkansas","Bumpers, Dale","Bumpers"," Dale",NA
"B001063","Republican","Oregon","Bunn, Jim","Bunn"," Jim",NA
"B001066","Republican","Kentucky","Bunning, Jim","Bunning"," Jim",NA
"B001309","Republican","Tennessee","Burchett, Tim","Burchett"," Tim",NA
"B001076","Democratic","North Dakota","Burdick, Jocelyn","Burdick"," Jocelyn",NA
"B001077","Democratic","North Dakota","Burdick, Quentin N.","Burdick"," Quentin N.",NA
"B001080","Republican","California","Burgener, Clair W.","Burgener"," Clair W.",NA
"B001248","Republican","Texas","Burgess, Michael C.","Burgess"," Michael C.",NA
"B001091","Republican","Florida","Burke, J. Herbert","Burke"," J. Herbert",NA
"B001092","Democratic","Massachusetts","Burke, James A.","Burke"," James A.",NA
"B001102","Democratic","California","Burke, Yvonne B.","Burke"," Yvonne B.",NA
"B001111","Democratic","Texas","Burleson, Omar","Burleson"," Omar",NA
"B001113","Democratic","Missouri","Burlison, Bill D.","Burlison"," Bill D.",NA
"B001316","Republican","Missouri","Burlison, Eric","Burlison"," Eric",NA
"B001126","Republican","Montana","Burns, Conrad R.","Burns"," Conrad R.",NA
"B001249","Republican","Georgia","Burns, Max","Burns"," Max",NA
"B001135","Republican","North Carolina","Burr, Richard","Burr"," Richard",NA
"B001266","Democratic","Illinois","Burris, Roland","Burris"," Roland",NA
"B001149","Republican","Indiana","Burton, Dan","Burton"," Dan",NA
"B001153","Democratic","California","Burton, John","Burton"," John",NA
"B001156","Democratic","California","Burton, Phillip","Burton"," Phillip",NA
"B001158","Democratic","California","Burton, Sala","Burton"," Sala",NA
"B001224","Democratic","Missouri","Bush, Cori","Bush"," Cori",NA
"B001172","Democratic","Texas","Bustamante, Albert G.","Bustamante"," Albert G.",NA
"B001286","Democratic","Illinois","Bustos, Cheri","Bustos"," Cheri",NA
"B001320","Democratic","California","Butler, Laphonza R.","Butler"," Laphonza R.",NA
"B001182","Republican","Virginia","Butler, M. Caldwell","Butler"," M. Caldwell",NA
"B001251","Democratic","North Carolina","Butterfield, G. K.","Butterfield"," G. K.",NA
"B001203","Republican","Indiana","Buyer, Steve","Buyer"," Steve",NA
"B001209","Independent","Virginia","Byrd, Harry F., Jr.","Byrd"," Harry F.",NA
"B001210","Democratic","West Virginia","Byrd, Robert C.","Byrd"," Robert C.",NA
"B001289","Republican","Alabama","Byrne, Bradley","Byrne"," Bradley",NA
"B001213","Democratic","Virginia","Byrne, Leslie L.","Byrne"," Leslie L.",NA
"B001220","Democratic","Maryland","Byron, Beverly B.","Byron"," Beverly B.",NA
"B001221","Democratic","Maryland","Byron, Goodloe E.","Byron"," Goodloe E.",NA
"C000052","Republican","Alabama","Callahan, Sonny","Callahan"," Sonny",NA
"C000059","Republican","California","Calvert, Ken","Calvert"," Ken",NA
"C001039","Republican","Florida","Cammack, Kat","Cammack"," Kat",NA
"C000071","Republican","Michigan","Camp, Dave","Camp"," Dave",NA
"C000073","Republican","Oklahoma","Camp, John N. Happy","Camp"," John N. Happy",NA
"C000077","Republican","Colorado","Campbell, Ben Nighthorse","Campbell"," Ben Nighthorse",NA
"C000079","Republican","South Carolina","Campbell, Carroll A., Jr.","Campbell"," Carroll A.",NA
"C001064","Republican","California","Campbell, John","Campbell"," John",NA
"C000100","Republican","California","Campbell, Tom","Campbell"," Tom",NA
"C000107","Republican","Florida","Canady, Charles T.","Canady"," Charles T.",NA
"C000116","Republican","Utah","Cannon, Chris","Cannon"," Chris",NA
"C000120","Democratic","Nevada","Cannon, Howard W.","Cannon"," Howard W.",NA
"C001082","Republican","Texas","Canseco, Francisco ""Quico""","Canseco"," Francisco ""Quico""",NA
"C001046","Republican","Virginia","Cantor, Eric","Cantor"," Eric",NA
"C000127","Democratic","Washington","Cantwell, Maria","Cantwell"," Maria",NA
"C001079","Republican","Louisiana","Cao, Anh ""Joseph""","Cao"," Anh ""Joseph""",NA
"C001047","Republican","West Virginia","Capito, Shelley Moore","Capito"," Shelley Moore",NA
"C001036","Democratic","California","Capps, Lois","Capps"," Lois",NA
"C000134","Democratic","California","Capps, Walter","Capps"," Walter",NA
"C001037","Democratic","Massachusetts","Capuano, Michael E.","Capuano"," Michael E.",NA
"C000137","Republican","New York","Caputo, Bruce F.","Caputo"," Bruce F.",NA
"C001134","Democratic","Colorado","Caraveo, Yadira","Caraveo"," Yadira",NA
"C001112","Democratic","California","Carbajal, Salud O.","Carbajal"," Salud O.",NA
"C001097","Democratic","California","Cárdenas, Tony","Cárdenas"," Tony",NA
"C000141","Democratic","Maryland","Cardin, Benjamin L.","Cardin"," Benjamin L.",NA
"C001050","Democratic","California","Cardoza, Dennis A.","Cardoza"," Dennis A.",NA
"C000143","Democratic","New York","Carey, Hugh L.","Carey"," Hugh L.",NA
"C001126","Republican","Ohio","Carey, Mike","Carey"," Mike",NA
"C001054","Republican","Alabama","Carl, Jerry L.","Carl"," Jerry L.",NA
"C000158","Republican","New York","Carman, Gregory W.","Carman"," Gregory W.",NA
"C001043","Democratic","Missouri","Carnahan, Jean","Carnahan"," Jean",NA
"C001060","Democratic","Missouri","Carnahan, Russ","Carnahan"," Russ",NA
"C000164","Democratic","Ohio","Carney, Charles J.","Carney"," Charles J.",NA
"C001065","Democratic","Pennsylvania","Carney, Christopher P.","Carney"," Christopher P.",NA
