"last_name","first_name","state","opensecrets_id","bioguide_id","district","birthday","gender","nominate_dim1","nominate_dim2","Industry_Type","seniority_113","seniority_114","seniority_115","seniority_116","seniority_117","total"
"Banks","Jim","IN","N00037185","B001299",3,1979-07-16,"M",0.651,0.058,"+",0,0,1,2,3,0
"Barr","Garland","KY","N00031233","B001282",6,1973-07-24,"M",0.484,0.294,"-",1,2,3,4,5,43333
"Barr","Garland","KY","N00031233","B001282",6,1973-07-24,"M",0.484,0.294,"+",1,2,3,4,5,0
"Barragán","Nanette","CA","N00037019","B001300",44,1976-09-15,"F",-0.506,-0.105,"-",0,0,1,2,3,3500
"Barragán","Nanette","CA","N00037019","B001300",44,1976-09-15,"F",-0.506,-0.105,"+",0,0,1,2,3,0
"Bass","Karen","CA","N00031877","B001270",37,1953-10-03,"F",-0.584,-0.098,"-",2,3,4,5,6,0
"Bass","Karen","CA","N00031877","B001270",37,1953-10-03,"F",-0.584,-0.098,"+",2,3,4,5,6,1000
"Beatty","Joyce","OH","N00033904","B001281",3,1950-03-12,"F",-0.439,0.042,"-",1,2,3,4,5,29850
"Beatty","Joyce","OH","N00033904","B001281",3,1950-03-12,"F",-0.439,0.042,"+",1,2,3,4,5,0
"Bentz","Cliff","OR","N00045773","B000668",2,1952-01-12,"M",0.492,0.335,"-",0,0,0,0,1,3000
"Bentz","Cliff","OR","N00045773","B000668",2,1952-01-12,"M",0.492,0.335,"+",0,0,0,0,1,0
"Bera","Ami","CA","N00030717","B001287",6,1965-03-02,"M",-0.241,0.013,"-",1,2,3,4,5,1000
"Bera","Ami","CA","N00030717","B001287",6,1965-03-02,"M",-0.241,0.013,"+",1,2,3,4,5,0
"Bergman","Jack","MI","N00039533","B001301",1,1947-02-02,"M",0.436,0.079,"-",0,0,1,2,3,6750
"Bergman","Jack","MI","N00039533","B001301",1,1947-02-02,"M",0.436,0.079,"+",0,0,1,2,3,0
"Beyer","Donald","VA","N00036018","B001292",8,1950-06-20,"M",-0.385,-0.095,"-",0,1,2,3,4,4275
"Beyer","Donald","VA","N00036018","B001292",8,1950-06-20,"M",-0.385,-0.095,"+",0,1,2,3,4,3800
"Bice","Stephanie","OK","N00044579","B000740",5,1973-11-11,"F",0.411,0.313,"-",0,0,0,0,1,25745
"Bice","Stephanie","OK","N00044579","B000740",5,1973-11-11,"F",0.411,0.313,"+",0,0,0,0,1,0
"Biggs","Andy","AZ","N00039293","B001302",5,1958-11-07,"M",0.827,-0.562,"-",0,0,1,2,3,5000
"Biggs","Andy","AZ","N00039293","B001302",5,1958-11-07,"M",0.827,-0.562,"+",0,0,1,2,3,0
"Bilirakis","Gus","FL","N00027462","B001257",12,1963-02-08,"M",0.419,-0.017,"-",4,5,6,7,8,26000
"Bilirakis","Gus","FL","N00027462","B001257",12,1963-02-08,"M",0.419,-0.017,"+",4,5,6,7,8,0
"Bishop","Dan","NC","N00044335","B001311",8,1964-07-01,"M",0.714,-0.377,"-",0,0,0,1,2,10433
"Bishop","Dan","NC","N00044335","B001311",8,1964-07-01,"M",0.714,-0.377,"+",0,0,0,1,2,0
"Bishop","Sanford","GA","N00002674","B000490",2,1947-02-04,"M",-0.285,0.454,"-",11,12,13,14,15,5000
"Bishop","Sanford","GA","N00002674","B000490",2,1947-02-04,"M",-0.285,0.454,"+",11,12,13,14,15,0
"Blumenauer","Earl","OR","N00007727","B000574",3,1948-08-16,"M",-0.427,-0.641,"-",10,11,12,13,14,250
"Blumenauer","Earl","OR","N00007727","B000574",3,1948-08-16,"M",-0.427,-0.641,"+",10,11,12,13,14,500
"Blunt Rochester","Lisa","DE","N00038414","B001303",0,1962-02-10,"F",-0.347,-0.153,"-",0,0,1,2,3,19500
"Blunt Rochester","Lisa","DE","N00038414","B001303",0,1962-02-10,"F",-0.347,-0.153,"+",0,0,1,2,3,2500
"Boebert","Lauren","CO","N00045974","B000825",3,1986-12-15,"F",0.747,-0.508,"-",0,0,0,0,1,40870
"Boebert","Lauren","CO","N00045974","B000825",3,1986-12-15,"F",0.747,-0.508,"+",0,0,0,0,1,500
"Bonamici","Suzanne","OR","N00033474","B001278",1,1954-10-14,"F",-0.396,-0.41,"-",2,3,4,5,6,6250
"Bonamici","Suzanne","OR","N00033474","B001278",1,1954-10-14,"F",-0.396,-0.41,"+",2,3,4,5,6,0
"Bost","Mike","IL","N00035420","B001295",12,1960-12-30,"M",0.384,0.031,"-",0,1,2,3,4,5500
"Bost","Mike","IL","N00035420","B001295",12,1960-12-30,"M",0.384,0.031,"+",0,1,2,3,4,0
"Bourdeaux","Carolyn","GA","N00041791","B001312",7,1970-06-03,"F",-0.303,0.463,"-",0,0,0,0,1,250
"Bourdeaux","Carolyn","GA","N00041791","B001312",7,1970-06-03,"F",-0.303,0.463,"+",0,0,0,0,1,0
"Bowman","Jamaal","NY","N00044790","B001223",16,1976-04-01,"M",-0.358,-0.934,"-",0,0,0,0,1,750
"Bowman","Jamaal","NY","N00044790","B001223",16,1976-04-01,"M",-0.358,-0.934,"+",0,0,0,0,1,0
"Boyle","Brendan","PA","N00035307","B001296",2,1977-02-06,"M",-0.391,0.139,"-",0,1,2,3,4,4500
"Boyle","Brendan","PA","N00035307","B001296",2,1977-02-06,"M",-0.391,0.139,"+",0,1,2,3,4,0
"Brady","Kevin","TX","N00005883","B000755",8,1955-04-11,"M",0.52,0.239,"-",9,10,11,12,13,22700
"Brady","Kevin","TX","N00005883","B000755",8,1955-04-11,"M",0.52,0.239,"+",9,10,11,12,13,0
"Brooks","Mo","AL","N00030910","B001274",5,1954-04-29,"M",0.652,-0.417,"-",2,3,4,5,6,14950
"Brooks","Mo","AL","N00030910","B001274",5,1954-04-29,"M",0.652,-0.417,"+",2,3,4,5,6,0
"Brown","Anthony","MD","N00036999","B001304",4,1961-11-21,"M",-0.344,-0.063,"-",0,0,1,2,3,8000
"Brown","Anthony","MD","N00036999","B001304",4,1961-11-21,"M",-0.344,-0.063,"+",0,0,1,2,3,0
"Brown","Shontel","OH","N00047875","B001313",11,1975-06-24,"F",-0.518,0.051,"-",0,0,0,0,1,8600
"Brown","Shontel","OH","N00047875","B001313",11,1975-06-24,"F",-0.518,0.051,"+",0,0,0,0,1,500
"Brownley","Julia","CA","N00034254","B001285",26,1952-08-28,"F",-0.294,0.051,"-",1,2,3,4,5,0
"Brownley","Julia","CA","N00034254","B001285",26,1952-08-28,"F",-0.294,0.051,"+",1,2,3,4,5,0
"Buchanan","Vern","FL","N00027626","B001260",16,1951-05-08,"M",0.362,-0.095,"-",4,5,6,7,8,35400
"Buchanan","Vern","FL","N00027626","B001260",16,1951-05-08,"M",0.362,-0.095,"+",4,5,6,7,8,5900
"Buck","Ken","CO","N00030829","B001297",4,1959-02-16,"M",0.656,-0.431,"-",0,1,2,3,4,2010
"Buck","Ken","CO","N00030829","B001297",4,1959-02-16,"M",0.656,-0.431,"+",0,1,2,3,4,0
"Bucshon","Larry","IN","N00031227","B001275",8,1962-05-31,"M",0.383,0.373,"-",2,3,4,5,6,14000
"Bucshon","Larry","IN","N00031227","B001275",8,1962-05-31,"M",0.383,0.373,"+",2,3,4,5,6,500
"Burchett","Tim","TN","N00041594","B001309",2,1964-08-25,"M",0.664,-0.383,"-",0,0,0,1,2,10700
"Burchett","Tim","TN","N00041594","B001309",2,1964-08-25,"M",0.664,-0.383,"+",0,0,0,1,2,0
"Burgess","Michael","TX","N00025219","B001248",26,1950-12-23,"M",0.567,-0.185,"-",6,7,8,9,10,5750
"Burgess","Michael","TX","N00025219","B001248",26,1950-12-23,"M",0.567,-0.185,"+",6,7,8,9,10,0
"Bush","Cori","MO","N00039373","B001224",1,1976-07-21,"F",-0.247,-0.969,"-",0,0,0,0,1,1285
"Bush","Cori","MO","N00039373","B001224",1,1976-07-21,"F",-0.247,-0.969,"+",0,0,0,0,1,0
"Bustos","Cheri","IL","N00033390","B001286",17,1961-10-17,"F",-0.239,0.054,"-",1,2,3,4,5,10150
"Bustos","Cheri","IL","N00033390","B001286",17,1961-10-17,"F",-0.239,0.054,"+",1,2,3,4,5,0
"Butterfield","George","NC","N00027035","B001251",1,1947-04-27,"M",-0.404,0.184,"-",6,7,8,9,10,7000
"Butterfield","George","NC","N00027035","B001251",1,1947-04-27,"M",-0.404,0.184,"+",6,7,8,9,10,0
"Calvert","Ken","CA","N00007099","C000059",41,1953-06-08,"M",0.341,0.263,"-",11,12,13,14,15,2000
"Calvert","Ken","CA","N00007099","C000059",41,1953-06-08,"M",0.341,0.263,"+",11,12,13,14,15,0
"Carbajal","Salud","CA","N00037015","C001112",24,1964-11-18,"M",-0.31,0.101,"-",0,0,1,2,3,11000
"Carbajal","Salud","CA","N00037015","C001112",24,1964-11-18,"M",-0.31,0.101,"+",0,0,1,2,3,0
"Carey","Mike","OH","N00048568","C001126",15,1971-03-13,"M",0.418,-0.089,"-",0,0,0,0,1,100624
"Carey","Mike","OH","N00048568","C001126",15,1971-03-13,"M",0.418,-0.089,"+",0,0,0,0,1,0
"Carl","Jerry","AL","N00044245","C001054",1,1958-06-17,"M",0.548,0.275,"-",0,0,0,0,1,9500
"Carl","Jerry","AL","N00044245","C001054",1,1958-06-17,"M",0.548,0.275,"+",0,0,0,0,1,0
"Carter","Earl","GA","N00035346","C001103",1,1957-09-06,"M",0.562,0.317,"-",0,1,2,3,4,2250
"Carter","Earl","GA","N00035346","C001103",1,1957-09-06,"M",0.562,0.317,"+",0,1,2,3,4,0
"Carter","John","TX","N00025095","C001051",31,1941-11-06,"M",0.485,0.565,"-",6,7,8,9,10,14012
"Carter","John","TX","N00025095","C001051",31,1941-11-06,"M",0.485,0.565,"+",6,7,8,9,10,0
"Carter","Troy","LA","N00025766","C001125",2,1963-10-26,"M",-0.51,0.255,"-",0,0,0,0,1,34500
"Carter","Troy","LA","N00025766","C001125",2,1963-10-26,"M",-0.51,0.255,"+",0,0,0,0,1,500
"Cartwright","Matthew","PA","N00034128","C001090",8,1961-05-01,"M",-0.349,-0.005,"-",1,2,3,4,5,6500
"Cartwright","Matthew","PA","N00034128","C001090",8,1961-05-01,"M",-0.349,-0.005,"+",1,2,3,4,5,0
"Case","Ed","HI","N00025882","C001055",1,1952-09-27,"M",-0.198,-0.083,"-",3,3,3,4,5,1000
"Case","Ed","HI","N00025882","C001055",1,1952-09-27,"M",-0.198,-0.083,"+",3,3,3,4,5,0
"Casten","Sean","IL","N00041338","C001117",6,1971-11-23,"M",-0.652,0.497,"-",0,0,0,1,2,8800
"Casten","Sean","IL","N00041338","C001117",6,1971-11-23,"M",-0.652,0.497,"+",0,0,0,1,2,100
"Castor","Kathy","FL","N00027514","C001066",14,1966-08-20,"F",-0.437,0.06,"-",4,5,6,7,8,2000
"Castor","Kathy","FL","N00027514","C001066",14,1966-08-20,"F",-0.437,0.06,"+",4,5,6,7,8,0
"Castro","Joaquin","TX","N00033316","C001091",20,1974-09-16,"M",-0.404,-0.071,"-",1,2,3,4,5,0
"Castro","Joaquin","TX","N00033316","C001091",20,1974-09-16,"M",-0.404,-0.071,"+",1,2,3,4,5,0
"Cawthorn","Madison","NC","N00046252","C001104",11,1995-08-01,"M",0.555,-0.243,"-",0,0,0,0,1,3683
"Cawthorn","Madison","NC","N00046252","C001104",11,1995-08-01,"M",0.555,-0.243,"+",0,0,0,0,1,0
"Chabot","Steve","OH","N00003689","C000266",1,1953-01-22,"M",0.542,-0.137,"-",9,10,11,12,13,670
"Chabot","Steve","OH","N00003689","C000266",1,1953-01-22,"M",0.542,-0.137,"+",9,10,11,12,13,0
"Cheney","Liz","WY","N00035504","C001109",0,1966-07-28,"F",0.405,0.82,"-",0,0,1,2,3,128300
"Cheney","Liz","WY","N00035504","C001109",0,1966-07-28,"F",0.405,0.82,"+",0,0,1,2,3,0
"Cherfilus-McCormick","Sheila","FL","N00043504","C001127",20,1979-01-25,"F",-0.575,0.239,"-",0,0,0,0,1,0
"Cherfilus-McCormick","Sheila","FL","N00043504","C001127",20,1979-01-25,"F",-0.575,0.239,"+",0,0,0,0,1,0
"Chu","Judy","CA","N00030600","C001080",28,1953-07-07,"F",-0.489,-0.379,"-",3,4,5,6,7,1500
"Chu","Judy","CA","N00030600","C001080",28,1953-07-07,"F",-0.489,-0.379,"+",3,4,5,6,7,0
"Cicilline","David","RI","N00032019","C001084",1,1961-07-15,"M",-0.389,-0.262,"-",2,3,4,5,6,1000
"Cicilline","David","RI","N00032019","C001084",1,1961-07-15,"M",-0.389,-0.262,"+",2,3,4,5,6,5800
"Clark","Katherine","MA","N00035278","C001101",5,1963-07-17,"F",-0.482,-0.316,"-",1,2,3,4,5,0
"Clark","Katherine","MA","N00035278","C001101",5,1963-07-17,"F",-0.482,-0.316,"+",1,2,3,4,5,0
"Clarke","Yvette","NY","N00026961","C001067",9,1964-11-21,"F",-0.609,-0.246,"-",4,5,6,7,8,5200
"Clarke","Yvette","NY","N00026961","C001067",9,1964-11-21,"F",-0.609,-0.246,"+",4,5,6,7,8,0
"Cleaver","Emanuel","MO","N00026790","C001061",5,1944-10-26,"M",-0.453,0.009,"-",5,6,7,8,9,0
"Cleaver","Emanuel","MO","N00026790","C001061",5,1944-10-26,"M",-0.453,0.009,"+",5,6,7,8,9,0
"Cline","Ben","VA","N00042296","C001118",6,1972-02-29,"M",0.72,-0.202,"-",0,0,0,1,2,9300
"Cline","Ben","VA","N00042296","C001118",6,1972-02-29,"M",0.72,-0.202,"+",0,0,0,1,2,0
"Cloud","Michael","TX","N00041882","C001115",27,1975-05-13,"M",0.684,-0.329,"-",0,0,1,2,3,2000
"Cloud","Michael","TX","N00041882","C001115",27,1975-05-13,"M",0.684,-0.329,"+",0,0,1,2,3,0
"Clyburn","James","SC","N00002408","C000537",6,1940-07-21,"M",-0.465,0.25,"-",11,12,13,14,15,83000
"Clyburn","James","SC","N00002408","C000537",6,1940-07-21,"M",-0.465,0.25,"+",11,12,13,14,15,0
"Clyde","Andrew","GA","N00046654","C001116",9,1963-11-22,"M",0.841,-0.06,"-",0,0,0,0,1,0
"Clyde","Andrew","GA","N00046654","C001116",9,1963-11-22,"M",0.841,-0.06,"+",0,0,0,0,1,0
"Cohen","Steve","TN","N00003225","C001068",9,1949-05-24,"M",-0.392,-0.326,"-",4,5,6,7,8,0
"Cohen","Steve","TN","N00003225","C001068",9,1949-05-24,"M",-0.392,-0.326,"+",4,5,6,7,8,0
"Cole","Tom","OK","N00025726","C001053",4,1949-04-28,"M",0.324,0.4,"-",6,7,8,9,10,2500
"Cole","Tom","OK","N00025726","C001053",4,1949-04-28,"M",0.324,0.4,"+",6,7,8,9,10,0
"Comer","James","KY","N00038260","C001108",1,1972-08-19,"M",0.595,-0.039,"-",0,1,2,3,4,9500
"Comer","James","KY","N00038260","C001108",1,1972-08-19,"M",0.595,-0.039,"+",0,1,2,3,4,0
"Connolly","Gerald","VA","N00029891","C001078",11,1950-03-30,"M",-0.307,-0.038,"-",3,4,5,6,7,6800
"Connolly","Gerald","VA","N00029891","C001078",11,1950-03-30,"M",-0.307,-0.038,"+",3,4,5,6,7,0
"Conway","Connie","CA","N00050064","C001128",22,1950-09-25,"F",0.376,0.295,"-",0,0,0,0,1,0
"Conway","Connie","CA","N00050064","C001128",22,1950-09-25,"F",0.376,0.295,"+",0,0,0,0,1,0
"Cooper","Jim","TN","N00003132","C000754",5,1954-06-19,"M",-0.164,-0.033,"-",10,11,12,13,14,21900
"Cooper","Jim","TN","N00003132","C000754",5,1954-06-19,"M",-0.164,-0.033,"+",10,11,12,13,14,0
"Correa","J.","CA","N00037260","C001110",46,1958-01-24,"M",-0.29,0.234,"-",0,0,1,2,3,16500
"Correa","J.","CA","N00037260","C001110",46,1958-01-24,"M",-0.29,0.234,"+",0,0,1,2,3,0
"Costa","Jim","CA","N00026341","C001059",21,1952-04-13,"M",-0.196,0.458,"-",5,6,7,8,9,48000
"Costa","Jim","CA","N00026341","C001059",21,1952-04-13,"M",-0.196,0.458,"+",5,6,7,8,9,0
"Courtney","Joe","CT","N00024842","C001069",2,1953-04-06,"M",-0.34,0.03,"-",4,5,6,7,8,1000
"Courtney","Joe","CT","N00024842","C001069",2,1953-04-06,"M",-0.34,0.03,"+",4,5,6,7,8,0
"Craig","Angie","MN","N00037039","C001119",2,1972-02-14,"F",-0.27,0.645,"-",0,0,0,1,2,4500
"Craig","Angie","MN","N00037039","C001119",2,1972-02-14,"F",-0.27,0.645,"+",0,0,0,1,2,89
"Crawford","Eric","AR","N00030770","C001087",1,1966-01-22,"M",0.457,0.32,"-",2,3,4,5,6,6000
"Crawford","Eric","AR","N00030770","C001087",1,1966-01-22,"M",0.457,0.32,"+",2,3,4,5,6,0
"Crenshaw","Dan","TX","N00042224","C001120",2,1984-03-14,"M",0.431,0.268,"-",0,0,0,1,2,127689
"Crenshaw","Dan","TX","N00042224","C001120",2,1984-03-14,"M",0.431,0.268,"+",0,0,0,1,2,250
"Crist","Charlie","FL","N00002942","C001111",13,1956-07-24,"M",-0.227,0.079,"-",0,0,1,2,3,4900
"Crist","Charlie","FL","N00002942","C001111",13,1956-07-24,"M",-0.227,0.079,"+",0,0,1,2,3,0
"Crow","Jason","CO","N00040876","C001121",6,1979-03-15,"M",-0.319,0.209,"-",0,0,0,1,2,7225
"Crow","Jason","CO","N00040876","C001121",6,1979-03-15,"M",-0.319,0.209,"+",0,0,0,1,2,0
"Cuellar","Henry","TX","N00024978","C001063",28,1955-09-19,"M",-0.227,0.622,"-",5,6,7,8,9,62598
"Cuellar","Henry","TX","N00024978","C001063",28,1955-09-19,"M",-0.227,0.622,"+",5,6,7,8,9,0
"Curtis","John","UT","N00041221","C001114",3,1960-05-10,"M",0.448,0.156,"-",0,0,1,2,3,31500
"Curtis","John","UT","N00041221","C001114",3,1960-05-10,"M",0.448,0.156,"+",0,0,1,2,3,1000
"Cárdenas","Tony","CA","N00033373","C001097",29,1963-03-31,"M",-0.395,-0.003,"-",1,2,3,4,5,6000
"Cárdenas","Tony","CA","N00033373","C001097",29,1963-03-31,"M",-0.395,-0.003,"+",1,2,3,4,5,0
"Davids","Sharice","KS","N00042626","D000629",3,1980-05-22,"F",-0.269,0.267,"-",0,0,0,1,2,1250
"Davids","Sharice","KS","N00042626","D000629",3,1980-05-22,"F",-0.269,0.267,"+",0,0,0,1,2,0
"Davidson","Warren","OH","N00038767","D000626",8,1970-03-01,"M",0.659,-0.355,"-",0,1,2,3,4,2500
"Davidson","Warren","OH","N00038767","D000626",8,1970-03-01,"M",0.659,-0.355,"+",0,1,2,3,4,0
"Davis","Danny","IL","N00004884","D000096",7,1941-09-06,"M",-0.486,-0.26,"-",9,10,11,12,13,5000
"Davis","Danny","IL","N00004884","D000096",7,1941-09-06,"M",-0.486,-0.26,"+",9,10,11,12,13,1000
"Davis","Rodney","IL","N00034784","D000619",13,1970-01-05,"M",0.279,0.17,"-",1,2,3,4,5,38633
"Davis","Rodney","IL","N00034784","D000619",13,1970-01-05,"M",0.279,0.17,"+",1,2,3,4,5,0
"DeFazio","Peter","OR","N00007781","D000191",4,1947-05-27,"M",-0.427,-0.002,"-",14,15,16,17,18,14500
"DeFazio","Peter","OR","N00007781","D000191",4,1947-05-27,"M",-0.427,-0.002,"+",14,15,16,17,18,0
"DeGette","Diana","CO","N00006134","D000197",1,1957-07-29,"F",-0.431,-0.303,"-",9,10,11,12,13,5500
"DeGette","Diana","CO","N00006134","D000197",1,1957-07-29,"F",-0.431,-0.303,"+",9,10,11,12,13,0
"DeLauro","Rosa","CT","N00000615","D000216",3,1943-03-02,"F",-0.414,-0.116,"-",12,13,14,15,16,10100
"DeLauro","Rosa","CT","N00000615","D000216",3,1943-03-02,"F",-0.414,-0.116,"+",12,13,14,15,16,0
"DeSaulnier","Mark","CA","N00030709","D000623",10,1952-03-31,"M",-0.523,-0.372,"-",0,1,2,3,4,1100
"DeSaulnier","Mark","CA","N00030709","D000623",10,1952-03-31,"M",-0.523,-0.372,"+",0,1,2,3,4,0
"Dean","Madeleine","PA","N00042894","D000631",4,1959-06-06,"F",-0.453,-0.031,"-",0,0,0,1,2,1000
"Dean","Madeleine","PA","N00042894","D000631",4,1959-06-06,"F",-0.453,-0.031,"+",0,0,0,1,2,0
"DelBene","Suzan","WA","N00030693","D000617",1,1962-02-17,"F",-0.292,-0.19,"-",2,3,4,5,6,1500
"DelBene","Suzan","WA","N00030693","D000617",1,1962-02-17,"F",-0.292,-0.19,"+",2,3,4,5,6,0
"Delgado","Antonio","NY","N00040741","D000630",19,1977-01-28,"M",-0.233,0.277,"-",0,0,0,1,2,150
"Delgado","Antonio","NY","N00040741","D000630",19,1977-01-28,"M",-0.233,0.277,"+",0,0,0,1,2,2900
"Demings","Val","FL","N00033449","D000627",10,1957-03-12,"F",-0.322,-0.006,"-",0,0,1,2,3,7132
"Demings","Val","FL","N00033449","D000627",10,1957-03-12,"F",-0.322,-0.006,"+",0,0,1,2,3,500
"Deutch","Theodore","FL","N00031317","D000610",22,1966-05-07,"M",-0.401,-0.078,"-",3,4,5,6,7,2500
"Deutch","Theodore","FL","N00031317","D000610",22,1966-05-07,"M",-0.401,-0.078,"+",3,4,5,6,7,0
"Diaz-Balart","Mario","FL","N00025337","D000600",26,1961-09-25,"M",0.284,0.141,"-",6,7,8,9,10,0
"Diaz-Balart","Mario","FL","N00025337","D000600",26,1961-09-25,"M",0.284,0.141,"+",6,7,8,9,10,0
"Dingell","Debbie","MI","N00036149","D000624",6,1953-11-23,"F",-0.404,-0.157,"-",0,1,2,3,4,14850
"Dingell","Debbie","MI","N00036149","D000624",6,1953-11-23,"F",-0.404,-0.157,"+",0,1,2,3,4,0
"Doggett","Lloyd","TX","N00006023","D000399",37,1946-10-06,"M",-0.402,-0.322,"-",10,11,12,13,14,2900
"Doggett","Lloyd","TX","N00006023","D000399",37,1946-10-06,"M",-0.402,-0.322,"+",10,11,12,13,14,0
"Donalds","Byron","FL","N00034016","D000032",19,1978-10-28,"M",0.643,-0.218,"-",0,0,0,0,1,12925
"Donalds","Byron","FL","N00034016","D000032",19,1978-10-28,"M",0.643,-0.218,"+",0,0,0,0,1,0
"Doyle","Michael","PA","N00001373","D000482",18,1953-08-05,"M",-0.331,0.099,"-",10,11,12,13,14,8000
"Doyle","Michael","PA","N00001373","D000482",18,1953-08-05,"M",-0.331,0.099,"+",10,11,12,13,14,0
"Duncan","Jeff","SC","N00030752","D000615",3,1966-01-07,"M",0.701,-0.1,"-",2,3,4,5,6,13500
"Duncan","Jeff","SC","N00030752","D000615",3,1966-01-07,"M",0.701,-0.1,"+",2,3,4,5,6,0
"Dunn","Neal","FL","N00037442","D000628",2,1953-02-16,"M",0.503,0.371,"-",0,0,1,2,3,2500
"Dunn","Neal","FL","N00037442","D000628",2,1953-02-16,"M",0.503,0.371,"+",0,0,1,2,3,0
"Ellzey","Jake","TX","N00042243","E000071",6,1970-01-24,"M",0.514,0.596,"-",0,0,0,0,1,41018
"Ellzey","Jake","TX","N00042243","E000071",6,1970-01-24,"M",0.514,0.596,"+",0,0,0,0,1,150
"Emmer","Tom","MN","N00035440","E000294",6,1961-03-03,"M",0.468,-0.09,"-",0,1,2,3,4,9900
"Emmer","Tom","MN","N00035440","E000294",6,1961-03-03,"M",0.468,-0.09,"+",0,1,2,3,4,0
"Escobar","Veronica","TX","N00041702","E000299",16,1969-09-15,"F",-0.466,-0.316,"-",0,0,0,1,2,2000
"Escobar","Veronica","TX","N00041702","E000299",16,1969-09-15,"F",-0.466,-0.316,"+",0,0,0,1,2,0
"Espaillat","Adriano","NY","N00034549","E000297",13,1954-09-27,"M",-0.583,-0.21,"-",0,0,1,2,3,0
"Espaillat","Adriano","NY","N00034549","E000297",13,1954-09-27,"M",-0.583,-0.21,"+",0,0,1,2,3,0
"Estes","Ron","KS","N00040712","E000298",4,1956-07-19,"M",0.643,0.058,"-",0,0,1,2,3,47200
"Estes","Ron","KS","N00040712","E000298",4,1956-07-19,"M",0.643,0.058,"+",0,0,1,2,3,0
"Evans","Dwight","PA","N00038450","E000296",3,1954-05-16,"M",-0.47,-0.135,"-",0,1,2,3,4,3000
"Evans","Dwight","PA","N00038450","E000296",3,1954-05-16,"M",-0.47,-0.135,"+",0,1,2,3,4,0
