"last_name","first_name","state","opensecrets_id","bioguide_id","district","birthday","gender","Industry_Type","seniority_113","seniority_114","seniority_115","seniority_116","seniority_117","total"
"Clyburn","James","SC","N00002408","C000537",6,1940-07-21,"M","+",11,12,13,14,15,0
"Coffman","Mike","CO","N00024753","C001077",6,1955-03-19,"M","-",3,4,5,5,5,68911
"Coffman","Mike","CO","N00024753","C001077",6,1955-03-19,"M","+",3,4,5,5,5,500
"Cohen","Steve","TN","N00003225","C001068",9,1949-05-24,"M","-",4,5,6,7,8,500
"Cohen","Steve","TN","N00003225","C001068",9,1949-05-24,"M","+",4,5,6,7,8,0
"Cole","Tom","OK","N00025726","C001053",4,1949-04-28,"M","-",6,7,8,9,10,68750
"Cole","Tom","OK","N00025726","C001053",4,1949-04-28,"M","+",6,7,8,9,10,0
"Collins","Chris","NY","N00001285","C001092",27,1950-05-20,"M","-",1,2,3,4,4,33550
"Collins","Chris","NY","N00001285","C001092",27,1950-05-20,"M","+",1,2,3,4,4,1000
"Collins","Doug","GA","N00033518","C001093",9,1966-08-16,"M","-",1,2,3,4,4,27450
"Collins","Doug","GA","N00033518","C001093",9,1966-08-16,"M","+",1,2,3,4,4,0
"Comer","James","KY","N00038260","C001108",1,1972-08-19,"M","-",0,1,2,3,4,29450
"Comer","James","KY","N00038260","C001108",1,1972-08-19,"M","+",0,1,2,3,4,0
"Comstock","Barbara","VA","N00036023","C001105",10,1959-06-30,"F","-",0,1,2,2,2,36500
"Comstock","Barbara","VA","N00036023","C001105",10,1959-06-30,"F","+",0,1,2,2,2,250
"Conaway","K.","TX","N00026041","C001062",11,1948-06-11,"M","-",5,6,7,8,8,52882
"Conaway","K.","TX","N00026041","C001062",11,1948-06-11,"M","+",5,6,7,8,8,3250
"Connolly","Gerald","VA","N00029891","C001078",11,1950-03-30,"M","-",3,4,5,6,7,4000
"Connolly","Gerald","VA","N00029891","C001078",11,1950-03-30,"M","+",3,4,5,6,7,1000
"Conyers","John","MI","N00004029","C000714",13,1929-05-16,"M","-",14,15,16,16,16,1000
"Conyers","John","MI","N00004029","C000714",13,1929-05-16,"M","+",14,15,16,16,16,0
"Cook","Paul","CA","N00034224","C001094",8,1943-03-03,"M","-",1,2,3,4,4,18400
"Cook","Paul","CA","N00034224","C001094",8,1943-03-03,"M","+",1,2,3,4,4,0
"Cooper","Jim","TN","N00003132","C000754",5,1954-06-19,"M","-",10,11,12,13,14,4750
"Cooper","Jim","TN","N00003132","C000754",5,1954-06-19,"M","+",10,11,12,13,14,0
"Costa","Jim","CA","N00026341","C001059",21,1952-04-13,"M","-",5,6,7,8,9,58000
"Costa","Jim","CA","N00026341","C001059",21,1952-04-13,"M","+",5,6,7,8,9,2000
"Costello","Ryan","PA","N00031064","C001106",6,1976-09-07,"M","-",0,1,2,2,2,36200
"Costello","Ryan","PA","N00031064","C001106",6,1976-09-07,"M","+",0,1,2,2,2,7000
"Courtney","Joe","CT","N00024842","C001069",2,1953-04-06,"M","-",4,5,6,7,8,4000
"Courtney","Joe","CT","N00024842","C001069",2,1953-04-06,"M","+",4,5,6,7,8,0
"Crawford","Eric","AR","N00030770","C001087",1,1966-01-22,"M","-",2,3,4,5,6,2500
"Crawford","Eric","AR","N00030770","C001087",1,1966-01-22,"M","+",2,3,4,5,6,0
"Crenshaw","Ander","FL","N00012739","C001045",4,1944-09-01,"M","-",7,8,8,8,8,5000
"Crenshaw","Ander","FL","N00012739","C001045",4,1944-09-01,"M","+",7,8,8,8,8,0
"Crowley","Joseph","NY","N00001127","C001038",14,1962-03-16,"M","-",8,9,10,10,10,33000
"Crowley","Joseph","NY","N00001127","C001038",14,1962-03-16,"M","+",8,9,10,10,10,35
"Cuellar","Henry","TX","N00024978","C001063",28,1955-09-19,"M","-",5,6,7,8,9,43750
"Cuellar","Henry","TX","N00024978","C001063",28,1955-09-19,"M","+",5,6,7,8,9,0
"Culberson","John","TX","N00009738","C001048",7,1956-08-24,"M","-",7,8,9,9,9,60450
"Culberson","John","TX","N00009738","C001048",7,1956-08-24,"M","+",7,8,9,9,9,500
"Cummings","Elijah","MD","N00001971","C000984",7,1951-01-18,"M","-",10,11,12,13,13,9000
"Cummings","Elijah","MD","N00001971","C000984",7,1951-01-18,"M","+",10,11,12,13,13,0
"Curbelo","Carlos","FL","N00035403","C001107",26,1980-03-01,"M","-",0,1,2,2,2,44500
"Curbelo","Carlos","FL","N00035403","C001107",26,1980-03-01,"M","+",0,1,2,2,2,2750
"Cárdenas","Tony","CA","N00033373","C001097",29,1963-03-31,"M","-",1,2,3,4,5,13500
"Cárdenas","Tony","CA","N00033373","C001097",29,1963-03-31,"M","+",1,2,3,4,5,0
"Davidson","Warren","OH","N00038767","D000626",8,1970-03-01,"M","-",0,1,2,3,4,4000
"Davidson","Warren","OH","N00038767","D000626",8,1970-03-01,"M","+",0,1,2,3,4,0
"Davis","Danny","IL","N00004884","D000096",7,1941-09-06,"M","-",9,10,11,12,13,5500
"Davis","Danny","IL","N00004884","D000096",7,1941-09-06,"M","+",9,10,11,12,13,5000
"Davis","Rodney","IL","N00034784","D000619",13,1970-01-05,"M","-",1,2,3,4,5,24900
"Davis","Rodney","IL","N00034784","D000619",13,1970-01-05,"M","+",1,2,3,4,5,5000
"Davis","Susan","CA","N00009604","D000598",53,1944-04-13,"F","-",7,8,9,10,10,2500
"Davis","Susan","CA","N00009604","D000598",53,1944-04-13,"F","+",7,8,9,10,10,0
"DeFazio","Peter","OR","N00007781","D000191",4,1947-05-27,"M","-",14,15,16,17,18,250
"DeFazio","Peter","OR","N00007781","D000191",4,1947-05-27,"M","+",14,15,16,17,18,0
"DeGette","Diana","CO","N00006134","D000197",1,1957-07-29,"F","-",9,10,11,12,13,4000
"DeGette","Diana","CO","N00006134","D000197",1,1957-07-29,"F","+",9,10,11,12,13,1000
"DeLauro","Rosa","CT","N00000615","D000216",3,1943-03-02,"F","-",12,13,14,15,16,5375
"DeLauro","Rosa","CT","N00000615","D000216",3,1943-03-02,"F","+",12,13,14,15,16,0
"DeSantis","Ron","FL","N00034746","D000621",6,1978-09-14,"M","-",1,2,3,3,3,43125
"DeSantis","Ron","FL","N00034746","D000621",6,1978-09-14,"M","+",1,2,3,3,3,0
"DeSaulnier","Mark","CA","N00030709","D000623",10,1952-03-31,"M","-",0,1,2,3,4,2500
"DeSaulnier","Mark","CA","N00030709","D000623",10,1952-03-31,"M","+",0,1,2,3,4,0
"DelBene","Suzan","WA","N00030693","D000617",1,1962-02-17,"F","-",2,3,4,5,6,5990
"DelBene","Suzan","WA","N00030693","D000617",1,1962-02-17,"F","+",2,3,4,5,6,0
"Delaney","John","MD","N00033897","D000620",6,1963-04-16,"M","-",1,2,3,3,3,5500
"Delaney","John","MD","N00033897","D000620",6,1963-04-16,"M","+",1,2,3,3,3,0
"Denham","Jeff","CA","N00031593","D000612",10,1967-07-29,"M","-",2,3,4,4,4,100099
"Denham","Jeff","CA","N00031593","D000612",10,1967-07-29,"M","+",2,3,4,4,4,2500
"Dent","Charles","PA","N00026171","D000604",15,1960-05-24,"M","-",5,6,7,7,7,21500
"Dent","Charles","PA","N00026171","D000604",15,1960-05-24,"M","+",5,6,7,7,7,0
"DesJarlais","Scott","TN","N00030957","D000616",4,1964-02-21,"M","-",2,3,4,5,6,10650
"DesJarlais","Scott","TN","N00030957","D000616",4,1964-02-21,"M","+",2,3,4,5,6,0
"Deutch","Theodore","FL","N00031317","D000610",22,1966-05-07,"M","-",3,4,5,6,7,0
"Deutch","Theodore","FL","N00031317","D000610",22,1966-05-07,"M","+",3,4,5,6,7,0
"Diaz-Balart","Mario","FL","N00025337","D000600",26,1961-09-25,"M","-",6,7,8,9,10,17000
"Diaz-Balart","Mario","FL","N00025337","D000600",26,1961-09-25,"M","+",6,7,8,9,10,0
"Dingell","Debbie","MI","N00036149","D000624",6,1953-11-23,"F","-",0,1,2,3,4,10000
"Dingell","Debbie","MI","N00036149","D000624",6,1953-11-23,"F","+",0,1,2,3,4,250
"Doggett","Lloyd","TX","N00006023","D000399",37,1946-10-06,"M","-",10,11,12,13,14,0
"Doggett","Lloyd","TX","N00006023","D000399",37,1946-10-06,"M","+",10,11,12,13,14,0
"Dold","Bob","IL","N00031103","D000613",10,1969-06-23,"M","-",1,2,2,2,2,39400
"Dold","Bob","IL","N00031103","D000613",10,1969-06-23,"M","+",1,2,2,2,2,11250
"Donovan","Daniel","NY","N00036928","D000625",11,1956-11-06,"M","-",0,1,2,2,2,9000
"Donovan","Daniel","NY","N00036928","D000625",11,1956-11-06,"M","+",0,1,2,2,2,0
"Doyle","Michael","PA","N00001373","D000482",18,1953-08-05,"M","-",10,11,12,13,14,42000
"Doyle","Michael","PA","N00001373","D000482",18,1953-08-05,"M","+",10,11,12,13,14,0
"Duffy","Sean","WI","N00030967","D000614",7,1971-10-03,"M","-",2,3,4,5,5,18850
"Duffy","Sean","WI","N00030967","D000614",7,1971-10-03,"M","+",2,3,4,5,5,0
"Duncan","Jeff","SC","N00030752","D000615",3,1966-01-07,"M","-",2,3,4,5,6,7000
"Duncan","Jeff","SC","N00030752","D000615",3,1966-01-07,"M","+",2,3,4,5,6,0
"Duncan","John","TN","N00003209","D000533",2,1947-07-21,"M","-",14,15,16,16,16,4000
"Duncan","John","TN","N00003209","D000533",2,1947-07-21,"M","+",14,15,16,16,16,2000
"Edwards","Donna","MD","N00028249","E000290",4,1958-06-28,"F","-",4,5,5,5,5,460
"Edwards","Donna","MD","N00028249","E000290",4,1958-06-28,"F","+",4,5,5,5,5,1225
"Ellison","Keith","MN","N00028257","E000288",5,1963-08-04,"M","-",4,5,6,6,6,1680
"Ellison","Keith","MN","N00028257","E000288",5,1963-08-04,"M","+",4,5,6,6,6,0
"Ellmers","Renee","NC","N00031513","E000291",2,1964-02-09,"F","-",2,3,3,3,3,30500
"Ellmers","Renee","NC","N00031513","E000291",2,1964-02-09,"F","+",2,3,3,3,3,2000
"Emmer","Tom","MN","N00035440","E000294",6,1961-03-03,"M","-",0,1,2,3,4,5900
"Emmer","Tom","MN","N00035440","E000294",6,1961-03-03,"M","+",0,1,2,3,4,0
"Engel","Eliot","NY","N00001003","E000179",16,1947-02-18,"M","-",13,14,15,16,16,15000
"Engel","Eliot","NY","N00001003","E000179",16,1947-02-18,"M","+",13,14,15,16,16,1000
"Eshoo","Anna","CA","N00007335","E000215",16,1942-12-13,"F","-",11,12,13,14,15,2150
"Eshoo","Anna","CA","N00007335","E000215",16,1942-12-13,"F","+",11,12,13,14,15,0
"Esty","Elizabeth","CT","N00033217","E000293",5,1959-08-25,"F","-",1,2,3,3,3,9125
"Esty","Elizabeth","CT","N00033217","E000293",5,1959-08-25,"F","+",1,2,3,3,3,0
"Evans","Dwight","PA","N00038450","E000296",3,1954-05-16,"M","-",0,1,2,3,4,13300
"Evans","Dwight","PA","N00038450","E000296",3,1954-05-16,"M","+",0,1,2,3,4,5400
"Farenthold","Blake","TX","N00031672","F000460",27,1961-12-12,"M","-",2,3,4,4,4,26550
"Farenthold","Blake","TX","N00031672","F000460",27,1961-12-12,"M","+",2,3,4,4,4,0
"Farr","Sam","CA","N00007312","F000030",20,1941-07-04,"M","-",11,12,12,12,12,0
"Farr","Sam","CA","N00007312","F000030",20,1941-07-04,"M","+",11,12,12,12,12,0
"Fattah","Chaka","PA","N00001746","F000043",2,1956-11-21,"M","-",10,11,11,11,11,0
"Fattah","Chaka","PA","N00001746","F000043",2,1956-11-21,"M","+",10,11,11,11,11,0
"Fincher","Stephen","TN","N00031141","F000458",8,1973-02-07,"M","-",2,3,3,3,3,0
"Fincher","Stephen","TN","N00031141","F000458",8,1973-02-07,"M","+",2,3,3,3,3,0
"Fitzpatrick","Michael","PA","N00027229","F000451",8,1963-06-28,"M","-",3,4,4,4,4,0
"Fitzpatrick","Michael","PA","N00027229","F000451",8,1963-06-28,"M","+",3,4,4,4,4,0
"Fleischmann","Charles","TN","N00030815","F000459",3,1962-10-11,"M","-",2,3,4,5,6,20000
"Fleischmann","Charles","TN","N00030815","F000459",3,1962-10-11,"M","+",2,3,4,5,6,0
"Fleming","John","LA","N00029679","F000456",4,1951-07-05,"M","-",3,4,4,4,4,39550
"Fleming","John","LA","N00029679","F000456",4,1951-07-05,"M","+",3,4,4,4,4,500
"Flores","Bill","TX","N00031545","F000461",17,1954-02-25,"M","-",2,3,4,5,5,69650
"Flores","Bill","TX","N00031545","F000461",17,1954-02-25,"M","+",2,3,4,5,5,0
"Forbes","J.","VA","N00013799","F000445",4,1952-02-17,"M","-",7,8,8,8,8,18611
"Forbes","J.","VA","N00013799","F000445",4,1952-02-17,"M","+",7,8,8,8,8,0
"Fortenberry","Jeff","NE","N00026631","F000449",1,1960-12-27,"M","-",5,6,7,8,9,3500
"Fortenberry","Jeff","NE","N00026631","F000449",1,1960-12-27,"M","+",5,6,7,8,9,0
"Foster","Bill","IL","N00029139","F000454",11,1955-10-07,"M","-",3,4,5,6,7,15700
"Foster","Bill","IL","N00029139","F000454",11,1955-10-07,"M","+",3,4,5,6,7,1200
"Foxx","Virginia","NC","N00026166","F000450",5,1943-06-29,"F","-",5,6,7,8,9,11073
"Foxx","Virginia","NC","N00026166","F000450",5,1943-06-29,"F","+",5,6,7,8,9,500
"Frankel","Lois","FL","N00002893","F000462",22,1948-05-16,"F","-",1,2,3,4,5,0
"Frankel","Lois","FL","N00002893","F000462",22,1948-05-16,"F","+",1,2,3,4,5,0
"Franks","Trent","AZ","N00006423","F000448",8,1957-06-19,"M","-",6,7,8,8,8,7250
"Franks","Trent","AZ","N00006423","F000448",8,1957-06-19,"M","+",6,7,8,8,8,0
"Frelinghuysen","Rodney","NJ","N00000684","F000372",11,1946-04-29,"M","-",10,11,12,12,12,20677
"Frelinghuysen","Rodney","NJ","N00000684","F000372",11,1946-04-29,"M","+",10,11,12,12,12,100
"Fudge","Marcia","OH","N00030490","F000455",11,1952-10-29,"F","-",4,5,6,7,8,21500
"Fudge","Marcia","OH","N00030490","F000455",11,1952-10-29,"F","+",4,5,6,7,8,0
"Gabbard","Tulsi","HI","N00033281","G000571",2,1981-04-12,"F","-",1,2,3,4,4,1250
"Gabbard","Tulsi","HI","N00033281","G000571",2,1981-04-12,"F","+",1,2,3,4,4,3000
"Gallego","Ruben","AZ","N00036097","G000574",3,1979-11-20,"M","-",0,1,2,3,4,7050
"Gallego","Ruben","AZ","N00036097","G000574",3,1979-11-20,"M","+",0,1,2,3,4,5100
"Garamendi","John","CA","N00030856","G000559",8,1945-01-24,"M","-",3,4,5,6,7,3000
"Garamendi","John","CA","N00030856","G000559",8,1945-01-24,"M","+",3,4,5,6,7,0
"Garrett","Scott","NJ","N00000743","G000548",5,1959-07-09,"M","-",6,7,7,7,7,12100
"Garrett","Scott","NJ","N00000743","G000548",5,1959-07-09,"M","+",6,7,7,7,7,0
"Gibbs","Bob","OH","N00031128","G000563",7,1954-06-14,"M","-",2,3,4,5,6,13500
"Gibbs","Bob","OH","N00031128","G000563",7,1954-06-14,"M","+",2,3,4,5,6,500
"Gibson","Christopher","NY","N00031998","G000564",19,1964-05-13,"M","-",2,3,3,3,3,0
"Gibson","Christopher","NY","N00031998","G000564",19,1964-05-13,"M","+",2,3,3,3,3,0
"Gohmert","Louie","TX","N00026148","G000552",1,1953-08-18,"M","-",5,6,7,8,9,10950
"Gohmert","Louie","TX","N00026148","G000552",1,1953-08-18,"M","+",5,6,7,8,9,0
"Goodlatte","Bob","VA","N00009154","G000289",6,1952-09-22,"M","-",11,12,13,13,13,32950
