District,Party,"Member_of_Congress",BioID,GovtrackID,"2021_Score","Lifetime_Score","Certifying","Certifying","Impeachment","Protecting","Votin","Protecting","Protecting","Washington","Increasing","Corporate","Repealing","Removing","Investing","Building","Investing in Transportation and Water Infrastructure  (208)","Protecting People from PFAS (217)","Pro-Environment Funding Package (247)","Restoring the Voting Rights Act (260)","Taking Action on PFAS Contamination  (272)","Censuring Paul Gosar (379)","Transformative Climate, Jobs, and Justice Investments (2x Score) (385)","Transformative Climate, Jobs, and Justice Investments  (385)","Supporting Tribal Management of Bison (427)"
CA-44,D,"BarragÃ¡n, Nanette",B001300,412687,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-45,D,"Porter, Katie",P000618,412758,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-46,D,"Correa, J.",C001110,412688,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-47,D,"Lowenthal, Alan",L000579,412521,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-48,R,"Steel, Michelle",S001135,456803,10,10,n/a,n/a,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
CA-49,D,"Levin, Mike",L000593,412760,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-50,R,"Issa, Darrell",I000056,400196,9,4,-,-,-,-,-,-,-,-,+,-,?,?,?,-,-,-,-,-,-,-,-,-,+
CA-51,D,"Vargas, Juan",V000130,412522,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-52,D,"Peters, Scott",P000608,412523,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-53,D,"Jacobs, Sara",J000305,456804,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-01,R,"Zeldin, Lee",Z000017,412646,17,14,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+
NY-02,R,"Garbarino, Andrew",G000597,456836,35,35,+,+,-,-,-,-,-,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+
NY-03,D,"Suozzi, Thomas",S001201,412717,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-04,D,"Rice, Kathleen",R000602,412647,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,n/a
NY-05,D,"Meeks, Gregory",M001137,400271,100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-06,D,"Meng, Grace",M001188,412560,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-07,D,"Velazquez, Nydia",V000081,400416,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,n/a,+,+,+,+
NY-08,D,"Jeffries, Hakeem",J000294,412561,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-09,D,"Clarke, Yvette",C001067,412221,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-10,D,"Nadler, Jerrold",N000002,400289,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-11,R,"Malliotakis, Nicole",M000317,456837,13,13,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
NY-12,D,"Maloney, Carolyn",M000087,400251,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-13,D,"Espaillat, Adriano",E000297,412718,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-14,D,"Ocasio-Cortez, Alexandria",O000172,412804,96,96,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-15,D,"Torres, Ritchie",T000486,456838,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-16,D,"Bowman, Jamaal",B001223,456839,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-17,D,"Jones, Mondaire",J000306,456840,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-18,D,"Maloney, Sean",M001185,412562,96,91,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+
NY-19,D,"Delgado, Antonio",D000630,412805,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-20,D,"Tonko, Paul",T000469,412319,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-21,R,"Stefanik, Elise",S001196,412648,13,35,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
NY-22,R,"Tenney, Claudia",T000478,412720,10,7,,,,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-
NY-23,R,"Reed, Tom",R000585,412393,30,14,+,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,+,-,-,-,+
NY-24,R,"Katko, John",K000386,412649,43,35,+,+,+,-,-,+,-,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+
NY-25,D,"Morelle, Joe",M001206,412749,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-26,D,"Higgins, Brian",H001038,400641,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-27,R,"Jacobs, Chris",J000020,456793,22,25,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+
FL-01,R,"Gaetz, Matt",G000578,412690,13,12,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-
FL-02,R,"Dunn, Neal",D000628,412691,13,6,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+
FL-03,R,"Cammack, Kat",C001039,456806,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FL-04,R,"Rutherford, John",R000609,412692,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
FL-05,D,"Lawson, Al",L000586,412693,100,89,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-06,R,"Waltz, Michael",W000823,412764,17,23,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
FL-07,D,"Murphy, Stephanie",M001202,412694,96,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?
FL-08,R,"Posey, Bill",P000599,412309,13,7,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,?
FL-09,D,"Soto, Darren",S001200,412695,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-10,D,"Demings, Val",D000627,412696,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-11,R,"Webster, Daniel",W000806,412410,9,6,-,-,?,-,-,-,-,-,?,-,-,+,-,-,-,-,-,-,-,-,-,-,+
FL-12,R,"Bilirakis, Gus",B001257,412250,14,10,n/a,n/a,-,-,-,-,-,-,+,-,-,+,?,-,-,-,-,-,-,-,-,-,+
FL-13,D,"Crist, Charlie",C001111,412697,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-14,D,"Castor, Kathy",C001066,412195,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-15,R,"Franklin, Scott",F000472,456807,9,9,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
FL-16,R,"Buchanan, Vern",B001260,412196,17,23,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
FL-17,R,"Steube, Greg",S001214,412766,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FL-18,R,"Mast, Brian",M001199,412698,17,27,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+
FL-19,R,"Donalds, Byron",D000032,456808,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
FL-20,D,"Hastings, Alcee",H000324,400170,100,85,n/a,n/a,+,+,+,+,+,,,,,,,,,,,,,,,,
FL-21,D,"Frankel, Lois",F000462,412529,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-22,D,"Deutch, Ted",D000610,412385,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-23,D,"Wasserman Schultz, Debbie",W000797,400623,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-24,D,"Wilson, Frederica",W000808,412412,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-25,R,"Diaz-Balart, Mario",D000600,400108,17,13,-,-,-,-,-,-,+,-,+,-,-,+,?,-,-,-,-,-,-,-,-,-,+
FL-26,R,"GimÃ©nez, Carlos",G000593,456809,17,17,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
FL-27,R,"Salazar, Maria",S000168,456810,19,19,,,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+
AL-01,R,"Carl, Jerry",C001054,456799,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
AL-02,R,"Moore, Barry",M001212,456800,4,4,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,+
AL-03,R,"Rogers, Mike",R000575,400341,9,6,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
AL-04,R,"Aderholt, Robert",A000055,400004,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
AL-05,R,"Brooks, Mo",B001274,412395,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
AL-06,R,"Palmer, Gary",P000609,412608,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
AL-07,D,"Sewell, Terri",S001185,412396,100,82,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
HI-01,D,"Case, Ed",C001055,400069,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
HI-02,D,"Kahele, KaialiÊ»i",K000396,456815,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MO-01,D,"Bush, Cori",B001224,456829,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MO-02,R,"Wagner, Ann",W000812,412548,22,6,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
MO-03,R,"Luetkemeyer, Blaine",L000569,412292,9,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MO-04,R,"Hartzler, Vicky",H001053,412444,9,3,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MO-05,D,"Cleaver, Emanuel",C001061,400639,100,89,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MO-06,R,"Graves, Sam",G000546,400158,9,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MO-07,R,"Long, Billy",L000576,412445,9,3,-,-,-,-,-,-,-,-,+,-,-,?,-,-,-,-,-,-,-,-,-,-,+
MO-08,R,"Smith, Jason",S001195,412596,9,2,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TN-01,R,"Harshbarger, Diana",H001086,456844,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TN-02,R,"Burchett, Tim",B001309,412817,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TN-03,R,"Fleischmann, Chuck",F000459,412476,9,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TN-04,R,"DesJarlais, Scott",D000616,412477,9,3,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TN-05,D,"Cooper, Jim",C000754,400081,100,84,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TN-06,R,"Rose, John",R000612,412818,4,5,-,-,-,-,-,-,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-,-,+
TN-07,R,"Green, Mark",G000590,412819,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TN-08,R,"Kustoff, David",K000392,412724,13,6,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TN-09,D,"Cohen, Steve",C001068,412236,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
LA-01,R,"Scalise, Steve",S001176,412261,13,4,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
LA-02,D,"Carter, Troy",C001125,456860,100,100,,,,,,,,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
LA-02,D,"Richmond, Cedric",R000588,412432,100,77,+,+,+,,,,,,,,,,,,,,,,,,,,
LA-03,R,"Higgins, Clay",H001077,412705,0,2,-,-,-,-,-,-,-,-,-,-,-,?,?,-,-,?,?,-,-,-,-,-,-
LA-04,R,"Johnson, Mike",J000299,412706,4,3,-,-,-,-,-,-,-,-,-,-,?,?,?,-,-,-,-,-,-,-,-,-,+
LA-05,R,"Letlow, Julia",L000595,456859,13,13,,,,,,,,-,+,-,-,-,-,-,-,-,-,-,?,-,-,-,+
LA-06,R,"Graves, Garret",G000577,412631,13,6,+,-,-,-,-,-,-,-,+,-,?,-,-,-,-,-,-,-,-,-,-,-,+
PA-01,R,"Fitzpatrick, Brian",F000466,412721,57,77,+,+,-,+,-,+,+,-,+,-,+,+,-,+,+,+,-,-,+,-,-,-,+
PA-02,D,"Boyle, Brendan",B001296,412652,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-03,D,"Evans, Dwight",E000296,412677,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-04,D,"Dean, Madeleine",D000631,412809,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-05,D,"Scanlon, Mary",S001205,412750,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-06,D,"Houlahan, Chrissy",H001085,412810,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-07,D,"Wild, Susan",W000826,412751,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-08,D,"Cartwright, Matt",C001090,412571,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-09,R,"Meuser, Daniel",M001204,412811,13,10,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
PA-10,R,"Perry, Scott",P000605,412569,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?,-
PA-11,R,"Smucker, Lloyd",S001199,412722,17,8,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
PA-12,R,"Keller, Fred",K000395,412843,13,7,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
PA-13,R,"Joyce, John",J000302,412812,9,7,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
PA-14,R,"Reschenthaler, Guy",R000610,412813,13,11,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
PA-15,R,"Thompson, Glenn",T000467,412317,13,6,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
PA-16,R,"Kelly, Mike",K000376,412465,13,5,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
PA-17,D,"Lamb, Conor",L000588,412744,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-18,D,"Doyle, Mike",D000482,400114,100,81,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,n/a,+,+,+,+,+,+,n/a
MI-01,R,"Bergman, Jack",B001301,412709,9,10,-,-,-,-,?,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MI-02,R,"Huizenga, Bill",H001058,412437,30,7,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+
MI-03,R,"Meijer, Peter",M001186,456826,43,43,+,+,+,+,-,-,-,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+
MI-04,R,"Moolenaar, John",M001194,412634,22,9,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
MI-05,D,"Kildee, Daniel",K000380,412546,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-06,R,"Upton, Fred",U000031,400414,48,29,+,+,+,+,-,-,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+
MI-07,R,"Walberg, Tim",W000798,412213,13,4,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
MI-08,D,"Slotkin, Elissa",S001208,412784,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,n/a
MI-09,D,"Levin, Andy",L000592,412785,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-10,R,"McClain, Lisa",M001136,456827,9,9,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MI-11,D,"Stevens, Haley",S001215,412786,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-12,D,"Dingell, Debbie",D000624,412637,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-13,D,"Tlaib, Rashida",T000481,412787,95,96,n/a,n/a,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-14,D,"Lawrence, Brenda",L000581,412638,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NV-01,D,"Titus, Dina",T000468,412318,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NV-02,R,"Amodei, Mark",A000369,412500,22,8,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
NV-03,D,"Lee, Susie",L000590,412802,96,96,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+
NV-04,D,"Horsford, Steven",H001066,412559,100,87,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-01,D,"Norcross, Donald",N000188,412606,100,94,+,+,+,+,+,+,+,+,+,+,n/a,+,+,+,+,+,+,+,+,+,+,+,+
NJ-02,R,"Van Drew, Jefferson",V000133,412796,39,68,-,-,-,+,-,+,-,-,+,-,+,+,-,+,-,+,-,-,+,-,-,-,+
NJ-03,D,"Kim, Andy",K000394,412797,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-04,R,"Smith, Christopher",S000522,400380,43,61,+,+,-,+,-,+,+,-,+,-,-,+,-,-,+,+,-,-,?,-,-,-,+
